27 Carros de Algodão e Outras Peças em um Ato,"Williams, Tennessee","R$     79,90","R$       39,95"
A Arte da Leitura - Diálogos Sobre Livros,"Adler, Mortimer J. e Van Doren, Charles","R$     64,90","R$       32,45"
A Arte do Drama,"Peacock, Ronald","R$     94,90","R$       47,45"
A Arte Mágica,"Sartori, Amleto, Sartori, Dona","R$  294,90","R$    147,45"
A Arte Secreta do Ator - Um Dicionário de Antropologi,"BTeaarbtraa,l Eugenio, Savarese, Nico","R$  284,90","R$    142,45"
A Barbárie,"Henry, Michel","R$     64,90","R$       32,45"
A Barca de Caronte,"Blaga, Lucian","R$  104,90","R$       52,45"
"A Biblioteca de Foucault - Reflexões sobre ética, poder","B inrafoynrmera, çCãroistian","R$      64,90","R$       32,45"
A Consciência de Si,"Lavelle, Louis","R$     69,90","R$       34,95"
A Conversão da Arte,"Girard, René","R$      74,90","R$       37,45"
A Crise da Cultura e a Ordem do Amor - Ensaios Filosófi,"oPsinheiro, Victor Sales","R$      94,90","R$       47,45"
A Crise da Educação Ocidental,"Dawson, Christopher","R$     64,90","R$       32,45"
A Crônica Brasileira: Século XIX,"Soares, Marcus Vinicius Nogueira","R$     64,90","R$       32,45"
A Divisão da Cristandade - Da reforma protestante à er,"dDoa wilusomni,n Cishmriostopher","R$     79,90","R$       39,95"
A Economia Não Mente,"Sorman, Guy","R$      59,90","R$       29,95"
A Estética de Lévi-Strauss,"Merquior, José Guilherme","R$      54,90","R$       27,45"
A Estrutura do Canto - Sistema e arte na técnica vocal,"Miller, Richard","R$  134,90","R$       67,45"
A Ética da Autenticidade,"Taylor, Charles","R$      49,90","R$       24,95"
A Faca Entrou - Assassinos reais e a nossa cultura,"Dalrymple, Theodore","R$      59,90","R$       29,95"
A Filosofia Civil de Eric Voegelin,"Henriques, Mendo Castro","R$  104,90","R$       52,45"
A Filosofia Política de Edmund Burke,"Moreira, Ivone","R$   129,90","R$       64,95"
A Filosofia Política de Hobbes - Suas bases e sua gênese,"Strauss, Leo","R$      64,90","R$       32,45"
A Formação da Cristandade - Das origens na tradição J,"dDaaicwos-ocnri,s Ctãh àri astsocepnhseãro e queda da unida","eR $m  e   d 9i9e,v9a0l","R$       49,95"
A França contra os Robôs,"Bernanos, Georges","R$     59,90","R$       29,95"
A Guerra Antes da Civilização - O Mito do Bom Selvage,"Keeley, Lawrence H.","R$      99,90","R$       49,95"
"A História de Rasselas, Príncipe da Abissínia","Johnson, Samuel","R$     74,90","R$       37,45"
A História do Comunismo Contada aos Doentes Mentai,"sVisniec, Matéi","R$     44,90","R$       22,45"
A História do Mundo (volume 1) - A Antiguidade: Dos p,"iBmaueierro, sS nuôsamna Wdei se ao último imperador","oRm$a  n1o34,90","R$       67,45"
A História do Mundo (volume 2) - A Idade Média: Da qu,"Bdaau deer ,R Soumsaan a Wo inseício da Renascença","R$   134,90","R$       67,45"
A História do Mundo (volume 3) – O Início da Era Mode,"Bnau: dere,  ESluizsabne Wtei Is eà Corrida do Ouro","R$   149,90","R$       74,95"
A Imagem Descartada - Para compreender a visão medi,"Lveawl diso, mC.u Sn. do","R$     69,90","R$       34,95"
A Imaginação Liberal,"Trilling, Lionel","R$     79,90","R$       39,95"
"A Imaginação Moral – Jane Austen e George Eliot, Burk","He iSmtumaretl fMaribll,,  GDeisrrtarueldi ee Churchill, Oakes","oRt$t   e   T 7r4il,l9in0g","eR o$u  t  r  o 3s7,45"
A Indústria de Mentiras,"Yemini, Bem-Dror","R$  104,90","R$       52,45"
A Magia das Coisas,"Minkovicius, Ivo","R$      19,90","R$          9,95"
A Máquina Tchékhov,"Visniec, Matéi","R$      39,90","R$       19,95"
A Medida de Todas as Coisas,"Vélez, Pedro Llosa","R$     69,90","R$       34,95"
A Mentalidade Conservadora - De Edmund Burke a T. S.,"EKliorkt, Russell","R$  229,90","R$    114,95"
A Mente do criador,"SAYERS, DOROTHY L.","R$     59,90","R$       29,95"
A Mente no Mundo Moderno,"Trilling, Lionel","R$      39,90","R$       19,95"
A Mente Servil - Como a democracia solapa a vida mor,"lMinogue, Kenneth","R$      94,90","R$       47,45"
A Mulher-Alvo e Seus Dez Amantes,"Visniec, Matéi","R$     39,90","R$       19,95"
A Nova Política da Europa,"Middelaar, Luuk van","R$   104,90","R$       52,45"
A Nova Síndrome de Vichy - Por que intelectuais europ,"Dusa lsrey rmenpdlee,m Th aeoo bdaorbearismo","R$      59,90","R$       29,95"
A Ontologia Axiológica de Louis Lavelle,"Padilha, Tarcísio","R$      49,90","R$       24,95"
A Política da Fé e a Política do Ceticismo,"Oakeshott, Michael","R$      64,90","R$       32,45"
A Política da Prudência,"Kirk, Russell","R$   114,90","R$       57,45"
A Pomba Escura - O Sagrado e o Secular na Literatura M,"Wderbnba, Eugene","R$     69,90","R$       34,95"
A Presença Total e Ensaios Reunidos,"Lavelle, Louis","R$      79,90","R$       39,95"
A Profundidade dos Sexos - Por Uma Mística da Carne,"Hadjadj, Fabrice","R$      69,90","R$       34,95"
A Revolução Voegeliniana,"Sandoz, Ellis","R$     84,90","R$       42,45"
A Tolerância e a Manipulação,"Quintás, Alfonso López","R$     69,90","R$       34,95"
A Verdade É Insuportável - Ensaios sobre a hipocrisia,"Martins, Andrei Venturini","R$     49,90","R$       24,95"
A Vida Intelectual A Arte e A Moral (capa dura),"Sertillanges, A.-D.","R$  134,90","R$       67,45"
A Vida Intelectual e A Arte e a Moral (brochura),"Sertillanges, A.-D.","R$     44,90","R$       22,45"
A Vida na Sarjeta - O círculo vicioso da miséria moral,"Dalrymple, Theodore","R$     69,90","R$       34,95"
Ação Afirmativa ao Redor do Mundo - Um estudo empí,"iScoow seolbl,r Teh coomtaass e grupos preferenciais","R$     74,90","R$       37,45"
Alegoria do Amor - Um Estudo da Tradição Medieval,"Lewis, C. S.","R$   104,90","R$       52,45"
Além das Palavras - Vivendo o credo apostólico,"Steindl-Rast, Irmão David","R$      49,90","R$       24,95"
"Além do Desejo - Literatura, sexualidades e ética","Lance, Daniel","R$      69,90","R$       34,95"
América Latina em 130 Documentário,"Ruffinelli, Jorge","R$      99,90","R$       49,95"
Análise Dialética do Marxismo,"Santos, Mário Ferreira dos","R$      69,90","R$       34,95"
Anamnese,"Voegelin, Eric","R$  109,90","R$       54,95"
Anatomia da Crítica,"Frye, Northrop","R$   109,90","R$       54,95"
Anatomia da Vingança - Figuras Elementares de Recipr,"cAindsapdaech, Mark","R$      54,90","R$       27,45"
Anorexia e Desejo Mimético,"Girard, René","R$      49,90","R$       24,95"
Antropofagia Hoje? Oswald de Andrade em Cena,Diversos Autores,"R$  159,90","R$       79,95"
Ao Sondar o Abismo – Pensamentos intempestivos sob,"eH cimulmtuerlafa er bso, cGierdtarduede","R$      59,90","R$       29,95"
Aquele por quem o Escândalo Vem,"Girard, René","R$     59,90","R$       29,95"
Aristóteles para Todos - Uma introdução simples a um,"Aendslearm, Menotrot icmomerp Jl.exo","R$     74,90","R$       37,45"
Arte e Imaginação,"Scruton, Roger","R$     79,90","R$       39,95"
"Arte e Sociedade em Marcuse, Adorno e Benjamin - Ens","Mioe crrqítuiicoor ,s oJobsrée  Ga uEislchoelram Neeo-Hegeliana","eR F$r a  n   8k4fu,9rt0","R$       42,45"
Arte ou Desastre,"Monteiro, Ângelo","R$     64,90","R$       32,45"
As Almas que Se Quebram no Chão,"Bocarro, Karleno","R$      69,90","R$       34,95"
As Heresias de Pedro Abelardo,"Bernardo de Claraval, São","R$      44,90","R$       22,45"
As Ideias Têm Consequências,"Weaver, Richard M.","R$     59,90","R$       29,95"
As Memórias de Underground,"Scruton, Roger","R$     69,90","R$       34,95"
