"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
Título,Autor,Preço de capa,Preço com desconto
A AVÓ AMARELA,Júlia Medeiros e Elisa Carareto,"R$ 54,00","R$ 27,00"
A BORBOLETA AZUL,Ricardo Azevedo e Sylvia Helena Boock,"R$ 39,00","R$ 19,50"
A GALINHA E OUTROS BICHOS INTELIGENTES,Ronald Polito e Guto Lacaz,"R$ 62,00","R$ 31,00"
A LENDA DAS TRÊS LARANJAS,Bettina Bopp e Ana Guima,"R$ 39,00","R$ 19,50"
A ONÇA DOLORES E O BODE QUIRINO,Zeco Homem de Montes e Deborah Engelender,"R$ 47,00","R$ 23,50"
A PRAÇA,Carlos Moraes e Rubens Matuck,"R$ 39,00","R$ 19,50"
A PRINCESA E O DRAGÃO... E BALTAZAR,Fernanda Rios e Veridiana Scarpelli,"R$ 53,00","R$ 26,50"
ABRAPOEMA,Juliana Valverde e Clarice Cajueiro,"R$ 70,00","R$ 35,00"
ALCATEIA,Fabíola Reis e múltiplos ilustradores,"R$ 59,00","R$ 29,50"
AS TRÊS HISTÓRIAS MAIS BONITAS DO MUNDO,Carlos Moraes e César Landucci,"R$ 30,00","R$ 15,00"
COM QUANTOS PINGOS SE FAZ UMA CHUVA?,Maria Amália Camargo e Ionit Zilberman,"R$ 43,00","R$ 21,50"
CONVERSAS DE VAGA-LUMES,Maria da Betania Galas,"R$ 43,00","R$ 21,50"
CULTURA POPULAR GERANDO IDEIAS NA EDUCAÇÃO INFANTIL,Candu Marques e Lu Mendes,"R$ 52,00","R$ 26,00"
ESCONDIDO,María José Ferrada e Rodrigo Marín Matamoros,"R$ 53,00","R$ 26,50"
"ESQUELETO, TOMATE E PULGA",Ricardo Azevedo e Guto Lacaz,"R$ 39,00","R$ 19,50"
"EU, UÉ!",Juliana Valverde e Natália Gregotini,"R$ 56,00","R$ 28,00"
FAREJANDO A LIBERDADE,Anna Flora e Luise Weiss,"R$ 39,00","R$ 19,50"
FUZARCA NA ARCA DE NOÉ,Adriano Messias e Ionit Zilberman,"R$ 47,00","R$ 23,50"
GUERRAS!,Laerthe de Moraes Abreu Jr.,"R$ 50,00","R$ 25,00"
HISTÓRIAS EM HAI-KAI,Maria José Palo e Kris Palo,"R$ 39,00","R$ 19,50"
LIA E O FEITIÇO DA PALAVRA,Marília Moreira e Maria da Betania Galas,"R$ 53,00","R$ 26,50"
MÃE D ́ÀGUA,Bel Assunção Azevedo e Vivian Braga,"R$ 39,00","R$ 19,50"
MANUAL DO PAPO-FURADO,Maria Amália Camargo e Ionit Zilberman,"R$ 43,00","R$ 21,50"
MAREMOTO,Flávia Reis e Elisa Carareto,"R$ 62,00","R$ 31,00"
MINDINHO MAIOR DE TODOS,Juliana Valverde e Feres Khoury,"R$ 50,00","R$ 25,00"
O CORAÇÃO DE PLÁSTICO,Lido Loschi e Anita Prades,"R$ 54,00","R$ 27,00"
O MACACO E A ONÇA,Deborah Engelender e Laerthe de Moraes Abreu Jr.,"R$ 39,00","R$ 19,50"
O MENINO ARTEIRO,Gil Veloso e Guto Lacaz,"R$ 62,00","R$ 31,00"
O SUMIÇO DO TATU,Marília Moreira e Raquel Matsushita,"R$ 63,00","R$ 31,50"
O TRIÂNGULO DAS MÁS INTENÇÕES,Marco Túlio Costa,"R$ 35,00","R$ 17,50"
ONDE VOCÊ MORA?,Silvana Tavano e Carla Caruso,"R$ 47,00","R$ 23,50"
PEÇOINHAS,Jayme Loureiro e João Loureiro,"R$ 30,00","R$ 15,00"
PEQUENAS ARMADURAS,Janaina Tokitaka,"R$ 53,00","R$ 26,50"
PRA ONDE FOI O PAI DA MARIA BORRALHEIRA,Zeco Homem de Montes e Ana Guima,"R$ 47,00","R$ 23,50"
PRA VOCÊ,Vera Rodrigues,"R$ 33,00","R$ 16,50"
SAGATRISSUINORANA,João Luiz Guimarães e Nelson Cruz,"R$ 53,00","R$ 26,50"
SETE ORELHAS,"Silvinha Meirelles, Tereza Meirelles e Nina Meirelles","R$ 50,00","R$ 25,00"
SOB AS ORDENS DO MAJOR COSTINHA E OUTRAS HISTÓRIAS DO MUNDO ANIMAL,Jayme Loureiro e Gene Johnson,"R$ 30,00","R$ 15,00"
UM TIME PARA SEMPRE,Carlos Moraes,"R$ 39,00","R$ 19,50"
VIRA-LATA FINÓRIO,Silvinha Meirelles e Chris Mazzotta,"R$ 39,00","R$ 19,50"
