"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
ISBN,Título,Autores,Preço Capa,
9788575965504,ABCDEspaço,Celina Bodenmüller | Luiz Eduardo Anelli,"R$       40,00","R$    20,00"
9788575963494,ABCDinos,Celina Bodenmüller | Luiz Eduardo Anelli,"R$       44,00","R$    22,00"
9788575961575,Agrobiodiversidade e direitos dos agricultores,Juliana Santilli,"R$       71,00","R$    35,50"
9788575966341,Ah...Nisso não tinha pensado!,Ludovic Souliman | Bruna Assis Brasil (ilust.),"R$       58,00","R$    29,00"
9788575966013,"Álbum de família: aventuranças, memórias e efabulações da trupe familiar Carroça deMamulengos",Gabriela Romeu | Catarina Bessell (ilust.),"R$       56,00","R$    28,00"
9786586028997,Álbum de família: KIT (livro e porta-retratos),Gabriela Romeu | Catarina Bessell (ilust.),"R$       75,00","R$    37,50"
9788575961506,Amigagem,Renata Farhat Borges | Silvia Amstalden,"R$       35,00","R$    17,50"
9788575961445,"Animais Fantásticos, Os",José Jorge Letria | André Letria,"R$       53,00","R$    26,50"
9786559311149,Antigamente era assim,Regina Machado,"R$       49,00","R$    24,50"
9788575960301,Antologia de poemas portugueses para a juventude,Henriqueta Lisboa (org.),"R$       30,00","R$    15,00"
9788575965108,Apetece-lhe Pessoa? Antologia poética de Fernando Pessoa para ler e ouvir,José Jorge Letria | Susana Ventura,"R$       37,00","R$    18,50"
9788575961513,"Arte perdida de curar, A",Bernard Lown,"R$       66,00","R$    33,00"
9788575961841,"Artes Visuais na Educação Inclusiva, Metodologias e práticas do Inst. Rodrigo Mendes","Rodrigo Hübner Mendes | José Cavalhero | Ana MariaCaira Gitahy","R$       73,00","R$    36,50"
9788575960431,Artistas do Invisível: O Processo Social e o Profissional de Desenvolvimento,Allan Kaplan,"R$       66,00","R$    33,00"
9788575963760,"ArtZen: Colorir é só o começo, para toda a família",Marcia Aftimus,"R$       22,00","R$    11,00"
9788575961216,"Árvore do Brasil, A - nova reimpressão",Nelson Cruz,"R$       48,00","R$    24,00"
9788575965498,"Árvores do Brasil, cada poema no seu galho (brochura)",Lalau | Laurabeatriz (ilust.),"R$       48,00","R$    24,00"
9788575961797,Asas,Maya Hanoch | Ofra Amit,"R$       52,00","R$    26,00"
9788575963487,"Assassinatos da Rua Morgue, Os",Edgar Allan Poe | Tradução de Mara Jardim,"R$       35,00","R$    17,50"
"",Até aqui,Líria Porto,Prelo,
9788575963692,Atirem-se ao ar! O que ninguém contou de uma viagem histórica,António Torrado,"R$       40,00","R$    20,00"
9788575962084,Auto da barca do inferno em quadrinhos,Gil Vicente por Laudo Ferreira,"R$       49,00","R$    24,50"
9788575962664,"Avião de Alexandre, O",Alaíde Lisboa | Anna Cunha,"R$       44,00","R$    22,00"
9788575961766,"Avô, conta outra vez",José Jorge Letria | André Letria,"R$       53,00","R$    26,50"
