"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542302127,10,"""1970"": ARTE E PENSAMENTO",-,"R$     55,00","R$ 27,50"
9788570413437,20,100 POEMAS - CARLOS DRUMMOND DE ANDRADE,-,"R$     65,00","R$ 32,50"
9788570413437,20,100 POEMAS - CARLOS DRUMMOND DE ANDRADE,-,"R$     65,00","R$ 32,50"
9788542303247,20,1A ED FIGURACOES DO AMOR ARTISTICO: ENSAIOS,-,"R$     48,00","R$ 24,00"
9788542302486,5,A TRADICAO ESQUECIDA: OS PARCEIROS DO RIO BONITO E,- SOCIOL,"RG$IA   D  4E9 ,A00N","ONRIO$  2C4A,5N0DI"
9788542301854,10,ABASTECIMENTO DE AGUA PARA CONSUMO HUMANO - EM,-OIS VOL,"MRE$S   1(5927,80805","23R01$8 7467, 0E0 97"
9788570412959,10,ADOLESCENCIA,-,"R$     27,00","R$ 13,50"
9788553128037,10,AI QUE DOR!,-,"R$     22,00","R$ 11,00"
9788570414847,10,ALEXIS DE TOCQUEVILLE - A HISTORIOGRAFIA COMO CIENC,A-  DA PO,"ITRIC$ A    47,00","R$ 23,50"
9788542302752,10,ALMANAQUE DE UM CONDADO ARENOSO E ALGUNS ENSAI,S-  SOBRE,"ORU$T  R   O59S,0 L0U","AR$E S29,50"
9788542303148,20,ALVOROCO DA CRIACAO: A ARTE NA FICCAO DE CLARICE LI,-PECTOR,"R$     43,00","R$ 21,50"
9788570418326,5,"AMBIVALENCIA, CONTRADICAO E VOLATILIDADE NO SISTEM",- PENAL -,"LRE$IT  U   6R2A,0S0","ONRT$E M31P,0O0RA"
9788570414519,20,ANALISE DE DADOS ATRAVES DE METODOS DE ESTATISTIC,- MULTIV,"RRIA$ D  A  4 5- ,U00M","ARBO$ R22D,A50GE"
9788542300024,5,ANGEL RAMA - UM TRANSCULTURADOR DO FUTURO,-,"R$     38,00","R$ 19,00"
9788542300451,10,ANTIAFRODISIACO PARA O AMOR PLATONICO,-,"R$     32,00","R$ 16,00"
9788570419125,15,"ANTIMODERNOS, OS - DE JOSEPH DE MAISTRE A ROLAND B",-RTHES,"R$     68,00","R$ 30,00"
9788570419101,10,ANTOLOGIA POETICA - LUIS CARLOS PATRAQUIM,-,"R$     38,00","R$ 19,00"
9788570417152,10,ANTOLOGIA POETICA - RUI KNOPFLI,-,"R$     38,00","R$ 19,00"
9788570416711,20,"ANTOLOGIA TEATRAL DA LATINIDADE - CESAR BRIE, JUAN R",-DRIGAN,"RRA$M   O  3N5 ,G00R","FFERR$O 1 7E,5 M0IC"
9788570417244,5,ANTROPOLOGIA BRASILIANA - CIENCIA E EDUCACAO NA OB,-A DE ED,"ARR$D     R 55O,Q00U","TTRE$- P2I7N,5T0O"
9788542302042,5,AO FIM DA CIDADE,-,"R$     54,00","R$ 27,00"
9788542300567,15,APRENDER A APRENDER - FORMACAO PARA A AUTONOMIA,-,"R$     42,00","R$ 21,00"
9788570419859,10,AQUI AMERICA LATINA - UMA ESPECULACAO,-,"R$     49,00","R$ 24,50"
9788570419644,3,"ARDIL TOTALITARIO, O - IMAGINARIO POLITICO NO BRASIL D",-S ANOS,"DRE$ 1  9  3 408,00","R$ 24,00"
9788570419910,5,"ARMAS CIDADAOS, AS ! PANFLETOS MANUSCRITOS DA IND",P- ENDEN,"IAR $D  O   4B2R,0A0S","L (R18$2 201 -, 010823"
9788542302172,3,ARQUITETURA DA MODERNIDADE,-,"R$     54,90","R$ 27,45"
9788542301625,5,"ARQUITETURA, HUMANISMO E REPUBLICA - A ATUALIDADE",-O DE RE,"ARED$ I F  I 4C7A,0T0O","IAR$ 23,50"
9788542300529,15,ARQUIVO - ESTUDOS E REFLEXOES,-,"R$     75,00","R$ 37,50"
9788570419620,15,"ARQUIVO E O REPERTORIO, O - PERFORMANCE E MEMORIA",C- ULTUR,"LR N$A  S   6A9M,0E0","ICARS$ 34,50"
9788542301564,5,"ARQUIVOS LITERARIOS- TEORIAS, HISTORIAS, DESAFIOS",-,"R$     42,00","R$ 21,00"
9788542302134,20,ARQUIVOS PESSOAIS: UM NOVO CAMPO PROFISSIONAL - LE,"T- URAS,","ERF$L E  X  7O2E,0S0","RERC$ O36N,S00IDE"
9788542301243,15,ARTE PODER,-,"R$     49,00","R$ 24,50"
9788570419590,10,"ARTISTA DESAPARECIDO, O - P.W. LUND E P.A. BRANDT NO",-RASIL,"R$     75,00","R$ 37,50"
9788542302400,30,"ATLAS OU O GAIO SABER INQUIETO - O OLHO DA HISTORIA,",I-I,"R$     78,00","R$ 39,00"
9788542300505,10,BIOGRAFIA LITERARIA - LUCIANO DE SAMOSATA,-,"R$     38,00","R$ 19,00"
9788570418609,10,"BIOLOGIA MILITANTE, A - O MUSEU NACIONAL, ESPECIALIZA",-AO CIEN,"IRF$IC  A   4, 2D,I0V0U","GARC$ A2O1, 0D0O"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542302240,20,BIOS - BIOPOLITICA E FILOSOFIA,-,"R$     59,00","R$ 29,50"
9788570419699,3,BIOTECHNOLOGIES AND THE HUMAN CONDITION,-,"R$     48,00","R$ 24,00"
9788542301410,10,BIOTECNOLOGIAS - NOVOS DESAFIOS E NOVA RESPONSABI,-IDADE A,"LURZ$  D  A 6 8E,0T0I","A DRE$  H3A4,N0S0 J"
9788542302387,10,BIOTECNOLOGIAS E REGULACOES: DESAFIOS CONTEMPOR,-NEOS,"R$     59,00","R$ 29,50"
9788542302189,10,"BOX PASSEIOS: A SABARA, OURO PRETO E DIAMANTINA (3",O- LUMES),"R$   120,00","R$ 60,00"
9788570413598,5,BREVE MANUAL DE ESTILO E ROMANCE,-,"R$     20,00","R$ 10,00"
9788570414953,10,BRINCAR(ES),-,"R$     29,00","R$ 14,50"
9788542300628,20,"CANCOES DA TERRA, CANCOES DO MAR - SONGS OF THE L","-ND, SON","SR $O  F   4T2H,0E0","EAR$ 21,00"
9788542302950,20,CARDAPIOS: UMA NOVA ABORDAGEM PARA O DIAGNOSTIC,",- PLANEJ","MRE$ N  T  2O9 ,E00 A","ALRIA$ C14A,O50"
9788542300307,20,CATALOGO DE VERBOS DO PORTUGUES BRASILEIRO - CLA,S- IFICAC,"OR V$E  R   7B2A,0L0 S","GURN$ D36O,0 A0 D"
9788542301335,20,"CERAMICA NO BRASIL, A - SISTEMATIZACAO BIBLIOGRAFICA",-- 4VOL.,"R$     40,00","R$ 20,00"
9788542300222,5,"CHAMADO DA CIDADE, O - ENSAIOS SOBRE A URBANIDADE",-,"R$     52,00","R$ 26,00"
9788542301762,10,CHICO BUARQUE - RECORTES E PASSAGENS,-,"R$     42,00","R$ 21,00"
9788553128167,10,"CHOPIN, O CUPIM",-,"R$     30,00","R$ 15,00"
9788542301618,5,CIDADE DE LOBOS - A REPRESENTACAO DE TERRITORIOS,A- RGINAI,"NRA$  O  B 44R,A00 D","RRU$B 2E2N,0S0 FI"
9788570417800,10,CIDADE UNIVERSITARIA DA UFMG - HISTORIA E NATUREZA,-,"R$     72,00","R$ 36,00"
9788542302035,10,CIDADES E CULTURA POLITICA NAS AMERICAS,-,"R$     47,00","R$ 23,50"
9788570419064,15,CIENCIA DA INFORMACAO E BIBLIOTECONOMIA - NOVOS CO,-TEUDO,"ER E$ S  P  3A0C,0O0","DER A$ T1U5A,0C0A"
9788570417497,5,CIENCIA NA TELA - EXPERIMENTOS NO RETROPROJETOR,-,"R$     37,00","R$ 18,50"
9788542302530,10,CIENCIAS DA NATUREZA NA EDUCACAO INFANTIL,-,"R$     50,00","R$ 25,00"
9788570418340,20,"CINCO PARADOXOS DA MODERNIDADE, OS",-,"R$     43,00","R$ 21,50"
9788542300277,15,"COGNICAO, CIENCIA E VIDA COTIDIANA",-,"R$     46,00","R$ 23,00"
9788570416797,5,COMPREENDENDO E AVALIANDO - PROJETOS DE SEGURAN,-A PUBLI,"AR$     51,00","R$ 25,50"
9788542302615,20,COMUNICACAO (INTER)CULTURAL EM INTERACAO,-,"R$     64,00","R$ 32,00"
9788570419989,5,COMUNISTAS BRASILEIROS - CULTURA POLITICA E PRODUC,-O CULT,"RRA$L     58,00","R$ 29,00"
9788570419163,5,"CONGRESSO POR ELE MESMO, O - AUTOPERCEPCOES DA",L-ASSE P,"LRIT$I C   A 4 6B,R00A","ILERI$R A23,00"
9788570419682,10,CONSTITUICOES NACIONAIS E POVOS INDIGENAS,-,"R$     40,00","R$ 20,00"
9788570417190,5,CONSTRUCOES DO PORTUGUES DO BRASIL DA GRAMATICA,-AO DISC,"RS$O     53,00","R$ 26,50"
9788570418685,3,"CONTATOS LINGUISTICOS NO BRASIL, OS",-,"R$     65,00","R$ 32,50"
9788542300215,10,"CONVENIENCIA DA CULTURA, A - USOS DA CULTURA NA ER",-GLOBAL,"R$     68,00","R$ 34,00"
9788570418869,5,CONVERSACOES - DE ARTE E DE CIENCIAS,-,"R$     58,00","R$ 29,00"
9788570419439,3,C-ORAL - BRASIL I - CORPUS DE REFERENCIA DO PORTUGU,-S BRASI,"ERIR$O     F 6A9,L0A0","O INR$F O34R,M50AL"
9788542302417,5,CORPO SEM CABECA: O TIPOGRAFO-EDITOR E A PETALOGI,-A,"R$     54,00","R$ 27,00"
9788542301397,15,"CORPO, ARTE E TECNOLOGIA",-,"R$     66,00","R$ 33,00"
