"",,LISTA DE LIVROS,
"",ATTIE EDITORA,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
O Legado da Sabedoria (brochura),Miguel Attie Filho,"R$ 58,20","R$ 29,10"
"",,,
O Legado da Sabedoria (capa dura),Miguel Attie Filho,"R$ 94,50","R$ 47,25"
"",,,
Inteligência e Metafísica em  Avicena (comerc.),Miguel Attie Filho,"R$ 62,80","R$ 31,40"
"",,,
Inteligência e Metafísica em  Avicena (artesanal),Miguel Attie Filho,"R$ 78,50","R$ 39,25"
"",,,
Falsafa: a Filosofia entre os Árabes,Miguel Attie Filho,"R$ 154,70","R$ 77,35"
"",,,
Al-Kindi: A Filosofia Primeira,Miguel Attie Filho,"R$ 137,80","R$ 68,90"
"",,,
Al-Farabi: A Cidade Excelente,Miguel Attie Filho,"R$ 154,30","R$ 77,15"
"",,,
Avicena: O Livro da Alma,Miguel Attie Filho,"R$ 168,80","R$ 84,40"
"",,,
"Marcas e Pensamentos: Notas a uma História do Pensamento daTerra",Miguel Attie Filho,"R$ 194,80","R$ 97,40"
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
