"",TÍTULO,,,AUTOR(A),,,PREÇO  CHEIO,,,PREÇO  COM DESCONTO,
"",A EROTICA DO SONO,,,Mario Eduardo Costa Pereira,,,"R$                               69,9",,,"R$                                    34,95",
"",ATO ANALÍTICO E VALORIZAÇÃO DA VIDA,,,Fórum do campo lacaniano - Fortaleza,,,"R$                               55,00",,,"R$                                    27,50",
"","ARREBATAMENTO DE LACAN, O",,,Érik Porge,,,"R$                               66,00",,,"R$                                    33,00",
"",ACOMPANHAMENTO TERAPEUTICO E CLINICA DO COTIDIANO,,,Leonel Dozza de Mendonça,,,"R$                               70,00",,,"R$                                    35,00",
"",ADVENTOS DO REAL: DA ANGUSTIA AO SINTOMA,,,Colette Soler,,,"R$                               72,90",,,"R$                                    36,45",
"",A SUBLIMAÇÃO,,,Clarissa Metzger,,,"R$                               49,90",,,"R$                                    24,95",
"",AUTISMO E MEDIAÇÃO,,,Isabelle Orrado e Jean-Michel Vives,,,"R$                               63,00",,,"R$                                    31,5",
"",CLINICA DO ACOMPANHAMENTO TERAPEUTICO E PSINALISE,,,Clarissa Metzger,,,"R$                               60,00",,,"R$                                    30,00",
"","COMPLEXO DE ÉDIPO, O",,,Ivan Ramos Estevão,,,"R$                               49,9",,,"R$                                    24,95",
"","DIFERENCA SEXUAL, A - GENERO E PSICANALISE",,,Mariano Daquino,,,"R$                               60,00",,,"R$                                    30,00",
"",ENSAIOS SOBRE M. VIVO:THE W.DEAD O.METAFOR.-VOL.01,,,Diego Penha e Rodrigo Gonsalves,,,"R$                               60,00",,,"R$                                    18,00",
"",FACES DO SEXUAL,,,Rafael Kalaf Cossi,,,"R$                               65,0",,,"R$                                    32,50",
"",FUGIR PARA ADIANTE,,,Pablo Peusner,,,"R$                               60,00",,,"R$                                    30,00",
"",GUIA TOPOLOGICO PARA O ATURDITO,,,Jorge Chapuis e Rithée Cevasco,,,"R$                               82,00",,,"R$                                    41,00",
"","HOMENS, MULHERES",,,Colette Soler,,,"R$                               72,90",,,"R$                                    36,45",
"",LACOS POSSIVEIS,,,Renata Kerbauy e col,,,"R$                               60,00",,,"R$                                    24,00",
"","LACAN, LEITOR DE JOYCE",,,Colette Soler,,,"R$                               80,00",,,"R$                                    40,0",
"","LICOES DAS PSICOSES, AS",,,Colette Soler,,,"R$                               42,00",,,"R$                                    21,00",
"",PASSO A PASSO - RUMO A UMA CLINICA BORROMEANA,,,Rithée Cevasco e Jorge Chapuis,,,"R$                               87,90",,,"R$                                    43,95",
"","PERVERSAO E A PSICANALISE, A",,,Luiz Izcovich,,,"R$                               66,00",,,"R$                                    26,4",
"",PSICANALISE E PANDEMIA,,,Fórum do campo lacaniano - Campo Grande,,,"R$                               49,90",,,"R$                                    19,96",
"",PSICANALISTAS DO SECULO XX - VOL. 01,,,Dayse Stoklos e Rosangela Vernizi,,,"R$                               60,00",,,"R$                                    24,00",
"",RUMO A IDENTIDADE,,,Colette Soler,,,"R$                               72,90",,,"R$                                    29,1",
"","SUBLIMACAO, UMA EROTICA PARA PSICANALISE, A",,,Érik Porge,,,"R$                               80,00",,,"R$                                    40,00",
"",UM OUTRO NARCISO,,,Colette Soler,,,"R$                               72,90",,,"R$                                    36,4",
"","VOZ NO DIVÃ, A",,,Jean-Michel Vives,,,"R$                               80,00",,,"R$                                    40,00",
"",ECONOMIA DA LONGEVIDADE,,,Jorge Felix,,,"R$                               44,9",,,"R$                                    17,96",
"",PERSONAGENS DO TERCEIRO REICH,,,Rodrigo Trespach,,,"R$                               54,90",,,"R$                                    21,96",
"",PORVENTURA,,,Mauro Ventura,,,"R$                               44,9",,,"R$                                    15,72",
"","RAINHA DO IGNOTO, A",,,Emilia Freitas,,,"R$                               59,90",,,"R$                                    23,96",
"","VENTO, A CHAMA, O",,,Laerte de Paula,,,"R$                               44,90",,,"R$                                    22,45",
"",PERSONAGENS DA INDEPENDÊNCIA DO BRASIL,,,Rodrigo Trespach,,,"R$                               56,90",,,"R$                                    28,4",
"",LESBIA,,,Maria Benedita Bormann,,"R$                               62,90",,"R$                                    31,45",,,
