EDITORA ALTA BOOKS | FEIRA DA USP
TÍTULO,ISBN,Preço de Capa,Preço c/Desconto
1 Ano em 12 Semanas -,9788550814018,"R$ 59,90","R$ 29,95"
12 Regras Para a Vida -,9788550802756,"R$ 59,90","R$ 29,95"
7 Segredos Para Investir Como Warren Buffet,9788550815244,"R$ 59,90","R$ 29,95"
A Dicotomia da Liderança -,9788550810133,"R$ 69,90","R$ 34,95"
A Esquerda Hoje,9788550813523,"R$ 59,90","R$ 29,95"
A Guerra das Sombras,9788550815800,"R$ 69,90","R$ 34,95"
A Introdução Definitiva á PNL -,9788550810843,"R$ 49,90","R$ 24,95"
A Mente Moralista -,9788550813905,"R$ 69,90","R$ 34,95"
A Metamorfose do Vencedor,9786555205107,"R$ 64,90","R$ 32,45"
A Organização Dirigida Por Valores -,9788550801810,"R$ 63,00","R$ 31,50"
A Organização Sem Medo -,9788550814384,"R$ 64,90","R$ 32,45"
A Pergunta Definitiva 2.0 -,9788550802558,"R$ 59,00","R$ 29,50"
A Tríade da Competência,9788550814957,"R$ 54,90","R$ 27,45"
A Vida Após o Google,9788550813967,"R$ 69,90","R$ 34,95"
Abundância  Alta Books -,9788550807829,"R$ 69,00","R$ 34,50"
Alavancando Negócios com seu Vendedor,9788550813561,"R$ 44,90","R$ 22,45"
Além da Ordem:+12 Regras para a Vida-,9786555204971,"R$ 69,90","R$ 34,95"
Alemão Essencial Para Leigos,9788550802299,"R$ 42,00","R$ 21,00"
Análise de Dados com Excel Para Leigos,9788550808413,"R$ 79,90","R$ 39,95"
Análise de Dados de Blockchain Para Leigos,9786555205091,"R$ 69,90","R$ 34,95"
Análise Fundamentalista -,9788550804729,"R$ 49,90","R$ 24,95"
Análise Técnica Para Leigos 4oEd -,9788550815893,"R$ 79,90","R$ 39,95"
Anatomia e Fisiologia PL 3a Edição -,9788550810553,"R$ 79,90","R$ 39,95"
Armas e Ferramentas -,9788550815664,"R$ 59,90","R$ 29,95"
Arquitetura Limpa -,9788550804606,"R$ 89,90","R$ 44,95"
As 4 Disciplinas da Execução -,9788550801391,"R$ 79,00","R$ 39,50"
As Vulnerabilidades de um Profissional,9788550813622,"R$ 59,90","R$ 29,95"
Astrologia Para Leigos,9788550815695,"R$ 84,90","R$ 42,45"
Astronomia Para Leigos,9788576085096,"R$ 81,00","R$ 40,50"
Atitude Pró-Inovação,9786555200584,"R$ 64,90","R$ 32,45"
Atravessando o Abismo,9788550813950,"R$ 64,90","R$ 32,45"
Avalie o que Importa-,9788550804552,"R$ 64,90","R$ 32,45"
Blitzscaling -,9788550807584,"R$ 64,90","R$ 32,45"
Bold: Oportunidades Exponenciais-,9788550805986,"R$ 63,00","R$ 31,50"
Business Model Generation-,9788576085508,"R$ 109,00","R$ 54,50"
Business Model You-,9788576087793,"R$ 103,00","R$ 51,50"
Caderno de Ideogramas Chinês PL -,9788550807058,"R$ 39,90","R$ 19,95"
Caderno de Ideogramas Japonês PL -,9788550806129,"R$ 42,00","R$ 21,00"
Chinês Para Leigos,9788576088790,"R$ 92,00","R$ 46,00"
Cibersegurança Para Leigos,9786555200676,"R$ 74,90","R$ 37,45"
Código Limpo -,9788576082675,"R$ 114,00","R$ 57,00"
Combinando Palavras em Inglês -,9788550802794,"R$ 60,00","R$ 30,00"
Começando a Programar em Python Para Leigos,9788550815855,"R$ 79,90","R$ 39,95"
Como Dizer Tudo em Inglês Negócios,9788550803050,"R$ 69,90","R$ 34,95"
Como se Transformar em Um Operador e Investidor de Suc,ss9o788550811727,"R$ 69,90","R$ 34,95"
Como Se Transformar em um Operador e Investidor de Suc,s9so7 8–8 O55 G0u8i1a1 P7r4á1ti,"oR$ 54,90","R$ 27,45"
Comportamento Aleatório,9788550807188,"R$ 59,90","R$ 29,95"
Computação Quântica,9788550807317,"R$ 69,90","R$ 34,95"
Conflito de Interesses e Serum Anticorrupção,9788550814667,"R$ 59,90","R$ 29,95"
Conhecimento Líquido,9788550813479,"R$ 44,90","R$ 22,45"
Contabilidade Para Leigos,9788550800271,"R$ 69,00","R$ 34,50"
Customer Experience,9786555202519,"R$ 59,90","R$ 29,95"
Data Science Do Zero 2o edição -,9788550811765,"R$ 99,90","R$ 49,95"
Data Science Para Negócios -,9788576089728,"R$ 87,90","R$ 43,95"
Day Tranding Para Leigos,9786555204773,"R$ 74,90","R$ 37,45"
De Zero a 50 Milhões -,9786555201253,"R$ 49,90","R$ 24,95"
Deficit Publico -,9786555204674,"R$ 74,90","R$ 37,45"
Desenho Para Leigos 2a Ed-,9788550800141,"R$ 68,00","R$ 34,00"
Desenvolvimento Ágil Limpo -,9788550815008,"R$ 59,90","R$ 29,95"
DESIGN THINKING  10 ANOS -,9788550814360,"R$ 79,90","R$ 39,95"
Design Thinking Para Leigos,9786555203653,"R$ 69,90","R$ 34,95"
Desvendando A Caixa  Preta -,9788550816579,"R$ 49,90","R$ 24,95"
Do Sonho á Realização em 4 Passos,9788550810775,"R$ 69,90","R$ 34,95"
Domain Driven Design 3Ed -,9788550800653,"R$ 105,00","R$ 52,50"
Dominando o Ciclo de Mercado -,9788550808789,"R$ 74,90","R$ 37,45"
Economia Básica Vol I -,9788550802381,"R$ 73,00","R$ 36,50"
Economia Básica Vol II,9788550802398,"R$ 73,00","R$ 36,50"
Elaboração e Avaliação de Planos de Negócios,9786555205763,"R$ 79,90","R$ 39,95"
Empatia Assertiva 2o Edição -,9786555202199,"R$ 69,90","R$ 34,95"
Empreendedorismo Para Leigos,9788550802466,"R$ 73,00","R$ 36,50"
Empresas Feitas Para Vencer -,9788550805245,"R$ 69,90","R$ 34,95"
Empresas Humanizadas -,9788550807539,"R$ 79,90","R$ 39,95"
Espanhol Fácil  e Passo a Passo -,9788550803623,"R$ 64,90","R$ 32,45"
Estatística Prática Para Cientistas-,9788550806037,"R$ 74,90","R$ 37,45"
Excel Formulas e Funções Para Leigos 5a Edição,9788550808451,"R$ 84,90","R$ 42,45"
Execução – A Disciplina Para Atingir Resultados,9788550809274,"R$ 69,90","R$ 34,95"
"Filhos, Seu Melhor Investimento",9788550815152,"R$ 54,90","R$ 27,45"
Fique Rico Operando Opções -,9788550802213,"R$ 63,00","R$ 31,50"
Física I Para Leigos,9788550810898,"R$ 84,90","R$ 42,45"
Fobia,9786555200478,"R$ 54,90","R$ 27,45"
"Fonética, Fonologia e Ortografia",9788521629528,"R$ 71,00","R$ 35,50"
Francês Fácil  e Passo a Passo  -,9788550803647,"R$ 79,90","R$ 39,95"
Francês Para Leigos 3a Edição,9788550803760,"R$ 79,90","R$ 39,95"
Genética Para Leigos – Edição de Bolso,9788550800226,"R$ 40,00","R$ 20,00"
Geometria Para Leigos,9788550807959,"R$ 89,90","R$ 44,95"
Gramática de Uso da Língua Inglesa-,9788550802923,"R$ 63,00","R$ 31,50"
GRATIDÃO -,9788550810591,"R$ 59,90","R$ 29,95"
Hábitos Atômicos -,9788550807560,"R$ 54,90","R$ 27,45"
Hábitos de Sucesso Para Leigos,9788550815794,"R$ 79,90","R$ 39,95"
Hipercrescimento 2o Edição,9788550815336,"R$ 69,90","R$ 34,95"
Histórias Que Inspiram,9788550813844,"R$ 59,90","R$ 29,95"
HTML E CSS Projete e Construa Web-,9788576089391,"R$ 216,00","R$ 108,00"
Humanocracia -,9786555203134,"R$ 74,90","R$ 37,45"
Ideias Que Colam -,9788550803661,"R$ 63,00","R$ 31,50"
Ideias Rebeldes -,9788550815220,"R$ 69,90","R$ 34,95"
Implementando Domain Driven Design-,9788576089520,"R$ 126,00","R$ 63,00"
Indicadores de Desempenho -,9788550801728,"R$ 94,00","R$ 47,00"
Inglês Urgente! Para Brasileiros,9788550802978,"R$ 74,90","R$ 37,45"
Inovação na Prática,9788550807379,"R$ 59,90","R$ 29,95"
Insights Para um Mercado em Transição,9788550810829,"R$ 44,90","R$ 22,45"
Inspirado -,9788550813820,"R$ 74,90","R$ 37,45"
Integridade Intencional,9786555203950,"R$ 69,90","R$ 34,95"
Inteligência Emocional 2.0 -,9788550810263,"R$ 49,90","R$ 24,95"
Internet das Coisas IOT,9786555201222,"R$ 64,90","R$ 32,45"
