Editora,ISBN,Título,Autor,Preço de capa,Preço com 50%
Amelì,978-65-89173-03-8,"São Paulo, A minha Cidade",Andrés Sandoval,"R$ 42,00","R$ 21,00"
Amelì,978-65-89173-02-1,A Travessia de Anatole,Gilles Eduar,"R$ 37,00","R$ 18,50"
Amelì,978-65-89173-00-7,Lengalenga,"Luci Sacoleira,","R$ 37,00","R$ 18,50"
Amelì,978-85-85166-07-6,Era uma vez uma casa,Dagmar Urbánková,"R$ 27,00","R$ 13,50"
Amelì,978-85-85166-09-0,Desapontado,"Edith Chacon e PriscillaBallarin","R$ 37,00","R$ 18,50"
Amelì,978-85-85166-08-3,Clara e o homem na janela,"María Teresa Andruetto eMartina Trach","R$ 49,00","R$ 24,50"
Amelì,978-85-85166-05-2,A guerra,"José Jorge Letria e AndréLetria","R$ 55,00","R$ 27,50"
Amelì,978-85-85166-04-5,Meu Pequenino,Germano Zullo e Albertine,"R$ 50,00","R$ 25,00"
Amelì,978-85-85166-02-1,Nunca acontece nada na minha rua,Ellen Raskin,"R$ 37,00","R$ 18,50"
Amelì,978-85-85166-00-7,"Júbilo, O romance do Jardineiro",Andrea Pizarro Clemo,"R$ 49,00","R$ 24,50"
Amelì,978-85-85166-01-4,Monstros!,Alice Hoogstad,"R$ 45,00","R$ 22,50"
100/cabeças,978-65-87451-03-9,Cartas de Guerra,Jacques Vaché,"R$ 32,00","R$ 16,00"
100/cabeças,978-65-87451-01-5,O Cometa incandescente,Michael Löwy,"R$ 45,00","R$ 22,50"
100/cabeças,978-65-87451-02-2,Lá embaixo,Leonora Carrington,"R$ 45,00","R$ 22,50"
100/cabeças,978-65-87451-00-8,Carta a Vidente,Antonin Artaud e Sergio,"R$ 38,00","R$ 19,00"
100/cabeças,978-65-81305-01-7,Escritura Estilhaçada,"LimaMina Loy","R$ 38,00","R$ 19,00"
100/cabeças,978-65-81305-00-0,A morte difícil,René Crevel,"R$ 50,00","R$ 25,00"
