"ANTOFÁGICALISTA DE LIVROSFesta Virtual do Livroda USP 2021PreçoPreço comTítuloAutor(a)de capadesconto",,,
1984,George Orwell,"-R$79,90-","R$ 39,95"
A ilha do tesouro,Robert Louis Stevenson,"-R$79,90-","R$ 39,95"
A metamorfose,Franz Kafka,"-R$69,90-","R$ 34,95"
A morte de Ivan Ilitch,Liev Tolstói,"-R$69,90-","R$ 34,95"
A revolução dos bichos,George Orwell,"-R$69,90-","R$ 34,95"
Coração das Trevas,Joseph Conrad,"-R$69,90-","R$ 34,95"
Dom Casmurro,Machado de Assis,"-R$89,90-","-R$   44,95-"
Drácula,Bram Stoker,"-R$89,90-","-R$   44,95-"
Memórias póstumas de Brás Cubas,Machado de Assis,"-R$89,90-","-R$   44,95-"
Mrs. Dalloway,Virginia Woolf,"-R$89,90-","-R$   44,95-"
Na colônia penal,Franz Kafka,"-R$69,90-","R$ 34,95"
O alienista,Machado de Assis,"-R$69,90-","R$ 34,95"
O grande Gatsby,F. Scott Fitzgerald,"-R$79,90-","R$ 39,95"
O médico e o monstro,Robert Louis Stevenson,"-R$79,90-","R$ 39,95"
O morro dos ventos uivantes,Emily Brontë,"-R$89,90-","-R$   44,95-"
O nariz,Nikolai Gógol,"-R$49,90-","-R$   24,95-"
O processo,Franz Kafka,"R$ 99,90","R$ 49,95"
Orgulho e preconceito,Jane Austen,"-R$89,90-","-R$   44,95-"
Os assassinatos na Rua Morgue e Outros contos,Edgar Allan Poe,"-R$69,90-","R$ 34,95"
Os sofrimentos do jovem Werther,Goethe,"-R$79,90-","R$ 39,95"
Triste fim de Policarpo Quaresma,Lima Barreto,"-R$79,90-","R$ 39,95"
Um conto de Natal,Charles Dickens,"-R$59,90-","-R$   29,95-"
Úrsula,Maria Firmina dos Reis,"-R$79,90-","R$ 39,95"
