"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
DOUTRINA DO TRÍPLICE CAMINHO,Francisco Rivas Neto,"R$ 59,90","R$ 29,95"
"AFINAL, O QUE É MACUMBA?",Michele Soares,"R$ 25,00","R$ 7,50"
CANDOMBLÉ ‐ TEOLOGIA DA SAUDE,Francisco Rivas Neto,"R$ 100,00","R$ 50,00"
CANDOMBLÉ EM TEMPOS DE CRISE,Márcio de Jagun,"R$ 64,90","R$ 32,45"
CANDOMBLÉS DE SAO PAULO (Nova Edição Ampliada ),Reginaldo Prandi,"R$ 120,00","R$ 60,00"
DA MINHA FOLHA: MÚLTIPLOS OLHARES SOBRE AS RELIGIÕES AFR,Luiz Assunção (Org.),"R$ 50,00","R$ 15,00"
ESCOLAS DAS RELIGIÕES AFRO‐BRASILEIRAS,Francisco Rivas Neto,"R$ 50,00","R$ 15,00"
A ÉTICA COMO EXTENSÃO DO DIÁLOGO,João Carneiro,"R$ 30,00","R$ 10,50"
"EU, ÌYÀWO",Érica Jorge,"R$ 50,00","R$ 20,00"
EXU ‐ O GRANDE ARCANO,Francisco Rivas Neto,"R$ 150,00","R$ 75,00"
EXU E POMBAGIRA,Francisco Rivas Neto (Org.),"R$ 50,00","R$ 15,00"
PAUZL ZUMTHOR ‐ MEMÓRIAS DAS VOZES,Luiz Assunção; Beliza Áurea de Arruda Mello (Org.),"R$ 60,00","R$ 24,00"
O ELO PERDIDO,Francisco Rivas Neto,"R$ 120,00","R$ 48,00"
O LIVRO DOS ESPETÁCULOS,João Angelo Oliva Neto; Fábio Paifer Cairolli (tradução),"R$ 60,00","R$ 30,00"
O MESTRE ILUMINANDO CONSCIÊNCIAS,Maria Elise Rivas,"R$ 64,90","R$ 32,45"
O MITO DE ORIGEM,Maria Elise Rivas,"R$ 50,00","R$ 20,00"
REPENSANDO O SINCRETISMO,Sérgio Ferretti,"R$ 55,00","R$ 15,40"
TEOLOGIA AFRO‐BRASILEIRA,Irene Dias de Oliveira; Maria Elise Rivas; Érica Jorge (Org.),"R$ 50,00","R$ 15,00"
TEOLOGIA DA TRADIÇAO ORAL,Francisco Rivas Neto; Maria Elise Rivas; João Carneiro,"R$ 30,00","R$ 12,00"
TEOLOGIA DO ORI BARÁ,Francisco Rivas Neto,"R$ 35,00","R$ 14,00"
TEOLOGIA USA SAIAS?,Maria Elise Rivas,"R$ 60,00","R$ 30,00"
UMBANDA E TEOLOGIA DA FELICIDADE,Fernanda Ribeiro,"R$ 30,00","R$ 9,00"
UMBANDA: O DESPERTAR DA ESSÊNCIA,Maria Elise Rivas,"R$ 70,00","R$ 35,00"
