Título: Subtítulo,Preço capa,"Preço comdesconto"
ALGUM TEMPO DEPOIS,"R$ 38,00","R$ 19,00"
ANUNCIAÇÃO,"R$ 42,00","R$ 21,00"
ARTE E LETRA: ESTÓRIAS F,"R$ 18,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS G,"R$ 18,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS H,"R$ 18,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS I,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS J,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS K,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS L,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS M,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS N,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS O,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS P,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS Q,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS R,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS S,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS T,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS U,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS V,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS W,"R$ 20,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS X,"R$ 22,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS Y,"R$ 22,50","R$ 10,00"
ARTE E LETRA: ESTÓRIAS Z,"R$ 22,50","R$ 10,00"
ASSIM A VIDA PASSA,"R$ 42,00","R$ 21,00"
"AVENTURAS DO GRANDE SIDOINE E DO PEQUENO MÉDÉRIC, AS","R$ 42,00","R$ 21,00"
"BEIJO DO DEUS SOMBRIO, O","R$ 42,00","R$ 21,00"
CAÇA,"R$ 54,00","R$ 27,00"
CAPITÃO VENENO E O PREGO,"R$ 28,00","R$ 14,00"
"CASAMENTO DE LAUCHA, O","R$ 22,00","R$ 11,00"
"CIDADE FLUTUANTE, UMA","R$ 42,00","R$ 21,00"
CINEMARDEN 2: UM GUIA [POSSÍVEL] DE FILMES,"R$ 38,00","R$ 19,00"
CINEMARDEN 3: UM GUIA [POSSÍVEL] DE FILMES,"R$ 42,00","R$ 21,00"
CINEMARDEN VAI AOS TRIBUNAIS - UM GUIA DE FILMES JURÍDICOS E PO,"ÍTICOR$S 55,00","R$ 27,50"
COMO LIDAR COM SEUS FANTASMAS,"R$ 30,00","R$ 15,00"
"COMPOSIÇÃO DO SAL, A","R$ 54,00","R$ 27,00"
CONFABULÁRIO,"R$ 35,00","R$ 17,50"
CRÔNICAS DA CIDADE INVENTADA E OUTRAS PEQUENAS HISTÓRIAS,"R$ 45,00","R$ 22,50"
"CULPA É DA NOITE, A","R$ 44,00","R$ 22,00"
DEZ FITAS E UM TORNADO,"R$ 38,00","R$ 19,00"
"DIÁLOGO: A ARTE DA AÇÃO VERBAL NA PÁGINA, NO PALCO E NA TELA","R$ 69,90","R$ 34,95"
DIAS NUBLADOS,"R$ 36,00","R$ 18,00"
DOUTOR GLAS,"R$ 34,00","R$ 17,00"
DUAS DESVENTURAS,"R$ 58,00","R$ 29,00"
E SE CONTORCE IGUAL A UM DRAGÃOZINHO FERIDO,"R$ 25,00","R$ 12,50"
"ESCARAVELHO DE OURO, O","R$ 42,00","R$ 21,00"
ESQUELETOS QUE DANÇAM,"R$ 38,00","R$ 19,00"
FANTÁSTICO BRASILEIRO (brochura),"R$ 68,00","R$ 34,00"
FIM DO MUNDO,"R$ 36,00","R$ 18,00"
"FUNÇÃO SOCIAL DA TERRA, A","R$ 65,00","R$ 32,50"
FÚRIA DE INVERNO,"R$ 40,00","R$ 20,00"
"FÚRIA DO CÃO NEGRO, A","R$ 28,00","R$ 14,00"
"GOTA DE SANGUE, A","R$ 38,00","R$ 19,00"
IDEAFIXA'S GREATEST HITS,"R$ 80,00","R$ 40,00"
"IRA DOS DRAGÕES E OUTROS CONTOS, A","R$ 45,00","R$ 22,50"
ISTO NÃO É UM CONTO,"R$ 24,90","R$ 12,45"
"JORNAIS DE GERALDINE, OS","R$ 42,00","R$ 21,00"
"LEITORA INCOMUM, A","R$ 52,00","R$ 26,00"
"LEMBRANÇAS DO PORVIR, AS [BROCHURA]","R$ 62,00","R$ 31,00"
MADRUGADA DE FARPAS,"R$ 39,00","R$ 19,50"
"MARAVILHOSA TERRA DOS SNERGS, A","R$ 39,00","R$ 19,50"
MARIA DA CORES,"R$ 29,00","R$ 14,50"
"MENINO E A LOUCA DO BOSQUE, O","R$ 40,00","R$ 20,00"
"MEZ DA GRIPPE, O","R$ 42,00","R$ 21,00"
"MUDA, A","R$ 42,00","R$ 21,00"
"MULHERES, CHAPÉUS VOADORES E OUTRAS COISAS LEGAIS","R$ 52,00","R$ 26,00"
NINGUÉM MAIS DIZ ADEUS,"R$ 55,00","R$ 27,50"
NOSSA SENHORA D'AQUI,"R$ 45,00","R$ 22,50"
NOTA FALSA,"R$ 42,00","R$ 21,00"
ONZE POEMAS,"R$ 30,00","R$ 15,00"
"PEÇA INTOCADA, A","R$ 45,00","R$ 22,50"
PEQUENO MANUAL DE PROCEDIMENTOS,"R$ 38,00","R$ 19,00"
PESCOÇO LADEADO POR PARAFUSOS,"R$ 38,00","R$ 19,00"
POEIRA FRIA,"R$ 28,00","R$ 14,00"
"POETA QUEIMA VOLUNTARIAMENTE, O","R$ 30,00","R$ 15,00"
POÉTICAS DO ESTRANHAMENTO,"R$ 45,00","R$ 22,50"
POP SURREAL,"R$ 55,00","R$ 27,50"
POR ACASO MEMÓRIA,"R$ 40,00","R$ 20,00"
PRIMEIROS CONTOS,"R$ 25,00","R$ 12,50"
QUATRO NOVELAS EXEMPLARES,"R$ 36,00","R$ 18,00"
QUEM COSTURA QUANDO MIRNA COSTURA,"R$ 40,00","R$ 20,00"
ROMANCES TOLOS DE ROMANCISTAS TOLAS,"R$ 25,00","R$ 12,50"
SE NADA MAIS DER CERTO EU NÃO TENHO PLANO B,"R$ 38,00","R$ 19,00"
"SOMBRA DO ABUTRE, A","R$ 38,00","R$ 19,00"
