"",,,,
Autor(es) / Organizador(es),Título,"Ano depublicação",Preço capa,"Preço Feira30% dedesconto"
Ladislau Dowbor,A era do capital improdutivo,2017,"R$40,00","R$ 20,00"
Dilar Dirik et.al,A revolução ignorada,2016,"R$35,00","R$ 17,50"
Yanis Varoufakis,Adultos na sala - Minha batalha contra o establishment,2019,"R$60,00","R$ 30,00"
Atilio Borón et.al,"América Latina na encruzilhada: lawfare, golpes e luta de classes",2020,"R$50,00","R$ 25,00"
Mark Bray,Antifa: o manual antifacista,2019,"R$50,00","R$ 25,00"
Antonio Negri; Félix Guattari,As verdades nômades - Por novos espaços de liberdade,2017,"R$45,00","R$ 22,50"
Lutz Taufer,Atravessando fronteiras,2018,"R$50,00","R$ 25,00"
Mark Blyth,Austeridade - A história de uma ideia perigosa,2020 (2° edição),"R$50,00","R$ 25,00"
Edemilson Paraná,Bitcoin - A utopia tecnocrática do dinheiro apolítico,2020,"R$50,00","R$ 25,00"
Andy Singer,Cartoons - Atropelando a ditadura do automóvel,2018,"R$30,00","R$ 15,00"
George Ciccariello-Maher,Construindo a comuna,2020,"R$50,00","R$ 25,00"
Rubens Casara,Contra a miséria neoliberal,2021,"R$50,00","R$ 25,00"
Melissa Gira Grant,Dando uma de puta: a luta de classes das profissionais do sexo,2021,"R$50,00","R$ 25,00"
João Victor Esteves Meirelles et.al.,Democracia e crise,2020,"R$75,00","R$ 37,50"
Organização: Fabio Maleronka Ferron e Alfredo Manevy,"Depois da última sessão de cinema: Spcine, audiovisual e democracia",2021,"R$60,00","R$ 30,00"
Emerson Alcade,Diário bolivariano,2019,"R$30,00","R$ 15,00"
Henrique Carneiro,Drogas - a história o proibicionismo,2019,"R$59,00","R$ 29,50"
Yanis Varoufakis,E os fracos sofrem o que devem?,2017,"R$50,00","R$ 25,00"
Ana Luíza Matos de Oliveira et.al,Economia pós-pandemia,2020,"R$50,00","R$ 25,00"
Mohammed Omer,Em estado de choque - Sobrevivendo em gaza sob ataque israelense,2017,"R$45,00","R$ 22,50"
Christian Russau,Empresas alemãs no Brasil - O 7x1 na economia,2017,"R$30,00","R$ 15,00"
Marcelo Semer,Entre salas e celas - A dor e esperança nas crônicas de um juiz criminal,2017,"R$35,00","R$ 17,50"
Desirée de Lemos Azevedo et.al,Espectros da ditadura: da Comissão da Verdade ao bolsonarismo,2020,"R$50,00","R$ 25,00"
Euclides da Cunha,Euclides socialista - Obras esquecidas,2019,"R$30,00","R$ 15,00"
Alvaro Bianchi,Gramsci entre dois mundos: política e tradução,2020,"R$60,00","R$ 30,00"
Lima Barreto,Lima Socialista,2021,"R$40,00","R$ 20,00"
Beatriz Seigner,Los silencios,2019,"R$65,00","R$ 32,50"
