AUTOR,"Preçode capa","P r e ç  o  comdesconto"
Mário César,"R$ 25,00",
William Shakespeare,"R$ 26,00","R$  13,00"
Cristina Costa (org.),"R$ 40,00",
Leandro Robles,"R$ 40,00","R$  20,00"
Rita de Cássia Biason (org.),"R$ 28,00",
Sammy Harkham,"R$ 26,00","R$  13,00"
Wagner Willian,"R$ 40,00",
Paulo Monteiro,"R$ 30,00","R$  15,00"
Felipe Nunes,"R$ 30,00",
Leandro Robles,"R$ 16,00","R$    8,00"
"Marília Bruno, Fernanda Chiella, Leo Finocchi, Samanta Flôor e Felipe 5Horas","R$ 12,90",
Guilherme Petreca,"R$ 30,00","R$  15,00"
Carl Spiteller,"R$ 40,00",
Arthur Schnitzler,"R$ 30,00","R$  15,00"
"Marília Bruno, Fernanda Chiella, Leo Finocchi, Samanta Flôor e Felipe 5Horas","R$ 12,90",
Thiago Souto,"R$ 30,00","R$  15,00"
Ana Cardoso,"R$ 36,00",
Leo Finocchi,"R$ 25,00","R$  12,50"
Felipe Nunes,"R$ 65,00",
André Bernardino e Vitor Flynn,"R$ 35,00","R$  17,50"
Érico Assis,"R$ 52,90",
Laura Athayde,"R$ 35,00","R$  17,00"
"Guilherme Kroll, Samanta Flôor","R$ 36,90",
"Thales Martins, Tiago Lacerda","R$ 33,50","R$  16,75"
