"1968: Paris, Rio","Barbey, Bruno; Moraes, Pedro de","R$ 149,00"
59 – Retratos da juventude negra brasileira,"Simões, Edu; Forman, Shep","R$ 98,00"
A arte de pensar,"Valéry, Paul","R$ 59,00"
A arte e as artes,"Adorno, Theodor W.","R$ 59,80"
A busca do presente e outros ensaios,"Paz, Octavio","R$ 52,90"
A doença e o tempo,"Jardim, Eduardo","R$ 55,50"
A flauta e a lua,"Rûmî, Jalâl ad-Din","R$ 64,00"
A invenção das mulheres,"Oyěwùmí, Oyèrónkẹ́","R$ 69,90"
Ação e a busca da felicidade,"Arendt, Hannah","R$ 63,00"
Almanaque Brasilidades,"Simas, Luiz Antonio","R$ 62,00"
Arruaças,"Simas, Luiz Antonio; Rufino, Luiz; Haddock-Lobo, Rafael","R$ 55,00"
Bel Lobo e Bob Neri: Vida é obra,"Raitzik, Simone","R$ 161,00"
Bens culturais do Brasil,"Magalhães, Aloísio","R$ 86,00"
Canto mineral,"Andrade, Carlos Drummond de","R$ 103,00"
Carlos Leão - Arquitetura,"Czajkowski, Jorge Paul; Conduru, Roberto","R$ 161,00"
Cinco voltas na Bahia e um beijo para Caetano Veloso,"Lucas Coelho, Alexandra","R$ 71,00"
"Cinema para russos, cinema para soviéticos","Lanari Bo, João","R$ 80,00"
Contra o colonialismo,"Weil, Simone","R$ 46,00"
Deus-dará,"Lucas Coelho, Alexandra","R$ 72,00"
Elvis & Madona,"Biajoni, Luiz","R$ 55,00"
Em busca dos jardins de nossas mães,"Walker, Alice","R$ 69,90"
Entre nós mesmas,"Lorde, Audre","R$ 63,00"
Face a face,"Weixing, Zhong","R$ 63,00"
Fotografias,"Pagliaro, Leandro","R$ 69,00"
Genuína fazendeira,"Berardinelli, Cleonice","R$ 112,00"
Lentes da memória,"Pereira, Adriana Martins","R$ 160,00"
Liberdade para ser livre,"Arendt, Hannah","R$ 44,00"
Livrarias,"Carrión, Jorge","R$ 68,00"
Machina mundi,"Edinger, Claudio","R$ 210,00"
Não digam que estamos mortos,"Smith, Danez","R$ 62,00"
Não leiam delicados este livro,"Sena, Jorge de","R$ 70,00"
O Brasil à procura da democracia,"Newton, Bignotto","R$ 66,00"
O desenho do tempo,"Rónai, Nora","R$ 66,00"
O manifesto das espécies companheiras,"Haraway, Donna","R$ 65,00"
O pecado original da república,"Carvalho, José Murilo de","R$ 72,00"
Ódios políticos e política do ódio,"Kiffer, Ana; Giorgi, Gabriel","R$ 48,00"
Onde aterrar?,"Latour, Bruno","R$ 67,00"
Onde é que eu estou?,"Buarque de Hollanda, Heloisa","R$ 58,00"
Onde estou?,"Latour, Bruno","R$ 59,90"
Palavras pequenas,"Rodrigues, Henrique","R$ 50,00"
Páscoa Vieira diante da Inquisição,"de Castelnau-L'Estoile, Charlotte","R$ 66,00"
Pensamento Feminista Conceitos Fundamentais,"Lorde, Audre; Haraway, Donna; Spivak, Gayatri; Anzaldúa, Gloria; de Lauretis, Ter","sa; RB$u t8l2er,0, J0udi"
Pensamento Feminista Brasileiro,"de Oliveira Costa, Albertina; Arruda, Angela; Nascimento, Beatriz; Sorj, Bila; More","ra ARl$v e7s4, ,B0r0anc"
Pensamento feminista hoje Perspectivas Decoloniais,"Varejão, Adriana; Aquinaga Barragán, Alba Margarita; Santillana, Alejandra; Figuei","edRo$,  A8n5g,0e0la;"
Pensar sem corrimão,"Arendt, Hannah","R$ 92,00"
Pra que é que serve uma canção como essa?,"Calcanhotto, Adriana","R$ 60,00"
Rio de Janeiro architectural guide,,"R$ 130,00"
Ritos do nascer ao parir,"Bernardes, Mana","R$ 80,00"
Rosa & Rónai,"Rónai, Paulo","R$ 75,00"
Saborzinho do Brasil – Norte,"Granato, Alice","R$ 50,00"
Sena & Sophia: centenários,"Ferraz, Eucanaã; Arêas, Vilma; Amaral, Ana Luísa; Vieira Nery, Rui; Castro Mendes","LuRís$ F 6il8ip,0e0"
Sobre o vegetarianismo,"Gandhi, Mahatma","R$ 44,00"
Tente entender o que tento dizer,"Mello, Ramon Nunes (org.)","R$ 58,00"
Tudo em volta está deserto,"Jardim, Eduardo","R$ 55,00"
Uma lei para a história - A legalização do aborto na França,"Veil, Simone","R$ 48,00"
Vi vendo,"Moraes, Pedro de","R$ 55,00"
Volta pra casa,"Moriconi, Renato","R$ 39,90"
"",
"",
"",
