"",TÍTULO,AUTORES,"PREÇO DE CAPA(R$)","PREÇO COMDESCONTO",
"",365 DIAS,BLANKA LIPINSKA,"44,90","22,45",
"",PERSUASÃO,MAYTÊ CARVALHO,"39,90","19,95",
"",BOX GERAÇAO DE VALOR - CEREBRO,FLÁVIO AUGUSTO DA SILVA,"89,90","44,95",
"",BOX GERAÇAO DE VALOR - ESCADA,FLÁVIO AUGUSTO DA SILVA,"89,90","44,95",
"",BOX GERAÇAO DE VALOR - RODA,FLÁVIO AUGUSTO DA SILVA,"89,90","44,95",
"",GERAÇÃO DE VALOR - VL. 01,FLÁVIO AUGUSTO DA SILVA,"49,90","24,95",
"",GERAÇÃO DE VALOR - VL. 02,FLÁVIO AUGUSTO DA SILVA,"49,90","24,95",
"",ENFODERE-SE,CAIO CARNEIRO,"44,90","22,45",
"",CRESÇA 1% AO DIA,FERNÃO BATTISTONI,"44,90","22,45",
"",DEDIQUE-SE DE CORAÇÃO,HOWARD SCHULTZ,"69,90","34,95",
"",NUNCA FOI SORTE,ADRIANA SANT'ANNA,"39,90","19,95",
"",PONTO DE INFLEXÃO,FLÁVIO AUGUSTO DA SILVA,"49,90","24,95",
"",PEGA A VISÃO,RICK CHESTHER,"44,90","22,45",
"","ARTE DA GUERRA, A",SUN TZU,"49,90","24,95",
"","TRÍADE DO TEMPO, A",CHRISTIAN BARBOSA,"49,90","24,95",
"","VELHO E O MENINO, O",ROBERTO TRANJAN,"39,90","19,95",
"",SEJA FODA!,CAIO CARNEIRO,"44,90","22,45",
"",GERAÇÃO DE VALOR - VL. 03,FLÁVIO AUGUSTO DA SILVA,"49,90","24,95",
"",ENFODERE-SE - PLATINUM EDITION,CAIO CARNEIRO,"44,90","22,45",
"",ESCOLHA SUA VIDA,PAULA ABREU,"39,90","19,95",
"",LIÇÕES DE UM MONGE PARA VIVER NO SÉCULO 21,GELONG THUBTEN,"39,90","19,95",
"","FAVELA VENCEU, A",RICK CHESTHER,"44,90","22,45",
"",UM MILHÃO DE SEGUIDORES,BRENDAN KANE,"49,90","24,95",
"",OUSE SER DIFERENTE - CAPA FLEXÍVEL,PEDRO SUPERTI,"49,90","24,95",
"","DIÁRIO PARA RECOMEÇAR, UM",JAMES PATTERSON,"39,90","19,95",
TRANSFORMANDO PALAVRAS EM DINHEIRO,ÍCARO DE CARVALHO,"49,90","24,95"
CONSTELAÇÃO FAMILIAR,SONIA ONUKI,"39,90","19,95"
BUDA DANÇANDO NUMA BOATE,PAULA ABREU,"39,90","19,95"
POR QUE AS PESSOAS NÃO FAZEM O QUE DEVERIAM FAZER?,CHRISTIAN BARBOSA,"49,90","24,95"
MÃE RECÉM-NASCIDA,THAÍS VILARINHO,"59,90","29,95"
MAGRA PARA SEMPRE,KARINA PELOI,"39,90","19,95"
TAMO JUNTO,ANDRÉA FERNANDA MORAIS,"39,90","19,95"
MÃE FORA DA CAIXA,THAÍS VILARINHO,"44,90","22,45"
DESPERTE SEU PODER,JOSÉ ROBERTO MARQUES,"44,90","22,45"
COMO USAR A INTERNET PARA ALAVANCAR SUAS VENDAS...,ERICO ROCHA,"49,90","24,95"
"QUE REALMENTE IMPORTA?, O",ANDERSON CAVALCANTE,"39,90","19,95"
"QUE É IMPOSSÍVEL PARA VOCÊ?, O",MARCOS ROSSI PENA,"39,90","19,95"
DESCUBRA O CRAQUE QUE HÁ EM VOCÊ,CÉSAR SOUZA E MAURICIO BARROS,"49,90","19,96"
DO ZERO AO INFINITO,EVERTON ROSA,"49,90","19,96"
GESTOS DE GENTILEZA,ROSANA BRAGA,"39,90","15,96"
TRABALHE MENOS GANHE IGUAL,ALEX SOOJUNG-KIM PANG,"59,90","23,96"
MEU MAIOR EMPREENDIMENTO,CARLOS WIZARD MARTINS,"39,90","15,96"
OS SETE MERCADOS CAPITAIS,ROBERTO TRANJAN,"49,90","19,96"
"ARTE DA CONEXAO, A",PATRÍCIA MEIRELLES,"39,90","15,96"
DOIDAS NO DIVÃ,CRIS LINNARES,"39,90","15,96"
INOVAR É QUESTIONAR O QUE JÁ EXISTE,JOÃO APPOLINÁRIO,"49,90","19,96"
"LIVRO DO PERDÃO, O",JOSÉ ROBERTO MARQUES,"44,90","17,96"
"PODER DE SER IMPERFEITA, O",JESSICA HONEGGER,"44,90","17,96"
NADA VEM FÁCIL,IGOR MORAES,"44,90","17,96"
"PODER DE PENTECOSTES, O","PE. MOACIR ANASTÁCIO, PE. JOÃO HENRIQUE","39,90","15,96"
CHAMAMENTOS,ROBERTO TRANJAN,"44,90","17,96"
METANÓIA,ROBERTO TRANJAN,"49,90","19,96"
"UM DIAMANTE EM VOCÊ, HÁ",CARLOS WIZARD MARTINS,"49,90","19,96"
COMO MACHADO DE ASSIS PODE RELATIVIZAR SUA VIDA,JOÃO JONAS VEIGA SOBRAL,"39,90","15,96"
CORAGEM DE EXISTIR,MATHEUS JACOB,"39,90","15,96"
VAI UM CAFEZINHO?,LUCIANA MEDEIROS,"49,90","19,96"
NA VIDA O OBSTÁCULO É O CAMINHO,ELTON OSHIRO,"49,90","19,96"
VIDA SEM CÂNCER,"ELISABETE FARRECA, JORGE MARTINS","49,90","19,96"
AME TODOS OS DIAS,THIAGO RODRIGO,"39,90","15,96"
"ORAÇÃO DE SÃO FRANCISCO, A","ANDERSON CAVALCANTE, GABRIEL PERISSÉ","39,90","15,96"
RELACIONAMENTOS ENRIQUECEM,MAURICIO PATROCINIO,"44,90","17,96"
CRENÇA INABALAVEL,SANDRO RODRIGUES,"49,90","19,96"
