"USPFesta do Livrowww.berlendis.com"
ISBN,Título,Autoria,Preço de capa,Promoção
9788586387883,"Amarel, azul e...",Claudio Zirotti,"28,00","14,00"
9788586387982,O amigo fiel,Oscar Wilde - adapt. Cárcamo,"48,00","24,00"
9788577230396,Auau miau piu-piu (Brochura),Cécile Boyer,"48,00","24,00"
9788577230389,Auau miau piu-piu (Capa dura),Cécile Boyer,"56,00","28,00"
9788577230556,O crocodilo e o dentista,Taro Gomi,"42,00","21,00"
9788586387876,O defeito invisível,Vinicius de Figueiredo,"34,00","17,00"
9788577230532,Esconde-esconde,Taro Gomi,"42,00","21,00"
9788577230778,Eu não posso fazer nada!,Annick Masson & Thierry Robberecht,"39,00","19,50"
9788577230525,Eu te disse,Taro Gomi,"39,00","19,50"
9788577230426,A famosa invasão dos ursos na Sicília,Dino Buzzati,"59,00","29,50"
9788577230785,"A história da formiguinha que queria movermontanhas",Michaël Escoffier & Kris Di Giacomo,"42,00","21,00"
9788577230501,"Já pra cama, monstrinho!",Mario Ramos,"38,00","19,00"
9788577230549,O leão faminto,Gita Wolf & Indrapramit Roy,"40,00","10,00"
9788577230518,O mais malandro,Mario Ramos,"42,00","21,00"
9788577230327,"Mamãe, por que os dinossauros não vão àescola?",Quentin Gréban,"38,00","19,00"
9788577230716,"Modelo vivo, natureza morta",Gonzalo Cárcamo,"56,00","28,00"
9788577230747,O pequeno rei,Taro Miura,"40,00","20,00"
9788577230730,Princesa Barulhinhos,Gudule & Marjorie Pottie,"39,00","19,50"
9788577230815,Quando Ju escapou pra dentro,Alan Minas & Andrea Ebert,"36,00",
9788577230495,Quando o lobo tem fome,Christine Naumann-Villemin & Kris Di,"42,00","21,00"
"",,Giacomo,,
9788577230761,O reizinho rabugento,Michel Streich,"36,00","10,00"
9788577230754,Tem um dinossauro na minha mochila,Quentin Gréban,"39,00","19,50"
9788577230723,Tenório — Um artista iniciante,Gonzalo Cárcamo,"52,00","26,00"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230914,A declaração,Michaël Escoffier & Stéphane Sénégas,"42,00","21,00"
9788577230839,Dentro de mim ninguém entra,José Castello & Bispo do Rosário,"74,00","37,00"
9788577230938,Fragmentos chineses,Franz Kafka & Thiago Consp,"48,00","24,00"
9788577230631,Erik Vermelho – Os vikings na América,Helena Gomes & Júlio Carvalho,"56,00","20,00"
9788577230617,Leia-me,Amaia Crescpo & Paula Bonet,"48,00","10,00"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230464,O pássaro de fogo,Alexander Afanásiev & Nikolai,"46,00","23,00"
"",,Troshinsky,,
9788577230624,Por que o mar é salgado?,Asbjørnsen & Moe | Cárcamo,"48,00","24,00"
9788577230648,"Preta, parda e pintada",Helena Gomes & Luciano Tasso,"46,00","23,00"
9788577230655,Vou lá buscar a noite e já volto,Susana Ventura & Vanina Starkoff,"46,00","23,00"
"USPFesta do Livrowww.berlendis.com"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230228,Fábulas & alegorias,Leonardo da Vinci | Montalvo Machado,"56,00","28,00"
9788577230051,Ilíada Brochura),"Homero - adap. Bruno B. Carvalho | AndrésSandoval","44,00","22,00"
9788586387616,Ilíada (Capa dura),"Homero - adap. Bruno B. Carvalho | AndrésSandoval","62,00","31,00"
9788577230082,O livro da selva - As histórias de Mowgli,"Rudyard Kipling - adap. Bruno B. Carvalho |Cárcamo","40,00","20,00"
9788577230594,Por Júpiter! – A tragicomédia de Anfitrião,Plauto - adap. J. C. Aragão | Luciano Tasso,"48,00","24,00"
9788577230440,Quebra_Nozes & Camundongo Rei,E.T.A Hoffmann | Nelson Provazi,"58,00","29,00"
9788577230471,O Ramayana,Valmiki - adap. Laura Bacellar | Carlos Fonseca,"46,00","23,00"
9788577230709,Tristão e Isolda,Helena Gomes | Renato Alarcão,"56,00","28,00"
ISBN,Título,Autoria,Preço de capa,Promoção
9788586387784,O arteiro e o tempo (Brochura),Luís Fernando Verissimo & Glauco Rodrigues,"39,00","19,50"
9788586387104,O arteiro e o tempo (Capa dura),Luís Fernando Verissimo & Glauco Rodrigues,"42,00","21,00"
9788586387029,Drop of Water,Alberto Goldin & Tomie Ohtake,"44,00","22,00"
9788577230129,Era uma vez três... (Brochura),Ana Maria Machado & Alfredo Volpi,"42,00","21,00"
9788586387128,Era uma vez três... (Capa dura),Ana Maria Machado & Alfredo Volpi,"52,00","26,00"
9788586387791,Era uma vez uma menina,Walmir Ayala & Milton Dacosta,"42,00","21,00"
9788586387135,O forasteiro,Walmir Ayala & Siron Franco,"52,00","26,00"
9788586387043,Gota d’Água,Alberto Goldin & Tomie Ohtake,"48,00","24,00"
9788577230235,Navio das cores,Moacyr Scliar & Lasar Segall,"40,00",
"USPFesta do Livrowww.berlendis.com"
9788586387098,No mundo das nuvens,Alberto Goldin & Arcangelo Ianelli,"48,00","24,00"
9788586387951,A peleja,Ana Maria Machado & Artistas populares,"39,00","19,50"
9788586387968,O pintor que pintou o sete,Fernando Sabino & Carlos Scliar,"39,00","19,50"
9788586387241,O tesouro do capitão Policarpo,Alberto Goldin & Thomaz Ianelli,"52,00","26,00"
ISBN,Título,Autoria,Preço de capa,Promoção
9788586387081,Adão e Eva,Machado de Assis & L. P. Baravelli,"48,00","24,00"
9788586387258,Um Brasil do outro mundo,Silvia La Regina & Antonio Henrique Amaral,"64,00","32,00"
9788586387067,O capeta Carybé,Jorge Amado & Carybé,"54,00","27,00"
ISBN,Título,Autoria,Preço de capa,Promoção
9788586387760,Viagem ao mundo indígena,Luís Donisete Benzi Grupioni,"39,00","19,50"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230839,Dentro de mim ninguém entra,José Castello & Bispo do Rosário,"74,00","37,00"
9788577230433,A dialética dos contrários,"Tony Camargo | Artur Freitas | Agnaldo Farias |Cauê Alves","72,00","36,00"
9788586387234,Galleria Borghese,Teixeira Leite & Elisa Byington,"144,00",
"USPFesta do Livrowww.berlendis.com"
ISBN,Título,Autoria,Preço de capa,Promoção
9788586387326,Argo e seu dono,Italio Svevo,"48,00","24,00"
9788577230662,"Candido, ou uma história sonhada na Sicília",Leonardo Sciascia,"39,00","10,00"
9788586387272,Cenas de vida siciliana,Giovanni Verga,"66,00","33,00"
9788586387494,Dona Mimma,Luigi Pirandello,"49,00","24,50"
9788586387975,Uma jornada,Luigi Pirandello,"42,00","21,00"
9788586387722,O marquês de Roccaverdina,Luigi Capuana,"39,00","10,00"
9788577230068,As novelas de Pescara,Gabriele D’Annunzio,"70,00","20,00"
9788586387807,Pai patrão,Gavino Ledda,"70,00","35,00"
9788586387289,O velho Deus,Luigi Pirandello,"49,00","24,50"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230280,Caninos – Antologia do vampiro literário,Vários autores,"89,00","40,00"
9788577230600,Euclidianas,Guillevic,"37,00","15,00"
9788577230822,A família Dionti,Alan Minas,"49,00","24,50"
9788577230938,Fragmentos chineses,"Franz Kafka & ThiagoConsp","48,00","24,00"
9788577230013,Gothica,Gustave Flaubert,"29,00","14,50"
9788577230143,Lumes – Uma antologia de haikais,Pedro Xisto,"49,00","24,50"
9788577230259,Salomé,Oscar Wilde,"46,00",
"USPFesta do Livrowww.berlendis.com"
ISBN,Título,Autoria,Preço de capa,Promoção
9788577230242,"Diferenças, igualdade","Heloisa Buarque de Almeida, José Eduardo Szwako(orgs.)","52,00","26,00"
9788577230792,Filosofia – Temas e Percursos,Vinicius de Figueiredo (org.),"136,00","68,00"
9788577230020,Seis filósofos na sala de aula,Vinicius de Figueiredo (org.),"32,00","16,00"
9788577230136,Filósofos na sala de aula - vol. 3,Vinicius de Figueiredo (org.),"34,00","17,00"
9788577230488,"Local, global","Heloisa Buarque de Almeida, José Eduardo Szwako(orgs.)","62,00",
