Título,Autor,"Preço decapa","Preço comdesconto"
17 CONTRADIÇÕES E O FIM DO CAPITALISMO,DAVID HARVEY,"R$ 73,00","R$ 36,50"
"18 DE BRUMARIO DE LUIS BONAPARTE, O",KARL MARX,"R$ 45,00","R$ 22,50"
AGUA POR TODOS OS LADOS,LEONARDO PADURA,"R$ 57,00","R$ 28,50"
"ANO EM QUE SONHAMOS PERIGOSAMENTE, O",SLAVOJ ZIZEK,"R$ 43,00","R$ 21,50"
"ANTONIO GRAMSCI, O HOMEM FILOSOFO",GIANNI FRESU,"R$ 79,00","R$ 39,50"
APOLOGIA DOS BARBAROS,MIKE DAVIS,"R$ 69,00","R$ 34,50"
"ARMAS DA CRITICA, AS - CLASSICOS",IVANA JINKINGS E EMIR SADER (ORG.),"R$ 59,00","R$ 29,50"
AUTONOMIA FRUSTRADA - O CADE E O PODER ECONOMICO,CARLOS ALBERTO BELLO,"R$ 49,00","R$ 24,50"
BALA PERDIDA: A VIOLENCIA POLICIAL,VARIOS,"R$ 18,00","R$ 9,00"
BEM VINDO AO DESERTO DO REAL,SLAVOJ ZIZEK,"R$ 47,00","R$ 23,50"
BRASIL EM JOGO,VARIOS,"R$ 18,00","R$ 9,00"
"CADERNO AZUL DE JENNY, O",MICHAEL LOWY,"R$ 33,00","R$ 16,50"
CANONE GRAFICO II,RUSS KICK ORG.,"R$ 149,00","R$ 74,50"
"CAPITAL PARA CRIANÇAS, O",LILIANA FORTUNY,"R$ 42,00","R$ 21,00"
"CAPITAL, O - LIVRO I",KARL MARX,"R$ 112,00","R$ 56,00"
"CAPITAL, O - LIVRO II",KARL MARX,"R$ 112,00","R$ 56,00"
"CAPITAL, O - LIVRO III",KARL MARX,"R$ 128,00","R$ 64,00"
"CAPITALISMO COMO RELIGIAO, O",WALTER BENJAMIN,"R$ 53,00","R$ 26,50"
CAPITALISMO EM DEBATE,NANCY FRASER E RAHEL JAEGI,"R$ 57,00","R$ 28,50"
CHE GUEVARA E O DEBATE CONOMICO EM CUBA,LUIZ BERNARDO PERICAS,"R$ 67,00","R$ 33,50"
CIDADES REBELDES-PASSE LIVRE E AS MANIFESTACOES QU,VARIOS,"R$ 18,00","R$ 9,00"
"CLASSE TRABALHADORA, A",MARCELO BADARÓ,"R$ 45,00","R$ 22,50"
COMUM: ENSAIO SOBRE A REVOLUÇÃO NO SÉCULO XXI,PIERRE DARDOT,"R$ 89,00","R$ 44,50"
CONSIDERAÇÕES SOBRE O MARXISMO OCIDENTAL/NAS TRILHAS DO MATERIALISMO HISTÓRICO,PERRY ANDERSON,"R$ 69,00","R$ 34,50"
CONTRAGOLPES,EMIR SADER (ORG),"R$ 57,00","R$ 28,50"
CRIA DA FAVELA,RENATA SOUZA,"R$ 43,00","R$ 21,50"
CRISE E GOLPE,ALYSSON LEANDRO MASCARO,"R$ 45,00","R$ 22,50"
CRISE E PANDEMIA,ALYSSON LEANDRO MASCARO,"R$ 8,00","R$ 4,00"
DE QUE LADO VOCE ESTA?,GUILHERME BOULOS,"R$ 37,00","R$ 18,50"
DESMILITARIZAR,LUIZ EDUARDO SOARES,"R$ 65,00","R$ 32,50"
DICIONÁRIO GRAMSCIANO (1926-1937) - BROCHURA,"LIGUORI, GUIDO  E VOZA, PASQUALE (ORGS)","R$ 139,00","R$ 69,50"
DICIONÁRIO GRAMSCIANO (1926-1937) - CAPA DURA,"LIGUORI, GUIDO  E VOZA, PASQUALE (ORGS)","R$ 189,00","R$ 94,50"
DOMINAÇÃO E RESISTENCIA,LUIS FELIPE MIGUEL,"R$ 53,00","R$ 26,50"
