"",EDITORA INTERMEIOS LTDA,,,,
"",TÍTULO,AUTOR,GENÊRO,PREÇO DE CAPA,PREÇO COM DESCNTO
1,20 POEMAS 20 DESENHOS,CLAUDIA AMORIM,POESIA,"R$ 50,00","R$ 25,00"
2,A (IN)VISIBILIDADE DE UM LEGADO,MICHELE ASMAR,ESTUDOS LITERÁRIOS,"R$ 55,00","R$ 27,50"
3,A APRENDIZAGEM DA CRÍTICA,ÉRICA GONÇALVES,ESTUDOS LITERÁRIOS,"R$ 40,00","R$ 20,00"
4,A ASTÚCIA LIBERAL,CECÍLIA HELENA LORENZINI,HISTÓRIA,"R$ 55,00","R$ 27,50"
5,A CONSTRUÇÃO DA AMEAÇA ARGENTINA,RODOLPHO GAUTHIER,HISTÓRIA,"R$ 50,00","R$ 25,00"
6,A CORAGEM DA VERDADE E A ÉTICA,PRISCILA PIAZENTINI,CIÊNCIA POLÍTICA,"R$ 35,00","R$ 17,50"
7,A CRÍTICA GASTRONÔMICA PAULISTANA COMO UM PROD,ETDOU MAIRDDIÁOT ISCCOOTT,JORNALISMO,"R$ 40,00","R$ 20,00"
8,A DANÇA DAS CADEIRAS: A ELEIÇÕ DE JOÃO HAVELANGE,LUIZ GUILHEME BURLAMAQUI,HISTÓRIA,"R$ 60,00","R$ 30,00"
9,A DISPUTA EM TORNO DE FRANTZ FANON,DEIVISON FAUSTINO,SOCIOLOGIA,"R$ 50,00","R$ 25,00"
10,A ESCRITA FEMINISTA DE JULIA LOPES DE ALMEIDA,GABRIELA SIMONETTI,HISTÓRIA,"R$ 50,00","R$ 25,00"
11,A FEIRA DOS MITOS - A FABRICAÇÃO,DURVAL MUNIZ DE,HISTÓRIA,"R$ 40,00","R$ 20,00"
12,A HISTÓRIA POLÍTICA DO FUTEBOL OLÍMPICO (1894-1988),SERGIO SE TTANI GIGLIO,ANTROPOLOGIA,"R$ 60,00","R$ 30,00"
13,A IGNORÂNCIA DA REVOLTA,EDGAR CÉZAR NOLASCO,LITERATURA,"R$ 25,00","R$ 12,50"
14,A LINGUAGEM MUSICAL DE ONEYDA ALVARENGA,LUCIANA BARONGENO,ARTES,"R$ 48,00","R$ 24,00"
15,A LUTA ARMADA NO CINEMA,FERNANDO SELIPRANDY,HISTÓRIA,"R$ 40,00","R$ 20,00"
16,A MULHER LAGARTO E OUTRAS HISTÓRIAS,FERNANDO LUIZ CIPRIANO,PSICOLOGIA,"R$ 50,00","R$ 25,00"
17,A PERMANÊNCIA DO ROMANCE HISTÓRICO,ANA MAFALDA LEITE,LITERATURA,"R$ 60,00","R$ 30,00"
18,A POETA-VIAJANTE - UMA TEORIA,LUIS ANTÔNIO CONTATORI,ESTUDOS LITERÁRIOS,"R$ 48,00","R$ 24,00"
19,A POÉTICA NA IMAGEM,HUMBERTO LIMA,ARTES,"R$ 45,00","R$ 22,50"
20,A POÉTICA ONTOLÓGICA DE CLARICE LISPECTOR,MARIA CLARA BACCARIN,LITERATURA,"R$ 35,00","R$ 17,50"
21,A POLÍTICA AO FIO DA ESPADA,LEONARDO DOS REIS GANDIA,HISTÓRIA,"R$ 48,00","R$ 24,00"
22,A PRODUÇÃO DO FRACASSO ESCOLAR,MARIA HELENA PATTO,EDUCAÇÃO,"R$ 60,00","R$ 30,00"
23,A TESSITURA DO FANTÁSTICO -,NUNO MANNA,ARTES,"R$ 35,00","R$ 17,50"
24,A TRAMA DAS IDEIAS,VALDIR DONIZETE,HISTÓRIA,"R$ 48,00","R$ 24,00"
25,A TRANSTERRITORIALIDADE DE SÃO PAULO,SILVIO LUIZ LOFEGO,HISTÓRIA,"R$ 25,00","R$ 12,50"
26,A UNIÃO FAZ A FORÇA,REIMY SOLANGE,PSICOLOGIA,"R$ 40,00","R$ 20,00"
27,A VELHA XERETA : NA FRONTEIRA ENTRE FILOSOFIA E CI,NJOCÃIAO DE FERNANDES TEIXEIRA,FILOSOFIA,"R$ 40,00","R$ 20,00"
28,A VIOLÊNCIA NA CONTEMPORANEIDADE,CLEUDEMAR ALVES,SOCIOLOGIA,"R$ 40,00","R$ 20,00"
29,ADMINISTRAÇÃO ESCOLAR,VITOR HENRIQUE PARO,EDUCAÇÃO,"R$ 50,00","R$ 25,00"
30,AS ESCOLAS PRIVADAS DA PERIFERIA,ADRIANA SANTIAGO ROSA,EDUCAÇÃO,"R$ 45,00","R$ 22,50"
31,AS LETRAS E AS IMAGENS,MARIA CRISTINA PEREIRA,HISTÓRIA,"R$ 55,00","R$ 27,50"
32,AS MARCAS DA PANTERA,MARGARETH RAGO,HISTÓRIA,"R$ 70,00","R$ 35,00"
33,ADOLESCÊNCIA HETERONORMATIVA,WELSON BARBOSA,ESTUDOS DE GENÊRO,"R$ 38,00","R$ 19,00"
34,ÁFRICA CONTEMPORÂNEA EM CENA,"SELMA PANTOJA,",HISTÓRIA,"R$ 40,00","R$ 20,00"
35,AMAURY DE MEDEIROS E O RECIFE,TELMA DE BARROS CORREIA,ARQUITETURA,"R$ 90,00","R$ 45,00"
36,AMÉRICA LATINA,AMÁLIO PINHEIRO,ESTUDOS LITERÁRIOS,"R$ 35,00","R$ 17,50"
37,AMERICAN WAY OF LIFE: CONSUMO E ESTILO DE VIDA NO,CPIANUELMOA R DOOBSE RANTO SF E1R95R0EIRA DA C,CNINHEAMA,"R$ 50,00","R$ 25,00"
38,ANGOLA E AS ANGOLANAS,SELMA PANTOJA,ANTROPOLOGIA,"R$ 45,00","R$ 22,50"
39,ANIMAIS FUJÕES,CELIA AZEVEDO,LITERATURA,"R$ 25,00","R$ 12,50"
40,APELOS SOLIDÁRIOS:ENUNCIAÇÃO E VISIBILIDADE NA FA,A NPGOILEÍT GICOAMES E ÂNGELA SALGUE,CROMUNICAÇÃO,"R$ 35,00","R$ 17,50"
41,AQUARELAS,JOÃO PEDRO/MURILO E MARINA,POESIA,"R$ 25,00","R$ 12,50"
42,ARQUITETURA MILITAR EM SALVADOR DA BAHIA,FILIPE MOREAU,ARQUITETURA,"R$ 60,00","R$ 30,00"
43,"ARTE, EROTISMO, NATUREZA E AMIZADE: OS DIÁRIOS DE",PAAXU MLOA RVTIEINIRSA,LITERATURA,"R$ 48,00","R$ 24,00"
44,"ARTE, FILOSOFIA, SOCIEDADE",ESTER VAISMAN,FILOSOFIA,"R$ 50,00","R$ 25,00"
45,ARTE FEITA EM CÓDIGO UM ESTUDO DE CASO SOBRE A L,NPGATURAÍGCEIAM O DAEK PIMROGRAMAÇÃO,ARTES,"R$ 40,00","R$ 20,00"
46,ARTE: NOVOS MODOS DE HABITAR/VIVER,WALMERI RIBEIRO,ARTES,"R$ 45,00","R$ 22,50"
47,ARTES & VIOLÊNCIAS,ROSANE KAMINSKI,HISTÓRIA,"R$ 50,00","R$ 25,00"
48,ARTIFÍCIO,OUTROS,POESIA,"R$ 25,00","R$ 12,50"
49,"ARTISTAS, AUTORIA E AS PRÁTICAS",JOSÉ CIRILLO,ARTES,"R$ 45,00","R$ 22,50"
50,AS AVENTURAS DO FILHOTE DE,CLAUDIA AMORIM,LITERATURA,"R$ 40,00","R$ 20,00"
51,AS DINÂMICAS DA LUTA PELA,LUCAS MONTEIRO,HISTÓRIA,"R$ 40,00","R$ 20,00"
52,ASCENSÃO E QUEDA DO PARAÍSO TROPICAL,MARGARETH RAGO,HISTÓRIA,"R$ 50,00","R$ 25,00"
53,ATRAVÉS DA SALA ESCURA -,GABRIEL MENOTTI,CINEMA,"R$ 25,00","R$ 12,50"
54,AUDIOVISUAL AO VIDO,MARCUS BASTOS,COMUNICAÇÃO,"R$ 48,00","R$ 24,00"
55,AVESSO,LEANDRA FELIPE,POESIA,"R$ 20,00","R$ 10,00"
56,BELEMBRADA,PAULO VIEIRA,POESIA,"R$ 40,00","R$ 20,00"
57,BELLE ÉPOQUE,CARMEM NEGREIROS,ARTES,"R$ 58,00","R$ 29,00"
58,BELLE ÉPOQUE EM PERSPECTIVA,CARMEM NEGREIROS,ARTES,"R$ 60,00","R$ 30,00"
59,BIBLIOTHEKA HOTEL: UM CONTA DA QUARENTENA,MARIA LUIZA TUCCI CARNEIRO,LITERATURA,"R$ 38,00","R$ 19,00"
60,"CANDIDO, SCHWARZ & ALVIM: A CRÍTICA LITERÁRIA DIALÉ",EICDAV ANLOD OBR AA. SBIELRGAMO/JUAN PED,EOS TRUODJAOS LITERÁRIOS,"R$ 56,00","R$ 28,00"
61,CARIRI ELETRÔNICO,ROBERTO MARQUES,CIÊNCIAS SOCIAIS,"R$ 38,00","R$ 19,00"
62,CARTAS ÀS ÁGUAS PASSADAS,MARINA B. LAURENTIIS,POESIA,"R$ 25,00","R$ 12,50"
63,CAROGRAFIA DA PROMESSA,ANDRÉA DORÉ,HISTÓRIA,"R$ 50,00","R$ 25,00"
