ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
9786587885049,"#UMDIASEMRECLAMAR","DAVI LAGO; MARCELOGALUPPO","42,90","21,45"
9786587885735,1984      (5735),GEORGE ORWELL,"39,90","19,95"
9788568014479,A ARTE DA NEGOCIACAO,DONALD J. TRUMP,"42,90","21,45"
9786587885094,A ARTE DE LIDAR COM PESSOAS (5094),"ALBUQUERQUE, JAMIL","42,90","21,45"
9788568014622,A CIENCIA DO SUCESSO,NAPOLEON HILL,"44,90","22,45"
9786550470241,A CIENCIA DO SUCESSO - VERSAO DE BOLSO,"HILL, NAPOLEON","19,90","9,95"
9788568014288,A ESCADA PARA O TRIUNFO,NAPOLEON HILL,"42,90","21,45"
9786550470173,"A ESCADA PARA O TRIUNFO - VERSÃO DEBOLSO","HILL, NAPOLEON","19,90","9,95"
9786550470227,A FELICIDADE E INUTIL,"BARROS FILHO, CLOVIS DE","24,90","12,45"
9788568014042,A MALDICAO DO PETROLEO,MICHAEL L. ROSS,"39,90","19,95"
9788568014165,A MENTIRA DO GLUTEN,ALAN LEVINOVITZ,"39,90","19,95"
9786587885728,A REVOLUCAO DOS BICHOS (5728),GEORGE ORWELL,"29,90","14,95"
9786587885599,A TRES PASSOS DO OURO,,"46,90","23,45"
9786550470371,ALEM DA PREVENCAO,"SAAB, DR. EDMUNDO","19,90","9,95"
9788568014332,AMERICA DEBILITADA,DONALD J. TRUMP,"39,90","19,95"
9786587885322,ANNE DA ILHA (5322),"MAUD MONTGOMERY, LUCY","39,90","19,95"
9786587885315,ANNE DE AVONLEA (5315),"MAUD MONTGOMERY, LUCY","39,90","19,95"
9786587885308,ANNE DE GREEN GABLES,"MAUD MONTGOMERY, LUCY","39,90","19,95"
9788566549164,ANNE DE GREEN GABLES (9164),"MAUD MONTGOMERY, LUCY","49,90","24,95"
9786587885568,ANNE DE WINDY POPLARS (5568),"MAUD MONTGOMERY, LUCY","39,90","19,95"
9786587885759,APRENDA COMO USAR A SUA MENTE,"WALKER ATKINSON,WILLIAM","29,90","14,95"
9786550470364,"ARTE DE MANIPULAR A SORTE, A","SOSA, FRANCISCO","42,90","21,45"
9788568014561,"ARTE DE SER FELIZ, A",DR.  NELIO TROMBINI,"44,90","22,45"
9786550471224,AS 17 LEIS DO TRIUNFO,"KALTENBACH, WALTER","46,90","23,45"
9786587885575,AS REGRAS DE OURO,"HILL, NAPOLEON","46,90","23,45"
9788568014059,ATITUDE MENTAL POSITIVA,NAPOLEON HILL,"42,90","21,45"
9786550470135,ATITUDE MENTAL POSITIVA - VERSAO BOLSO,"HILL, NAPOLEON","19,90","9,95"
9786550471071,BENTO,"VIANCO, ANDRE","46,90","23,45"
9788568014912,"CAPITAO DA MINHA ALMA, SENHOR DO MEUDESTINO","HILL, NAPOLEON (AUTOR)","44,90","22,45"
9786550470357,"COMO AUMENTAR O SEU PROPRIO SALARIO2 ED.","HILL, NAPOLEON","42,90","21,45"
9788568014899,COMO DESTRUIR UM PAÍS,"SUANO, MARCELO","44,90","22,45"
9788568014189,"COMO OS POBRES PODEM SALVAR OCAPITALISMO",JOHN HOPE BRYANT,"39,90","19,95"
9786550470517,COMO SE TORNAR SOBRENATURAL,"JOE DISPENZA, DR.","49,90","24,95"
9788568014615,COMO UM ROLLING STONE,"JAMIL ALBUQUERQUE EJOILSON ALBUQUERQUE","42,90","21,45"
9788568014097,DATA LIMITE SEGUNDO CHICO XAVIER,"JULIANO POZATI E REBECACASAGRANDE","49,90","24,95"
9786587885247,DESEJO DE GOL,"CONSTANTINO, HENRIQUE","44,90","22,45"
9786587885070,DESPERTAR INSPIRADO,"FILHO, CLOVIS DE BARROS","42,90","21,45"
