"ABRACO PERFEITO, O",JOANNA WALSH,"R$     42,90","R$    21,45"
AGORA NOS SOMOS OS CARAS - E1,SUSANN OPEL-GOTZ,"R$     47,90","R$     23,95"
"AH, NAO UM LIVRO NAO - E1",STEPHANIE GUERINEAU,"R$     49,90","R$     24,95"
ALEX E OS MONSTROS VOL.1: A CHEGADA DO SR FLAT,JAUME COPONS,"R$     44,90","R$    22,45"
ALEX E OS MONSTROS VOL.2: VAMOS SALVAR O NAUTILUS,JAUME COPONS,"R$     44,90","R$     22,45"
ALEX E OS MONSTROS VOL.3: A CANCAO DO PARQUE,JAUME COPONS,"R$     44,90","R$     22,45"
ALEX E OS MONSTROS VOL.4: A GUERRA DO BOSQUE,JAUME COPONS,"R$     44,90","R$     22,45"
ALFABETARIO DIVERTIDO VOL.1 (A-H) - E1,MARCO HAILER,"R$     39,90","R$    19,95"
ALFABETARIO DIVERTIDO VOL.2 (I-P) - E1,MARCO HAILER,"R$     39,90","R$    19,95"
"ANITA, A ABELHA - E3",KATIA CANTON,"R$     47,90","R$     23,95"
"ATUM, O GATO GRATO - E3 (26X26)",THAIS LAHAM,"R$     44,90","R$    22,45"
"ATUM, O GATO GRATO CAI NO MUNDO",THAIS LAHAM,"R$     44,90","R$     22,45"
"ATUM, O GATO GRATO FAZ UM SOM",THAIS LAHAM,"R$     44,90","R$     22,45"
"ATUM, O GATO GRATO, ESPORTISTA NATO!",THAIS LAHAM,"R$     44,90","R$     22,45"
"AVENTURAS DE OM NOM E SPIDER, AS - ATIVIDADES",ZEPTOLAB UK LIMITED,"R$     39,90","R$     19,95"
BENTO BEIJA-NUVEM,RAI TEICHIMAM,"R$     49,90","R$     24,95"
BLU E BERTA,KRISTYNA LITTEN,"R$     47,90","R$     23,95"
"BUFALO QUE SO QUERIA FICAR ABRACADO, O - E1",THAIS LAHAM,"R$     47,90","R$    23,95"
CAIO USA O TRONINHO,LIESBET SLEGERS,"R$     44,90","R$    22,45"
CAIO VAI A BIBLIOTECA,LIESBET SLEGERS,"R$     44,90","R$    22,45"
"CECI, UMA HISTORIA PARA OUVIR",FERNANDO MELLO,"R$     45,90","R$    22,95"
CHEIRO DE DOMINGO,ALEXANDRE PARENTE,"R$     45,90","R$     22,95"
"CIDADE POLITICAMENTE CORRETA, A - E1",ELISABETE DA CRUZ,"R$     47,90","R$     23,95"
CONTOS QUE NINGUEM TE CONTA - E3,MARCO HAILER,"R$     47,90","R$     23,95"
CORACOES AOS MILHOES,JOANA M LOPES,"R$     44,90","R$     22,45"
CORES,PATRICK GEORGE,"R$     69,90","R$     34,95"
DE QUEM E ESSE BUMBUM? - NA FAZENDA,KAREN WALL,"R$     47,90","R$     23,95"
DE QUEM E ESSE BUMBUM? - NO SAFARI,KAREN WALL,"R$     47,90","R$     23,95"
DEDINHOS ANIMAIS,TERESA PORCELLA,"R$     47,90","R$     23,95"
DESCOBRINDO O XINGU - E3,MARCO HAILER,"R$     47,90","R$     23,95"
DIA DE INVENTAR - E1,MARIANA YATSUDA IKUTA,"R$     47,90","R$    23,95"
DIARIO DE UM TREINADOR DE MONSTROS - E1,JOHN DIARY,"R$     44,90","R$     22,45"
ESTE SOU EU,LIESBET SLEGERS,"R$     47,90","R$     23,95"
FACA ACONTECER: 10 LICOES EST. P/ PENSAR POSITIVO,BERTHA GIOTTI,"R$     24,90","R$     12,45"
"FESTA NO CEU, A - E1",RITA GONCALEZ,"R$     47,90","R$     23,95"
FLORESTA DOS MISTERIOS,MARCIO ARAUJO,"R$     42,90","R$     21,45"
"GRANDE LIVRO DE AVENTURAS DE OM NOM, O",ZEPTOLAB,"R$     64,90","R$    32,45"
"HARMONIA PERFEITA, A - E1",RITA GONCALEZ,"R$     49,90","R$     24,95"
HORA DA SONECA: OS ANIMAIS TAMBEM GOSTAM,MARCELO JUCA,"R$     47,90","R$     23,95"
"HORTA DE TICO, O OURICO, A",LAURENCE JAMMES,"R$     54,90","R$     27,45"
IMPOSSIVEL,CATARINA SOBRAL,"R$     49,90","R$    24,95"
JOGANDO COM O TEMPO - E2,RITA GONCALEZ,"R$     49,90","R$     24,95"
"LEAO DA NEVE, O",JIM HELMORE,"R$     47,90","R$     23,95"
"LENDA DO LOBISOMEM, A",RITA GONCALEZ,"R$     49,90","R$     24,95"
"LIVRO GATO, O",SILVIA BORANDO,"R$     47,90","R$     23,95"
"MACACO TOCADOR DE VIOLAO, O - E3",MARCO HAILER,"R$     47,90","R$     23,95"
MENINAS INCRIVEIS,KATIA CANTON,"R$     44,90","R$     22,45"
MEU PRIMEIRO BICHONARIO - E3,MARCO HAILER,"R$     47,90","R$    23,95"
MEU PRIMEIRO LIVRO DE IOGA,CHRISTIANE ENGEL,"R$     54,90","R$     27,45"
MEU PRIMEIRO LIVRO DE MINDFULNESS,CHRISTIANE ENGEL,"R$     54,90","R$     27,45"
MINHAS PALAVRAS - DICIONARIO INFANTIL - E2,CARLOS MARQUES,"R$     69,90","R$     34,95"
MUNDO BITA: ANIMAIS DA FAZENDA - E2 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$    22,45"
MUNDO BITA: ANIMAIS DO SAFARI - E2 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$     22,45"
MUNDO BITA: BANHO MAGICO - E1,CAROCHINHA BABY,"R$     37,90","R$     18,95"
MUNDO BITA: DESCOBRINDO OS OBJETOS - E1 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$     22,45"
MUNDO BITA: DIA DE AVENTURA - E2 (CARTONADO ABAS),CAROCHINHA BABY,"R$     27,90","R$     13,95"
MUNDO BITA: HORA DE BRINCAR - E1,CAROCHINHA BABY,"R$     49,90","R$    24,95"
MUNDO BITA: HORA DE BRINCAR - E2 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$    22,45"
MUNDO BITA: HORA DE DORMIR (LIVRO DE PANO),CAROCHINHA BABY,"R$     47,90","R$    23,95"
MUNDO BITA: HORA DO LANCHE - E2 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$     22,45"
MUNDO BITA: NO FUNDO DO MAR (LIVRO DE BANHO),CAROCHINHA BABY,"R$     37,90","R$     18,95"
MUNDO BITA: TROCANDO DE ROUPA - E1 (BROCHURA),CAROCHINHA BABY,"R$     44,90","R$    22,45"
"MUNDO CHAMADO ALFABETO, UM - E3",MARCO HAILER,"R$     44,90","R$     22,45"
"MUNDO DE NINO, O - E2 (CAPA VERDE)",ANN CATHRIN RAAB,"R$     44,90","R$     22,45"
"MUNDO DE OM NOM, O - BRINCADEIRAS",ZEPTOLAB UK LIMITED,"R$     39,90","R$     19,95"
NUMEROS,PATRICK GEORGE,"R$     69,90","R$    34,95"
OPOSTOS,PATRICK GEORGE,"R$     69,90","R$    34,95"
PALAVRAS SAPECAS,KATIA CANTON,"R$     47,90","R$     23,95"
"PATINHO FEIO, O",RITA GONCALEZ,"R$     47,90","R$    23,95"
PEGANDO ONDA E1 LA,RITA GONCALEZ,"R$     49,90","R$    24,95"
"PULO DO COELHO, O (CAPA MENINO) E1",LAZARO RAMOS,"R$     39,90","R$    19,95"
QUEM NUNCA COMEU UM BOMBOM DE OLHOS FECHADOS,JONAS RIBEIRO,"R$     45,90","R$    22,95"
RAPUNZEFA,LUCIANO DAMI,"R$     49,90","R$     24,95"
REI DUDU CALCA-CURTA VOL.1: CONTRA O IMPERADOR DO,ANDY RILEY,"R$     42,90","R$     21,45"
RESGATE DO PLANETA,PATRICK GEORGE,"R$     69,90","R$     34,95"
SALADA DE FRUTAS: NUMEROS E FORMAS - E2,NARA RAGGIOTTI,"R$     47,90","R$    23,95"
"SECADOR DE LIVROS, O",CARLA MAIA DE ALMEIDA,"R$     49,90","R$    24,95"
SINTO O QUE SINTO E A INCRIVEL HISTORIA DE ASTA E,LAZARO RAMOS,"R$     44,90","R$     22,45"
"SOFIA, A GATA NINJA 1: E A ESPETACULAR FUGA",DERMOT O LEARY,"R$     39,90","R$    19,95"
"SOLDADINHO DE CHUMBO, O - E3",RITA MENNEH,"R$     47,90","R$     23,95"
"STEADFAST TIN SOLDIER, THE - E1",RITA GONCALEZ,"R$     54,90","R$    27,45"
TAO TAO GRANDE,CATARINA SOBRAL,"R$     49,90","R$    24,95"
TE VEJO LA FORA - E2,RITA GONCALEZ,"R$     47,90","R$     23,95"
"TEORIA DO CHAPEU, A",KATIA CANTON,"R$     47,90","R$     23,95"
