TÍTULOS,AUTOR,SELO,$ CAPA 50%,
APRENDER E SABER - ATIVIDADES DE CALIGRAFIA LIVRO 1,"VALLE, FERNANDA RIBEIRO DO",CEREJA EDITORA,"R$ 12,00",
APRENDER E SABER - ATIVIDADES DE CALIGRAFIA LIVRO 2,"VALLE, FERNANDA RIBEIRO DO",CEREJA EDITORA,"R$ 12,00",
APRENDER E SABER - INGLES 1,"TATE, MEIRE",CEREJA EDITORA,"R$ 24,95",
APRENDER E SABER - INGLES 2,"RIBEIRO, SILVIA",CEREJA EDITORA,"R$ 24,95",
APRENDER E SABER MAIS - REFORÇO ESCOLAR 1o ANO,"VALLE, FERNANDA RIBEIRO DO",CEREJA EDITORA,"R$ 69,50",
APRENDER E SABER MAIS - REFORÇO ESCOLAR 2o E 3o ANO,"VALLE, FERNANDA RIBEIRO DO",CEREJA EDITORA,"R$ 69,50",
APRENDER E SABER MAIS - REFORÇO ESCOLAR 4o E 5o ANO,"VALLE, FERNANDA RIBEIRO DO",CEREJA EDITORA,"R$ 69,50",
CASTRO ALVES,"ALVES, CASTRO",CEREJA EDITORA,"R$ 19,00",
CEM GRILOS,"MEUNIER, HENRI",CEREJA EDITORA,"R$ 24,00",
COMBATENDO A DENGUE,"YOUSSEF, MARIA DA PENHA B.",CEREJA EDITORA,"R$ 20,00",
COMBATENDO O ALCOOLISMO,"VIGNA, MAYRE B C",CEREJA EDITORA,"R$ 27,45",
COMBATENDO O BULLYING,"BASSINI, LEANDRO",CEREJA EDITORA,"R$ 27,45",
COMBATENDO O CRACK,"MARRA, LUIS",CEREJA EDITORA,"R$ 29,95",
COMBATENDO O TABAGISMO,"VIGNA, MAYRE B C",CEREJA EDITORA,"R$ 27,45",
A CUCA DE BATOM,"FELICISSIMO, ADRIANA",CEREJA EDITORA,"R$ 20,00",
DONA NENÊ E O SUMIÇO DO BRINCO,"TARABORELLI, RITA",CEREJA EDITORA,"R$ 21,00",
EDUCA FINANCEIRA 6,"ZERO,ARETHUZA",CEREJA EDITORA,"R$ 27,45",
EDUCA FINANCEIRA 7,"ZERO,ARETHUZA",CEREJA EDITORA,"R$ 27,45",
EDUCA FINANCEIRA 8,"ZERO,ARETHUZA",CEREJA EDITORA,"R$ 27,45",
EDUCA FINANCEIRA 9,"ZERO,ARETHUZA",CEREJA EDITORA,"R$ 27,45",
EMPREENDEDORISMO,"TORRES,GIOVANI",CEREJA EDITORA,"R$ 25,00",
FABULAS DE ESOPO,ESOPO,CEREJA EDITORA,"R$ 24,00",
FAUSTO,"WOLFANG,JOHANN",CEREJA EDITORA,"R$ 20,90",
GUILHERME TELL,"SCHILLER,FRIEDERICH",CEREJA EDITORA,"R$ 20,90",
GANDHI,"QUINN, JASON",CEREJA EDITORA,"R$ 38,45",
LEONARDO DA VINCI,"DANKO, DAN",CEREJA EDITORA,"R$ 29,15",
MUITO BARULHO POR NADA,"SHAKESPEARE, WILLIAM",CEREJA EDITORA,"R$ 20,90",
"NATAN, O SÁBIO","LESSING, GOTTHOLD EPHRAIM",CEREJA EDITORA,"R$ 20,90",
NELSON MANDELA,"HELFAND, LEWIS",CEREJA EDITORA,"R$ 30,80",
OS IRMÃOS BIGODE,"COUSSEAU, ALEX",CEREJA EDITORA,"R$ 24,00",
OS TRABALHOS DE HERCULES,"FOLEY, RYAN",CEREJA EDITORA,"R$ 27,45",
PAPAI ZEBRA,"KIRTADZE, SOPHIE",CEREJA EDITORA,"R$ 21,00",
PEQUENA ARANHA,"TABLIASHVILI, EKA",CEREJA EDITORA,"R$ 18,00",
POLAR,"MI JUNG, LEE",CEREJA EDITORA,"R$ 21,00",
PROMOVENDO A ALIMENTACAO SAUDAVEL,"YOUSSEF, MARIA DA PENHA B.",CEREJA EDITORA,"R$ 27,45",
PROMOVENDO A ETICA E CIDADANIA,"AZEVEDO, GUILA",CEREJA EDITORA,"R$ 29,95",
PROMOVENDO O HABITO DE LEITURA,"VIGNON, LUANA",CEREJA EDITORA,"R$ 29,95",
ROMEU E JULIETA,"SHAKESPEARE, WILLIAM",CEREJA EDITORA,"R$ 20,90",
SONHOS DE UMA NOITE DE VERÃO,"SHAKESPEARE, WILLIAM",CEREJA EDITORA,"R$ 20,90",
UMA COISA É OUTRA COISA,"DIVA, ANA E ZANETTI, KICA",CEREJA EDITORA,"R$ 19,00",
WANGARI MAATHAI E O MOVIMENTO DO CINTURAO VERDE,OBIOMA OFOEGO,CEREJA EDITORA,"R$ 27,45",
FUNMILAYO RANSOME KUTI E A UNIAO DAS MULHERES DE ABEOKUTA,OBIOMA OFOEGO,CEREJA EDITORA,"R$ 27,45",
NJINGA MBANDI RAINHA DO NDONGO E MATAMBA,SYLVIA SERBIN E EDOUARD JOUBEAUD,CEREJA EDITORA,"R$ 27,45",
AVENTURAS NO ESPAÇO,"KUNNAS, MAURI",CEREJA EDITORA,"R$ 22,00",
AS SETE MARAVILHAS DO SR SONÂMBULO,"KUNNAS, MAURI",CEREJA EDITORA,"R$ 22,00",
ROBIN HOOD,"KUNNAS, MAURI",CEREJA EDITORA,"R$ 22,00",
"SOCORRO, PIRATAS!","KUNNAS, MAURI",CEREJA EDITORA,"R$ 22,00",
TUDO É RELATIVO,"RUEDA, CLAUDIA",CEREJA EDITORA,"R$ 22,00",
COMO IMPLEMENTAR UMA POLÍTICA DE EDUCAÇÃO ABERTA,"PRISCILA, DEBORA, PEDRO",CEREJA EDITORA,"R$ 17,50",
"QUADRADO, O","ROCHA, VANESSA CAMPOS",CEREJA EDITORA,"R$ 21,00",
TRUM E O PASSARO MUSICAL,ELZBIETA,CEREJA EDITORA,"R$ 21,00",
ATLAS GEOGRÁFICO ESCOLAR,CARLOS HENRIQUE VESPÚCIO,CEREJA EDITORA,"R$ 12,50",
O CÍRCULO,"ROCHA, VANESSA CAMPOS",CEREJA EDITORA,"R$ 18,00",
HISTORIAS TREMEBUNDAS,"FRANCO, BLANDINA",CEREJA EDITORA,"R$ 19,00",
ENCONTROS DE HISTÓRIAS,"CLARO, REGINA CELIA SOARES",CEREJA EDITORA,"R$ 20,00",
A VOZ DOS OUTROS,"JOSÉ DE NICOLA, LUCAS S.R. DE NICOLA",CASA DE LETRAS,"R$ 42,50",
PARA AQUELES QUE QUEREM VOAR,PIRKKO VAINIO,CASA DE LETRAS,"R$ 21,00",
CONHECER AS PALAVRAS - MEU PRIMEIRO DIC DA LINGUA,"RANGEL, FABIANA MENDES",DSP EDITORA,"R$ 20,00",
DIREITOS HUMANOS,"FRIEDMAN, MARK",DSP EDITORA,"R$ 19,50",
FORMAS,"RUEDA, CLAUDIA",DSP EDITORA,"R$ 36,00",
GRAMATICA COMPLETA,"BORGES, DIELEN",DSP EDITORA,"R$ 47,00",
IDEIA DE BONECO,"FELICISSIMO, ADRIANA",DSP EDITORA,"R$ 15,00",
LIVRO DOS TUTUS,"FRANCO, BLANDINA",DSP EDITORA,"R$ 19,00",
MEU BAIRRO,"BULLARD, LISA",DSP EDITORA,"R$ 18,00",
MEU CADERNO DE CALIGRAFIA 1 ANO,"VIGNA, MAYRE B C",DSP EDITORA,"R$ 16,45",
MEU CADERNO DE CALIGRAFIA 2 ANO,"VIGNA, MAYRE B C",DSP EDITORA,"R$ 16,45",
MEU CADERNO DE CALIGRAFIA 3 ANO,"VIGNA, MAYRE B C",DSP EDITORA,"R$ 16,45",
MEU CADERNO DE CALIGRAFIA 4 ANO,"VIGNA, MAYRE B C",DSP EDITORA,"R$ 16,45",
MEU CADERNO DE CALIGRAFIA 5 ANO,"VIGNA, MAYRE B C",DSP EDITORA,"R$ 16,45",
MEU CORPO,"BULLARD, LISA",DSP EDITORA,"R$ 18,00",
MEU DIA,"BULLARD, LISA",DSP EDITORA,"R$ 18,00",
MINHA CASA,"BULLARD, LISA",DSP EDITORA,"R$ 18,00",
MINHA FAMILIA,"BULLARD, LISA",DSP EDITORA,"R$ 18,00",
NINGUEM E EU,"MERTENS, BART",DSP EDITORA,"R$ 44,50",
OLHAR A AFRICA: FONTES VISUAIS PARA A SALA DE AULA,"CLARO, REGINA CELIA SOARES",DSP EDITORA,"R$ 39,50",
OVOS COM PERNAS,"DAHL, MICHAEL",DSP EDITORA,"R$ 20,00",
PARA SEMPRE CHEGAR BEM: EDUCACAO PARA O TRANSITO,"RUGNA, BETINA E GARCIA, ELISABETE",DSP EDITORA,"R$ 19,45",
PEQUENO CIDADAO 1 - COMPARTILHAR E RESPEITAR,VARIOS,DSP EDITORA,"R$ 27,95",
"PEQUENO CIDADAO 2 - DIREITOS E DEVERES, OS",VARIOS,DSP EDITORA,"R$ 27,95",
PES NA AREIA,"DAHL, MICHAEL",DSP EDITORA,"R$ 20,00",
PRA LA,"TATIT, LUIZ E OZZETTI, DANTE",DSP EDITORA,"R$ 23,50",
PROMESSA E PROMESSA,KNISTER,DSP EDITORA,"R$ 20,00"
PROTEGENDO O MEIO AMBIENTE,"AMARAL, ANA CAROLINA",DSP EDITORA,"R$ 42,50"
SUPER-EU,"BULLARD, LISA",DSP EDITORA,"R$ 18,00"
TODO MUNDO TEM,"DERDYK, EDITH",DSP EDITORA,"R$ 29,50"
USANDO AS MAOS,"DAHL, MICHAEL",DSP EDITORA,"R$ 20,00"
VEIO DO JARDIM,"DAHL, MICHAEL",DSP EDITORA,"R$ 20,00"
VENCENDO A VIOLENCIA DOMESTICA,"MILES, LIZ",DSP EDITORA,"R$ 19,45"
VENCENDO AS DROGAS,"LYNETTE, RACHEL",DSP EDITORA,"R$ 17,00"
VENCENDO O BULLYING,"GUILLAIN, CHARLOTTE",DSP EDITORA,"R$ 19,45"
VENCENDO O CYBER BULLYING,"HUNTER, NICK",DSP EDITORA,"R$ 19,45"
VOCE ME AJUDA? CONVERSAS SOBRE DROGAS NA ESCOLA,"YOSHIOKA, GILSON E CHINALLI, MYRIAN",DSP EDITORA,"R$ 20,00"
