"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
Título,Autor,"Valor deCapa","Preço comDesconto"
A Casa & Outros Poemas,"BOSI, Ecléa","30,00","15,00"
Além da rua,"AUGUSTO, Rogério","16,50","8,25"
Algo a Declarar?,"ESCALEIRA, Bruna","25,00","12,50"
Armadilha,"TARGINO, João","13,00","6,50"
As Ondas Longas da Conjuntura: Com Seis Curvas,"KONDRATIEV, Nikolai","20,00","10,00"
"Bruno Palma, Escolhedor de Palavras: Ensaio Sobre aArte e o Ofício de um Tradutor","GONÇALVES, Marcus Fabiano","40,00","20,00"
Canto do Mar,"FARIA E SILVA, Rodrigo de","15,00","7,50"
Canto Periférico,"BORGES, Pedro","28,00","14,00"
Cartas ao Meu Bebê,"LUZ, Mariáh Oyarzabal da","58,00","29,00"
Coletivo Só!,"RODRIGUES, Lucas","28,00","14,00"
Com os Burros n Água,"LA CORTE, Nelson de","24,00","12,00"
Conversa entre Amigos,"BRANCO, Catullo","40,00","20,00"
"Conversas de Gente Grande: Histórias Infantis paraAdultos","FARIA, Maíra Scombatti","25,00","12,50"
Coração Vermelho Batendo em Muralhas,"ROMANI, REGINA","35,00","17,50"
Cultura e Vida Cotidiana no Jornal,"TAGÉ,Terezinha","25,00","12,50"
Dedos Sonâmbulos,"PINOTI, Antonio Jurandir","13,00","6,50"
Desavessos,"MARTINS, José de Souza","24,00","12,00"
"Desconstrução do Livro, A","ZAMBAN, Lília","20,00","10,00"
"Diário de um Bandeirante Ligeiramente Atrasado eTotalmente Desarmado","BUZZO, Roberto","10,00","5,00"
Dicionário de Termos Gráficos,"AREZIO, Arthur","60,00","30,00"
Diplô: Paris - Porto Alegre,"SAYURI, Juliana","46,00","23,00"
Do Avesso,"TARDIVO, RENATO","20,00","10,00"
"Dose de Cortisol, Uma: E uma Porção de Serotonina","CANDEIAS, Del","22,00","11,00"
Duas Casas,"DRAGONETTI, Cláudia","13,00","6,50"
Ebulições,"PASSINATO, Cristiana","20,00","10,00"
Enquanto Jactos e Hiatos,"MELO e CASTRO, Ernesto M. de","11,00","5,50"
"Expressão Revolta, Impressão Envolta, ou o contrário,O Livro Sobre Reflexão: Poesia da Comunicação","ZAMBARDA, Pedro","20,00","10,00"
Filosofia pelo Desenho: Ou um Livro sem Citações,"NICOLAU, Evandro","20,00","10,00"
Fragmentos Esparsos,"CAPUCHINHO, Hélio","20,00","10,00"
"Grito de Coragem: Memórias da Luta Armada, Um  ED.2","MARTINELLI, Renato","45,00","22,50"
"Guerra Vista do 3o Andar, A: Memórias de umaAdolescente em Londres Durante a Segunda Guerra","MARX, Myriam Pinheiro de Vasco","20,00","10,00"
Guerrilha Surreal,"CHRISPINIANO, José","22,00","11,00"
Helenas,"SANDY, MÁRCIA","25,00","12,50"
"Herói, O","LYNCH, Dalva Agne","35,00","17,50"
"Infernos Possíveis, Os","BRESSANE, Ronaldo","22,00","11,00"
Isabella,"REZENDE, Marco Antonio Amaral","5,00","2,50"
Jerusalem Jones: O Deserto Te Chama,"HONORATO, Eudes","20,00","10,00"
Jolly ́s 1984,"RANGEL, Fernando","25,00","12,50"
"Ladrões do Brás, Os","ALMEIDA, Marcelo","28,00","14,00"
Leitura: Incentivo x Consumo (II Fórum de Editoração),"LATGÉ, Ana Maria","25,00","12,50"
Livro de Coisas,"MIYAKE, Ricardo","13,00","6,50"
Livros e Universidades,"DEAECTO, Marisa Midori","60,00","30,00"
Manual do Aprendiz Compositor,"CLAYE, Jules","52,00","26,00"
"Mar e o Búzio, O","PALMA, Bruno","40,00","20,00"
Memória Prévia,"CASTELLI, Chantal","11,00","5,50"
Memórias de um Mogiano na FEB,"MILED, CURY","25,00","12,50"
Mercado Editorial Brasileiro,"REIMÃO, Sandra","16,50","8,25"
Militância Cultural: A Maria Antonia nos Anos 60,"MENESES, Adélia Bezerra de","45,00","22,50"
"Moiras, As","ESSENFELDER, Renato","20,00","10,00"
Monteiro Lobato &  Cia,"SIMIONATO, JULIANA SIANI","25,00","12,50"
"Mulheres de Maternidade Impedida: A MãeMarginalizada em Face do Atendimento Institucional","MARTINS, Juliana Teixeira deSouza","35,00","17,50"
"Mulheres Jornalistas: Opções Profissionais para aConstrução da Cidadania","KOSHIYAMA, Alice M.","15,00","7,50"
Mundos Sem Sol,"PEREIRA, José Roberto","20,00","10,00"
"Novo Cenário para o Negócio do Livro, Um","BORGES, Bárbara","23,00","11,50"
Num Estalar de Dedos,"NUNES, João Campos","22,00","11,00"
Oboé: Novela,"CAMARGO, Oswaldo de","20,00","10,00"
Oitenta Anos da Revolução Espanhola,"ANDRADE, Everaldo de Oliveira","30,00","15,00"
Olho Nu,"FERNANDES, Magali Oliveira","22,00","11,00"
Orfanato,"ROMEIRO, Fabiane","30,00","15,00"
Paul Singer: Militante por uma Utopia,"SINGER, Paul","40,00","20,00"
"Pecado da Tristeza e Outras Histórias, O","GOUVÊA, José Geraldo","38,00","19,00"
"Pintor de Arco-Íris, O","PEREIRA, Luana Costa","20,00","10,00"
Pó Cinza e Nada,"WALTRICK, Fabricio","13,00","6,50"
Porque é Noite,"PALMA, Bruno","40,00","20,00"
"Prato Feito: As Políticas do Governo e a LiteraturaInfantil Brasileira","MESQUITA, ANA CAROLINA","25,00","12,50"
Questões Profissionais da Indústria do Livro,"CANELLAS, Antonio Bernardo","48,00","24,00"
Rastros,"AVANCINI, Atílio","40,00","20,00"
Ratos de Salão,"HUSSAR, WILLIAN","30,00","15,00"
Relembranças,"FERRER, Zepa","30,00","15,00"
Repensando o Modelo de Negócios do Livro,"FERNANDES, Hélio Puglia","65,00","32,50"
Repensar a Universidade II: Impactos para a Sociedade,"MARCOVITCH, Jacques","85,00","42,50"
"Repensar a Universidade: Desempenho Acadêmico eComparações Internacionais","MARCOVITCH, Jacques","70,00","35,00"
"Retrato da Vida, O","SANTOS, Hilda de Souza","25,00","12,50"
Revisão de Provas Tipográficas,"AREZIO, Arthur","45,00","22,50"
Rio Revoando,"PERES, Wesley Godoi","25,00","12,50"
Rubens Francisco Lucchetti: O Homem de 1000 Livros,"FERREIRA, Jerusa Pires","20,00","10,00"
Ruídos,"JESUS, Maria Tereza Moreira","16,00","8,00"
Sete Pequeninas Peças para Piano,"OLIVEIRA, Rômulo Silva de","10,00","5,00"
Sobre Anatol Rosenfeld,"JACOB FILHO, Wilson","12,00","6,00"
Sobre Comunicações e Artes: ECA-USP: 50 Anos,"KUNSCH, Margarida MariaKrohling","60,00","30,00"
"Sociologia Enraizada de José de Souza Martins, A","FREHSE, Fraya","70,00","35,00"
"Solano Trindade, Poeta do Povo: Aproximações","CAMARGO, Oswaldo de","10,00","5,00"
"Sucesso Não Ocorre No Meu Caso, O","MUCINHO, Zé","14,00","7,00"
"Surda, A","BARBOSA, Wilson do Nascimento","50,00","25,00"
"Tao Entre Nós, O","LIMA, Edvaldo Pereira","11,00","5,50"
Tempo Oportuno,"MUSSI, Joana Zatz","14,00","7,00"
Teresa do Jardim Encantado,"ARAGÃO, Eloísa","22,00","11,00"
Terra Roxa,"MAURO, Fillipe","38,00","19,00"
"Tipografia em São Paulo, A: Contribuição à História deSuas Origes","IPANEMA, Cybelle de","22,00","11,00"
Tipógrafos e Editores,"ROZENDO, CAROLINE","25,00","12,50"
Universidade em Movimento: Memória de uma Crise,"MARCOVITCH, Jacques","40,00","20,00"
"Vaca e o Brejo, A","LA CORTE, Nelson de","20,00","10,00"
Velúdico,"R., Thiago","15,00","7,50"
"Versão do Autor, A","BUSATO, Jonathan","20,00","10,00"
"Véspera do Grito, A","ABREU, Ieda Estergilda de","11,00","5,50"
Vez a Vez (Antologia Pessoal),"PERES, Fernando da Rocha","30,00","15,00"
