Título,Autor,"Preço decapa","PREÇO USP2021"
SE EU OLHAR PRA TRAS,Ademir Furtado,39.90,10.00
VAMOS COMPRAR UM POETA,AFONSO CRUZ,39.90,19.95
VEJA SE VOCE RESPONDE ESSA PERGUNTA,Alexandre Rodrigues,35.90,15.00
"DONOS DO INVERNO, OS",ALTAIR MARTINS,44.90,22.00
"FRONTEIRAS: TERRITÓRIOS DA LITERATURA EDA GEOPOLÍTICA","Bernardo Carvalho, Igiaba Scego, JuanCárdenas, Leonardo Padura, Patrícia CamposMello",44.90,15.00
CIDADA DE SEGUNDA CLASSE,BUCHI EMECHETA,59.90,"29,95"
PREÇO DE NOIVA,BUCHI EMECHETA,54.90,27.45
"SUA ESPERA, A",Carla Mühlhaus,39.90,15.00
"ESTRANHA NA CIDADE, UMA",Carol Bensimon,39.90,19.95
DIA DE MATAR PORCO,Charles Kiefer,39.90,15.00
ETICA E POS-VERDADE,"Christian Dunker, Cristovão Tezza, JuliánFuks, Marcia Tiburi, Vladimir Safatle",44.90,22.45
"PRIMEIRO, O CORPO: CORPO BIOLÓGICO,CORPO ERÓTICO E SENSO MORAL",Christophe Dejours,79.90,39.95
SANGA MENOR,Cíntia Lacroix,39.90,19.95
TARANTATA,Cíntia Lacroix,39.90,19.95
LITERATURA A MARGEM,Cristovão Tezza,39.90,15.00
"PRIMEIRAS SOMBRAS, AS",DALVA VIEIRA,35.90,15.00
ENDOMARKETING INTELIGENTE,Daniel Costa,59.90,29.90
CONTOS DO ROCK,DANIEL FERRO (org.),49.90,20.00
ANARQUIA NA PASSARELA,Daniel Rodrigues,49.90,15.00
NO INFERNO E SEMPRE ASSIM,Daniela Langer,36.90,18.45
BRAVA SERENA,Eduardo Krause,49.90,24.95
CIRANDA NEGRA,Eni Allgayer,36.90,15.00
"DENTES DA DELICADEZA, OS",Éverton Behenck,24.90,12.45
RAIVA NOS RAIOS DE SOL,Fernando Mantelli,35.00,15.00
MONSTROS FORA DO ARMARIO,Flávio Torres,39.90,19.95
SEM GENTILEZA,FUTHI NTSHINGILA,44.90,19.90
"CINCO MENINOS, CINCO RATOS",GONÇALO M. TAVARES,44.90,19.90
"MULHER-SEM-CABEÇA E O HOMEM-DO-MAU-OLHADO, A",GONÇALO M. TAVARES,44.90,19.90
ENCHENTES,Guido Kopittke,36.90,15.00
ANTES E DEPOIS DO TEMPO,GUILHERME GIUGLIANI,39.90,19.95
LOJA DE CONVENIENCIA,GUILHERME SMEE,36.90,15.00
PERDER A CABEÇA,GUISEPPE CIVITERSE,79.90,39.95
MARCHA DE INVERNO,Gustavo Machado,39.90,15.00
RABISCOS NO PENSAMENTO,Helena Hofmeister Martins-Cost,36.90,15.00
RESPEITAVEL PUBLICO,Henrique Schneider,39.90,19.95
"VIDA E BREVE E PASSA AO LADO, A",Henrique Schneider,36.90,18.45
MENINO PERPLEXO,Israel Mendes,36.90,18.45
QUEBRANTOS E SORTILEGIOS,Ivo Bender,39.90,15.00
"SEXUAL: A SEXUALIDADE AMPLIADA NOSENTIDO FREUDIANO 2000-2006",Jean Laplanche,89.90,44.95
PALAVRAS DE FOGO,JIDI MAJIA,39.90,19.95
SEJA HOMEM,JJ BOLA,54.90,27.45
DE GUAXOS E DE SOMBRAS,Joana Bosak,49.90,15.00
"CAMINHO IMPERFEITO, O",JOSE LUIS PEIXOTO,44.90,19.90
AZAR DOS FATOS,Josué Orsolin,39.90,19.95
ANTES QUE OS ESPELHOS SE TORNEM OPACOS,Juarez Guedes Cruz,36.90,18.45
PELAS JANELAS,Juliano Cazarré,29.50,14.00
AMORES,LEONOR DE RECONDO,54.90,22.45
PONTO CARDEAL,LEONOR DE RECONDO,54.90,22.45
EU NAO SEI LIDAR,LUCAS SILVEIRA,37.90,18.50
"AMORES IMPOSSÍVEIS E OUTRASPERTURBAÇÕES QUÂNTICAS",LUCAS SILVEIRA,37.90,15.00
