"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
[...] METADE É VERDADE RUTH ESCOBAR,ÁLVARO RAMOS,"140,00","70,00"
12° FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
13° FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
14°  FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
15o FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
16o FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
17o FESTIVAL VIDEOBRASIL 2011,ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
18o FESTIVAL VIDEOBRASIL,ASSOCIAÇÃO VIDEOBRASIL,"30,00","15,00"
19 FEST VIDEOBRASIL - LEITURAS,ASSOCIAÇÃO VIDEOBRASIL,"70,00","35,00"
19 FEST VIDEOBRASIL- ARTISTAS CONVIDADOS,ASSOCIAÇÃO VIDEOBRASIL,"82,00","41,00"
1917: O ANO QUE ABALOU O MUNDO,IVANA JINKINGS e KIM DORIA,"59,00","29,00"
1968: REFLEXOS E REFLEXÕES,VÁRIOS AUTORES,"49,00","24,00"
"20 FEST ARTE CONTEMP PANORAMA SULVIDEOBRASIL",ASSOCIAÇÃO VIDEOBRASIL,"80,00","40,00"
A AVENTURA DE O MÉTODO E PARA UMA,EDGAR MORIN,"64,00","32,00"
A BIBLIOTECA - UMA HISTÓRIA MUNDIAL,JAMES W. P. CAMPBELL,"150,00","75,00"
A FÓRMULA DA EMOÇÃO NA FOTOGRAFIA,LEÃO SERVA,"69,00","34,00"
A INVENCAO DA POLITICA CULTURAL,PHILIPPE URFALINO,"65,00","32,00"
"A LEITURA, OUTRA REVOLUCAO",MARÍA TERESA ANDRUETTO,"45,00","22,00"
"A MEMORIA, A JUSTICA E O PERDAO",AMELIA VALCÁRCEL,"30,00","15,00"
A PIRÂMIDE DO PIQUES: SÃO PAULO,GUSTAVO PIQUERA,"96,00","48,00"
A SABEDORIA DO BIBLIOTECÁRIO,MICHEL MELOT,"36,00","18,00"
A SUBVERSÃO DO SER,MAURO MALDONATO,"40,00","20,00"
A VINGANCA DE PLATAO,WILLIAM OPHULS,"60,00","30,00"
"ABECEDARIO DE PERSONAGENS DO FOLCLOREBRASILEIRO",JANUÁRIA CRISTINA ALVES,"62,00","31,00"
ABERTO OPEN: FITEIRO CULTURAL 22 EDIÇÃO,FABIANA DE BARROS,"90,00","45,00"
ABISMO DE ROSAS: VIDA E OBRA,SÉRGIO ESTEPHAN,"48,00","24,00"
ABRAHAO SANOVICZ: DESENHOS E GRAVURAS,FERNANDA SANOVICZ,"65,00","32,00"
AGITE ANTES DE USAR: DESLOCAMENTOS,RENATA CERVETTO E MIGUEL A. LÓPEZ,"55,00","27,00"
ALBUM - IMAGENS MUSICAIS,"MARCO AURELIO OLIMPIO, SIMONETTA PERSICH","7 0 ,00","35,00"
