"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
Aedes de A a Z,"Denise Valle, Raquel Aguiar, Denise Nacif Pimenta, Vinicius Ferreira","R$ 15,00","R$ 7,50"
"Álcool e Outras Drogas: diálogos sobre um mal-estarcontemporâneo","Sergio Alarcon, Marco Aurélio Soares Jorge","R$ 52,00","R$ 26,00"
Agricultura Urbana,,"R$ 15,00","R$ 7,50"
Aspectos Econômicos da Equidade em Saúde,"Di McIntyre, Gavin Mooney","R$ 53,00","R$ 26,50"
"Atenção primária à saúde no Brasil: conceitos, práticas e pesquisa","Maria Helena Magalhães de Mendonça, Gustavo Corrêa Matta, RobertaGondim, Lígia Giovanella","R$ 85,00","R$ 42,50"
"Ativismo Patrocinado pelo Estado: burocratas e movimentos sociaisno Brasil democrático",Jessica A. J. Rich,"R$ 65,00","R$ 32,50"
"Avaliação por Triangulação de Métodos: abordagem de programassociais","Maria Cecília de Souza Minayo, Simone Gonçalves de Assis, Edinilsa Ramos deSouza","R$ 35,00","R$ 17,50"
"Bioética, Saúde e Sociedade",Marisa Palácios,"R$ 39,00","R$ 19,50"
Caminhos do Pensamento: epistemologia e método,"Maria Cecília de Souza Minayo, Suely Ferreira Deslandes","R$ 50,00","R$ 25,00"
"Campo da Saúde Coletiva: gênese, transformações e articulaçõescom a reforma sanitária brasileira, O",Ligia Maria Vieira-da-Silva,"R$ 52,00","R$ 26,00"
Cidades Saudáveis? Alguns olhares sobre o tema,"Carmen Beatriz Silveira, Tania Maria Fernandes, Bárbara Pellegrini","R$ 50,00","R$ 25,00"
"Clínica, Laboratório e Eugenia: uma história transnacional dasrelações Brasil-Alemanha",Pedro Muñoz,"R$ 65,00","R$ 32,50"
"Constituição da Assistência Social como um Campo de PolíticaPública no Brasil, A",Gustavo Conde Margarites,"R$ 55,00","R$ 27,50"
"Corpo na História, O",José Carlos Rodrigues,"R$ 28,00","R$ 14,00"
Dengue: teorias e práticas,"Denise Valle, Denise Nacif Pimenta, Rivaldo Venâncio da Cunha","R$ 159,00","R$ 79,50"
Desastres: velhos e novos desafios para a saúde coletiva,"Luciana R. Londe, Vânia Rocha","R$ 15,00","R$ 7,50"
Direito à Comunicação e Saúde,"Luiz Felipe Stevanim, Rodrigo Murtinho","R$ 15,00","R$ 7,50"
"Direitos e Ajuda Humanitária: perspectivas sobre família, gênero esaúde","Jaqueline Ferreira, Patrice Schuch","R$ 36,00","R$ 18,00"
"Direitos Humanos e Saúde: reflexões e possibilidades deintervenção","Maria Helena Barros de Oliveira, Nair Teles e Rubens Roberto Rebello Casara","R$ 15,00","R$ 7,50"
"Em Busca da Comunidade: ciências sociais, desenvolvimento rural ediplomacia cultural nas relações Brasil-EUA (1930-1950)",Thiago da Costa Lopes,"R$ 54,00","R$ 27,00"
"Entre o Brasil e os Estados Unidos: intelectuais, ideias e projetos deeducação (1927-1935)",Ana Cristina S. M. Rocha,"R$ 59,00","R$ 29,50"
Entre o Segredo e a Solidão: aborto ilegal na adolescência,Wendell Ferrari,"R$ 61,00","R$ 30,50"
