"LACERDA, CARLOS","R$       5,00"
"LACERDA, CARLOS","R$       5,00"
"NABUCO, JOAQUIM","R$       5,00"
"SILVA, ELZAMIR GONZAGA","R$       5,00"
"SIMAS,PAULA","R$       5,00"
"PELIANO, JOSÉ CARLOS","R$       5,00"
"AVELLAR, HÉLIO DEALCANTARA","R$       5,00"
"AMPARO, DEISE MATOS DO","R$     44,00"
"AMPARO, DEISE MATOS DO |ALMEIDA, SANDRAFRANCESCA CONTE DE |BRASIL, KATIA TAROUQUELLAR. | CONCEIÇÃO, MARIA INÊSGANDOLFO | MARTY,FRANCOIS","R$     74,00"
"CARNEIRO, GRACIELLY EDINIZ, NORIS COSTA","R$     39,00"
"PAZ, JOSI","R$     38,00"
"LIMOEIRO, DANILO","R$     44,00"
ALEXANDRE RODRIGUES,,,,
FERREIRA,"GOELDI, EMIL AUGUST",R$,"5,00","R$2,50"
AMÉRICA LATINA EXISTE? -,,,,
COLEÇÃO DARCY VOL. 1,DARCY RIBEIRO,R$,"17,00","R$8,50"
ANALISE DE DISCURSO,,,,
CRITICA - UM METODO DE,"RESENDE,VIVIANE DE MELO |",,,
PESQUISA QUALITATIVA 1o,"Magalhães, izabel | Martins,andré",,,
REIMPRESSÃO,ricardo,R$,"65,00","R$  32,50"
ANÁLISE MUSICAL COMO,,,,
PRINCÍPIO COMPOSICIONAL,,,,
(COM CD),"CORRÊA, ANTENOR FERREIRA",R$,"77,00","R$  38,50"
ANÁLISE URBANA,"PANERAI, PHILIPPE",R$,"60,00","R$  30,00"
ANATOMIA FUNCIONAL DA,,,,
CRIANÇA: BASES,,,,
MORFOLÓGICAS PARA A,,,,
PRÁTICA PEDIÁTRICA CLÍNICA,,,,
E CIRÚRGICA,"TUBINO, PAULO",R$,"48,00","R$  24,00"
ANATOMIAS POPULARES: A,,,,
ANTROPOLOGIA MÉDICA DE,,,,
MARTÍN ALBERTO IBÁNEZ-,"FLEISCHER, SORAYA |",,,
NOVIÓN,"SAUTCHUK, CARLOS EMANUEL",R$,"64,00","R$  32,00"
"","ROCHA, JOÃO AUGUSTO DE",,,
ANÍSIO TEIXEIRA E A CULTURA,LIMA,R$,"53,00","R$  26,50"
ANÍSIO TEIXEIRA E SEU,"PEREIRA, EVA WAISROS",,,
LEGADO À EDUCAÇÃO DO,"(ORG.) | COUTINHO, LAURA",,,
DISTRITO FEDERAL HISTÓRIA,"MARIA | RODRIGUES, MARIA",,,
E MEMÓRIA ED. 0,ALEXANDRA MILITÃO,R$,"108,00","R$  54,00"
ANTIFEDERALISTAS: O OUTRO,,,,
LADO DO DEBATE,,,,
