Título,Autor,Preco de capa,Com Desconto
EDITORA UNIFESP,,,
A FICÇAO NA POS DITADURA,MILENA MULATTI MAGRI,"R$47,90","R$23,95"
A LEI NAS ENTRELINHAS,BEATRIZ ACCIOLY LINS,"R$42,00","R$21,00"
"A LINGUAGEM DA EXCLUSÃO E INCLUSÃOSOCIAL NA ESCOLA","Fidalgo, Sueli Salles","R$58,90","R$29,45"
A ORIGEM DOS SENTIMENTOS MORAIS,"Rée, Paul","R$37,90","R$18,95"
A SOMBRA DO MUNDO,Didier Fassin,"R$80,00","R$40,00"
"ADMINISTRAÇÃO PÚBLICA NO BRASIL -BREVE HISTÓRIA POLÍTICA","ANDREWS, CHRISTINA W. / BARIAN","R$49,00","R$24,50"
"ADOLESCÊNCIA - USO E ABUSO DE DROGAS:UMA VISÃO INTEGRATIVA","APARECIDA, DA SILVA EROY / MIC","R$110,00","R$55,00"
AFORISMOS,HIPÓCRATES,"R$20,00","R$10,00"
ÁFRICA: UM CONTINENTE NO CINEMA,"FERREIRA, CAROLIN OVERHOFF (OR","R$40,00","R$20,00"
ÁLCOOL E DIREÇÃO: BEBER OU DIRIGIR,"DUAILIBI, ILANA PINSKY SÉRGIO","R$20,00","R$5,00"
"ALEGORIA MODERNA: CRÍTICA LITERÁRIA EHISTÓRIA DA LITERATURA NA OBRA DE SÉRGIOBUARQUE DE HOLANDA","NICODEMO, THIAGO LIMA","R$59,00","R$29,50"
"AMOR, DESEJO E PODER NA ANTIGUIDADE:RELAÇÕES DE GÊNERO E REPRESENTAÇÕESDO FEMININO","FUNARI, PEDRO PAULO A. / FEITO","R$62,00","R$31,00"
ANOTANDO A CHINA,FERNANDA SOFIO,"R$96,00","R$48,00"
"ANTONIO CANDIDO E ÁNGEL RAMA.CRÍTICOS LITERÁRIOS NA IMPRENSA","Rodrigues, Joana de Fátima","R$61,90","R$30,95"
"ANTROPOLOGIA & CINEMA:PASSAGEM À IMAGEM, PASSAGEM PELA IMAGEM","Piault, Marc","R$114,90","R$57,45"
ANTROPOLOGIA DA DOR,"LE BRETON, DAVID","R$52,00","R$26,00"
"ANTROPÓLOGO E SUA BÍBLIA:ENSAIOS MISSIONÁRIOS-ETNÓGRAFOS, O","ARAÚJO, MELVINA (ORG.)","R$46,00","R$23,00"
"ANTROPOLOGO E SUA MAGIA, O","GONÇALVES DA SILVA, VAGNER","R$46,00","R$23,00"
ARQUEOLOGIA DO SUJEITO,"LIBERA, ALAIN DE","R$72,00","R$36,00"
AS LOGICAS SOCIAIS DO GOSTO,CAROLINA PULICI,"R$59,90","R$29,95"
ATLAS DE DERMATOLOGIA EM POVOS INDÍGENAS,"RODRIGUES, DOUGLAS A. / TOMIMO","R$49,00","R$24,50"
ATUALIZAÇÃO EM FISIOTERAPIA NA EMERGÊNCIA,"FAKUJIMA, MARCIA MAIUMI / FRAN","R$30,00","R$15,00"
AUSÊNCIAS INCORPORADAS,DESIRÉE DE LEMOS AZEVEDO,"R$66,00","R$33,00"
AVALIAÇÃO NOS PROCESSOS EDUCACIONAIS,"AP. SALVADOR ROSSIT, ROSANA /","R$46,00","R$23,00"
"BEBIDAS E BEBEDORES NO BRASIL HOLANDES,1624-1654",GABRIEL FERREIRA GURIAN,"R$54,90","R$27,45"
"BELEZA EXORBITANTE: REFLEXÕESSOBRE O ABUSO ESTÉTICO","GALARD, JEAN","R$40,00","R$20,00"
BERGSON OU OS DOIS SENTIDOS DA VIDA,"WORMS, FRÉDÉRIC","R$68,00","R$34,00"
BERGSON: PENSAMENTO E INVENÇÃO,"JOHANSON, IZILDA","R$32,00","R$16,00"
"BORBOLETAS E COLIBRIS EM SOBREVOO:PRESENÇA FRANCESA NAS CRÔNICASMACHADIANAS, DE","MAGRI, DIRCEU","R$65,00","R$32,50"
BRASIL EM COLAPSO,ESTHER SOLANO GALLEGO,"R$34,90","R$17,45"
CALCULO INTEGRAL GERAL,"HELLMEISTER, ANA CATARINA PONT","R$52,00","R$26,00"
"CARAVANAS DA ESCOLA PAULISTA DEMEDICINA AO ARAGUAIA E XINGU",Ana Nemi,"R$36,00","R$18,00"
CARTAS ESCOLHIDAS,"BUONARROTI, MICHELANGELO","R$46,00","R$23,00"
CARTAS SOBRE ARQUITETURA,"LUCIANO MIGLIACCIO, RAFAEL","R$40,00","R$20,00"
