EDITORA VOZES,LISTA DE LIVROS,,
"",23aFESTA DO LIVRO DA USP – 2021,,
TITULO,AUTOR,VL CAPA,VL C/ DESC.
100 ideias para ensinar filoso,John L. Taylor,"R$ 32,90","R$ 16,45"
Adeus à morte sacrificial,Meinrad Limbeck,"R$ 33,90","R$ 16,95"
Adeus à verdade,Gianni Vattimo,"R$ 39,40","R$ 19,70"
Afirmação da história como ciê,Arthur Avila,"R$ 51,10","R$ 25,55"
Afirmar-se com Nietzsche,Balthasar Thoma,"R$ 32,90","R$ 16,45"
África Bantu,Catherine Cymon,"R$ 73,00","R$ 36,50"
Agonia do Eros,Byung-Chul Han,"R$ 25,00","R$ 12,50"
Agostinho,Eduardo Antônio,"R$ 34,30","R$ 17,15"
Aguia e a galinha,Leonardo Boff,"R$ 52,90","R$ 26,45"
Além da inteligência,Louis H. Falik,"R$ 70,90","R$ 35,45"
Alfabetizar e letrar,Marlene Carvalh,"R$ 46,00","R$ 23,00"
Amar e ser amado,Pierre Weil,"R$ 60,00","R$ 30,00"
Ambiguidade da brincadeira,Brian Sutton-Sm,"R$ 108,00","R$ 54,00"
Análise de classe,Aage B. Sorense,"R$ 74,00","R$ 37,00"
Animal como símbolo nos sonhos,Helen I. Bachma,"R$ 56,00","R$ 28,00"
Anísio Teixeira,Pedro Angelo Pa,"R$ 34,30","R$ 17,15"
Anticristo (O),Friedrich Nietz,"R$ 26,00","R$ 13,00"
Antigo Testamento 1,Jean-Louis Ska,"R$ 56,80","R$ 28,40"
Antigo Testamento 2,Jean-Louis Ska,"R$ 56,80","R$ 28,40"
Antropologia - Guia do,Stanley R. Barr,"R$ 104,00","R$ 52,00"
Antropologia - Para que serve?,Tim Ingold,"R$ 33,00","R$ 16,50"
Antropologia - Prática,Michael Herzfel,"R$ 135,00","R$ 67,50"
Antropologia cultural - Uma,Andrew J. Strat,"R$ 200,00","R$ 100,00"
Antropologia das emoções,David Le Breton,"R$ 93,80","R$ 46,90"
Antropologia do corpo,David Le Breton,"R$ 82,10","R$ 41,05"
Antropologia do tempo,Alfred Gell,"R$ 108,00","R$ 54,00"
Antropologia dos sentidos,David Le Breton,"R$ 129,00","R$ 64,50"
Antropologia e/como educação,Tim Ingold,"R$ 40,00","R$ 20,00"
Antropologia teológica,Alfonso García,"R$ 49,70","R$ 24,85"
Antropólogo e o mundo global,Marc Auge,"R$ 43,00","R$ 21,50"
Aos pés do Mestre,Isidoro Mazzaro,"R$ 30,00","R$ 15,00"
Após a crise,Alain Touraine,"R$ 68,10","R$ 34,05"
Aprendizagem autorregulada,Evely Boruchovi,"R$ 49,70","R$ 24,85"
"Aprendizagem, currículo e polí",Ivor F. Goodson,"R$ 100,00","R$ 50,00"
