1001 HISTÓRIAS,LILA PRAP,"R$ 52,00","R$ 26,00"
2083,VICENTE MUÑOZ PUELLES,"R$ 59,50","R$ 29,75"
60 CONTOS DIMINUTOS,MARILIA PIRILLO,"R$ 54,00","R$ 27,00"
A AMAZÔNIA,RUBENS MATUCK,"R$ 49,50","R$ 24,75"
A ARARAJUBA,RUBENS MATUCK,"R$ 48,00","R$ 24,00"
A BALEIA CORCUNDA,RUBENS MATUCK,"R$ 48,00","R$ 24,00"
A CAATINGA,RUBENS MATUCK,"R$ 49,50","R$ 24,75"
A CAMISA AMARELA DA SELEÇÃO BRASILEIRA,MIRIAM CHINALLI  / GILSON YOSHIOKA,"R$ 49,50","R$ 24,75"
A CANÇÃO DE MONALISA,HELENA GOMES,"R$ 59,50","R$ 29,75"
A COPA DO MUNDO DO FAZ-DE-CONTA,CESAR CARDOSO,"R$ 52,00","R$ 26,00"
A IDEIA QUE SE ESQUECIA,JORGE MIGUEL MARINHO,"R$ 49,50","R$ 24,75"
A ILHA DE BOWEN,CÉSAR MALLORQUÍ,"R$ 59,50","R$ 29,75"
A INVENÇÃO DA PIPOCA,CLAUDIA CAMARA,"R$ 49,50","R$ 24,75"
"A MAGIA DAS CONVERSAS, TECENDO A VIDA",SERGIO BARRETO,"R$ 49,50","R$ 24,75"
A MALDIÇÃO DO OLHAR,JORGE MIGUEL MARINHO,"R$ 52,00","R$ 26,00"
A MÁQUINA DAS ESTAÇÕES,FRAN NUÑO,"R$ 52,00","R$ 26,00"
A MARAVILHOSA JORNADA DOS PERUANOS CABELUDOS,ROBERT INGPEN,"R$ 62,00","R$ 31,00"
A MATA ATLÂNTICA,RUBENS MATUCK,"R$ 49,50","R$ 24,75"
A MEDIAÇÃO DO CONFLITO ESCOLAR,ALVARO CHRISPINO / RAQUEL CHRISPINO,"R$ 55,00","R$ 27,50"
A MENINA BONITA,CRISTINA VON,"R$ 44,00","R$ 22,00"
A MENINA FEIA,CRISTINA VON,"R$ 44,00","R$ 22,00"
A MENINA QUE NÃO QUERIA SER TOP MODEL,LIA ZATZ,"R$ 59,50","R$ 29,75"
A MENINA QUE SONHAVA COM OS PÉS,CHRISTIAN DAVID,"R$ 49,50","R$ 24,75"
A PANQUECA DE NINA,YIN CHIEN,"R$ 48,00","R$ 24,00"
A PEIXINHA INA E O SOL,PRZEMYSLAWWECHTEROWIXCZ,"R$ 49,50","R$ 24,75"
A PRAIA DOS INÚTEIS,ALEX NOGUÉS,"R$ 52,00","R$ 26,00"
A PROMESSA SECRETA,CRISTINA CRENGUTA DOCAN,"R$ 49,50","R$ 24,75"
A TATUAGEM - RECONTO DO POVO LUO (BROCHURA),ROGÉRIO ANDRADE BARBOSA,"R$ 52,00","R$ 26,00"
A TATUAGEM - RECONTO DO POVO LUO (CAPA DURA),ROGÉRIO ANDRADE BARBOSA,"R$ 62,00","R$ 31,00"
A ÚLTIMA CARTA,DAVID LABS,"R$ 59,50","R$ 29,75"
A ÚLTIMA GUERRA,LUIZ BRAS & TEREZA YAMASHITA,"R$ 59,50","R$ 29,75"
A VIDA SEM GRAÇA DE CHARLLYNHO PERUCA,GUSTAVO PIQUEIRA,"R$ 59,50","R$ 29,75"
ADIVINHA O QUE TEM DENTRO DO OVO,JORGE MIGUEL MARINHO,"R$ 49,50","R$ 24,75"
AGENTE X-99 - HISTÓRIAS VINDAS DO ESPAÇO,GIANNI RODARI,"R$ 49,50","R$ 24,75"
ÁGUAS EMENDADAS,RUBENS MATUCK,"R$ 54,00","R$ 27,00"
ALICE VIAJA NAS HISTÓRIAS,GIANNI RODARI,"R$ 49,50","R$ 24,75"
AMONCA - ASSOCIAÇÃO DE MONSTROS CASEIROS,ALEXANDRE DE CASTRO GOMES,"R$ 54,00","R$ 27,00"
ANTONIO DESCOBRE VEREDAS,DEBORAH GOLDEMBERG,"R$ 49,50","R$ 24,75"
ANÚNCIOS AMOROSOS DOS BICHOS,ALMIR CORREIA,"R$ 49,50","R$ 24,75"
ANÚNCIOS CARENTES DE BICHOS ABANDONADOS POR GENTE,ALMIR CORREIA,"R$ 49,50","R$ 24,75"
AQUALTUNE E AS HISTÓRIAS DA ÁFRICA,ANA CRISTINA MASSA,"R$ 59,50","R$ 29,75"
"ARMANDA, A GULOSA",JULIE HAUSLER,"R$ 49,50","R$ 24,75"
AS ARANHAS-ZUMBIS E A NOITE DE NATAL,LUIZ ANTONIO AGUIAR,"R$ 52,00","R$ 26,00"
AS AVENTURAS DE SARGENTO VERDE,HELENA GOMES,"R$ 58,00","R$ 29,00"
AS AVENTURAS DO PRÍNCIPE REIZINHO E CONTOS ENCANTADOS  DA PRINCESA TUDO-ROSA,LUIZ ANTONIO AGUIAR,"R$ 49,50","R$ 24,75"
AS HISTÓRIAS INCRÍVEIS DO SENHOR SERAFIM,BRIGITTE MINNE,"R$ 49,50","R$ 24,75"
AS LÁGRIMAS DE SHIVA,CÉSAR MALLORQUÍ,"R$ 59,50","R$ 29,75"
AS LUAS DE VINDOR,CAIO RITER,"R$ 59,50","R$ 29,75"
AS QUATRO LINHAS,DENIS WINSTON BRUM,"R$ 54,00","R$ 27,00"
ATÉ OS DEUSES AMAM FUTEBOL,HEINZ JANISCH,"R$ 52,00","R$ 26,00"
AUDAZ COMO UM URSO,RAQUEL M. BARTHE,"R$ 54,00","R$ 27,00"
AULA DE LEITURA COM MONTEIRO LOBATO,SOCORRO ACIOLI,"R$ 65,00","R$ 32,50"
BABUXA,ALMIR CORREIA,"R$ 49,50","R$ 24,75"
BARATINADA,MARILIA PIRILLO,"R$ 59,50","R$ 29,75"
BATENDO À PORTA DO CÉU,JORDI SIERRA I FABRA,"R$ 62,00","R$ 31,00"
BELELÉU NÃO CAIU DO CÉU,ALMIR CORREIA,"R$ 49,50","R$ 24,75"
BICHOLIQUES,TATIANA BELINKY,"R$ 52,00","R$ 26,00"
BOJABI - A ÁRVORE MÁGICA (CAPA DURA),DIANNE HOFMEYR,"R$ 59,50","R$ 29,75"
BRINCADEIRAS NO QUARTO - NOITE ENCANTADA,ADRIANO MESSIAS,"R$ 48,00","R$ 24,00"
BRINCOS DE OURO E SENTIMENTOS PINGENTES,LUIZ ANTONIO AGUIAR,"R$ 59,50","R$ 29,75"
"BRUXAS, BEIJOS E OUTROS ENCANTOS",LUIZ ANTONIO AGUIAR,"R$ 52,00","R$ 26,00"
CADÊ A ESCOLA QUE ESTAVA AQUI?,CESAR CARDOSO,"R$ 49,50","R$ 24,75"
CAIXINHA DE GUARDAR O TEMPO (BROCHURA),ALESSANDRA ROSCOE,"R$ 49,50","R$ 24,75"
CANTOS PARA MEUS NETOS - POEMAS DE VICTOR HUGO,VICTOR HUGO,"R$ 55,00","R$ 27,50"
