""
"",AUTOR,"preço decapa","preço comdesocnto"
A ALFABETIZACAO SOB O ENFOQUE HISTORICO-CRITICO: C,MEIRE DANGIO & LIGIA MART,"NS69,00","34,50"
A CAMINHO DE UMA PEDAGOGIA HERMENEUTICA,HANS-GEORG FLICKINGER,"19,90","9,95"
A CONSTITUICAO BRASILEIRA DE 1988 E AS POLITICAS,HELDER F. ISAYAMA E LUCIA,"O SILV5A9,00","29,50"
A CRIATIVIDADE NA ARTE E NA EDUCACAO ESCOLAR,MARIA CLAUDIA DA SILVA SA,"COMAN64I ,00","32,00"
A EDUCACAO CIDADA NA VISAO EMPRESARIAL: O TELECURS,CELSO DO PRADO FERRAZ D,"CARVA19L,H9O0","9,95"
A EDUCACAO DO DEFICIENTE NO BRASIL,GILBERTA JANNUZZI,"59,00","29,50"
A EDUCACAO E A ILUSAO LIBERAL: ORIGENS DA ESC. PUB,CASEMIRO DOS REIS FILHO,"59,00","29,50"
A ENTREVISTA NA PESQUISA EM EDUCACAO 4,HELOISA SZYMANSKI (ORG.),"34,00","17,00"
A FORMACAO SOCIAL DA PERSONALIDADE - 2 ED,LIGIA MARCIA MARTINS,"49,00","24,50"
A GAROTA QUE PODIA VOAR,VICTORIA FORESTER,"10,00","5,00"
A HISTORIA NAO OS ABSOLVERA NEM A GEOGRAFIA,JOSE ELI DA VEIGA,"19,90","9,95"
A IMPLANTACAO OFICIAL DA PEDAGOGIA HIST.,ALEXANDRA VANESSA M. BA,"ZINSKI19,90","9,95"
A INDIVIDUALIDADE PARA SI - EDICAO COMEMORATIVA,NEWTON  DUARTE,"69,00","34,50"
A ORGANIZACAO DO TRABALHO DIDATICO NA HIST. DA EDU,"LOMBARDI, SAVIANI E OUTO","54,00","27,00"
"A PEDAGOGIA HISTORICO-CRITICA, AS POLITICAS BNCC","PAULINO ORSO, JULIA MALA","CHEN E5 9N,E00I","E S.29,50"
A PEDAGOGIA NO BRASIL HISTORIA E TEORIA 3 ED.,DERMEVAL SAVIANI,"59,00","29,50"
A QUESTAO DA REFERENCIA,SILVIA HELENA BARBI GARD,"SO19,90","9,95"
A SOLIDARIEDADE ANTIFASCISTA,THAIS BATTIBUGLI,"59,00","29,50"
A TRANSFORMACAO DA BRUXA,NATO MATOS,"10,00","5,00"
A VALORACAO NAS CIENCIAS HUMANAS,"MARCUS, ANA RAQUEL E ERI","A19,90","9,95"
ABECEDARIO DOS BICHOS QUE EXISTEM E NAO EXISTEM,CARLOS RODRIGUES BRAND,"O19,00","9,50"
ABERTURAS PARA A HISTORIA DA EDUCACAO,DERMEVAL SAVIANI,"19,90","9,95"
ADMINISTRACAO DA EDUCACAO NO BRASIL,BENNO SANDER,"29,00","14,50"
ALFABETIZACAO:POLITICAS MUNDIAIS E MOVIMENTOS,CLAUDIA MARIA MENDES GO,"TIJO19,90","9,95"
"AMAZONIA, ESTADO E SOCIEDADE",VANESSA FLEISCHFRESSER,"19,90","9,95"
AMBIENCIA DIALOGOS FREIRIANOS E FORMACAO DOCENTE,ADRIANO NOGUEIRA,"30,00","15,00"
ANALISE DE CONTEUDO VOLUME 6 - 5 ED,MARIA LAURA P. B. FRANCO,"34,00","17,00"
ANJO DE PAPEL (T),RAFAEL CURCI,"10,00","5,00"
APRENDENDO COM CRIATIVIDADE,MARIA LUIZA KRAEMER,"19,90","9,95"
APRENDER BEM / MAL,PEDRO DEMO,"19,90","9,95"
APRENDER PELA VIDA COTIDIANA (T),GILLES BROUGERE/ANNE-LI,"E ULMA1N9N,9 O0","GS.9,95"
ARQUITETURA EM SUSPENSAO (T),ALEX MIYOSHI,"19,90","9,95"
"ARTE, CONHECIMENTO  E PAIXAO NA FORMACAO HUMANA",NEWTON DUARTE E SANDRA,"FONTE19,90","9,95"
AS PERSPECTIVAS CONSTRUTIVISTA E HISTORICO-CRITICA,LIGIA MARTINS & ANA CARO,"INA MAR3S4,I0G0","IA17,00"
AS REFORMAS DO ENSINO SUPERIOR NO BRASIL,LALO WATANABE MINTO,"19,90","9,95"
AS ROUPAS NAS PRATICAS CORPORAIS E ESPORTIVAS (T),CARMEN LUCIA SOARES,"19,90","9,95"
AURORA DA VIDA,MARIA APARECIDA MOTTA,"19,90","9,95"
AVALIACAO EM LARGA ESCALA: QUESTOES POLEMICAS,FLAVIA OBINO CORREA WER,"E35,00","17,50"
AVALIACAO QUALITATIVA - 11 ED,PEDRO DEMO,"10,00","5,00"
CADE A SINDROME DE DOWN QUE ESTAVA AQUI?(T),ELIZABETH TUNES E L. DANE,"Y PIAN1T9IN,9O0","9,95"
"CIBERCULTURA, FORMACAO E ATUACAO DOCENTE EM REDE",MARGARITA VICTORIA RODR,"GUES29,00","14,50"
CIENCIAS SOCIAIS NO BRASIL,HELGIO TRINDADE,"40,00","20,00"
"CIENTISTAS, JORNALISTAS E A DIVULGACAO CIENTIFICA",LILIAN MARCIA SIMOES ZAM,"ONI19,90","9,95"
CIRCO: HORIZONTES EDUCATIVOS,"MARCO BORTOLETO, TERES","E HER1M9I,N9I0","9,95"
CONHECIMENTO ESCOLAR E LUTA DE CLASSES,DERMEVAL SAVIANI & NEWT,"N DUAR8T9,E00","44,50"
CORPO A CORPO COM O TEXTO NA FORMACAO DO LEITOR,ELIANA KEFALAS,"19,90","9,95"
CORPO E HISTORIA,CARMEN LUCIA  SOARES,"54,00","27,00"
CRITICA AO FETICHISMO DA INDIVIDUALIDADE (T),NEWTON  DUARTE (ORG),"59,00","29,50"
"CULTURA, CONHECIMENTO E CURRICULO",JULIA MALANCHEN,"59,00","29,50"
DA LDB (1996) AO NOVO PNE (2014-2024),DERMEVAL SAVIANI,"89,00","44,50"
DAS PESQUISAS COM CRIANCAS 2 ED.,ALTINO FILHO E PATRICIA P,"ADO59,00","29,50"
DE REPENTE E QUASE AGORA (T),CARLOS RODRIGUES BRAND,"O19,90","9,95"
DESCOBRIR BRINCANDO,TERE MAJEM E PEPA ODENA,"34,00","17,00"
DIARIO DO ACOLHIMENTO NA ESCOLA DA INFANCIA,GIANFRANCO STACCIOLI,"59,00","29,50"
DIDATICA DE CIENCIAS NATURAIS   2 EDICAO,ANTONIO C. HIDALGO GERAL,"O49,00","24,50"
DO PRINCIPIO DA ARTE E DE SUA DESTINACAO SOCIAL,P.J.PROUDHON,"19,90","9,95"
DONALD W. WINNICOTT : UMA NOVA ABORDAGEM,LAURA DETHIVILLE,"19,90","9,95"
E.A.D E GESTORES ESCOLARES:SUBSIDIOS PARA AVALIACA,GILBERTO LACERDA SANTO,"29,00","14,50"
