TÍTULO,AUTOR (A),,PREÇO CAPA,,PREÇO COM DESCONTO
A Quantas anda a inclusão?,ANA IRENE ALVES DE OLIVEIRA,,"R$30,00",R$,"21,00"
ABC do Santo Daime,MARIA BETÂNIA ALBUQUERQUE,,"R$15,00",R$,"10,50"
A produção do conhecimento nos,,,,,
contextos indígenas diálogos,,,,,
interculturais para o ensino em ciências,JOELMA CRISTINA  ALENCAR,,"R$40,00",R$,"28,00"
A produção do conhecimento nos,,,,,
contextos indígenas diálogos,,,,,
interculturais para o ensino em,JOELMA CRISTINA  ALENCAR,,"R$40,00",R$,"28,00"
A produção do conhecimento nos,,,,,
contextos indígenas diálogos,,,,,
interculturais para o ensino em ciências,JOELMA CRISTINA  ALENCAR,,"R$40,00",R$,"28,00"
Calculadora,PEDRO FRANCO DE SÁ,,"R$30,00",R$,"21,00"
Caminhos da inclusão,ANA IRENE ALVES DE OLIVEIRA,,"R$30,00",R$,"21,00"
Cartografias Ribeirinhas,IVANILDE APOLUCENO DE OLIVEIRA,,"R$25,00",R$,"17,50"
Cenas da vida Amazônica,JOSÉ VERÍSSIMO,,"R$30,00",R$,"21,00"
"",MIRIAN ROSA PEREIRA  MARIA,,,,
"",JOSÈ COSTA FARIA  RENATA,,,,
Dicionário de Biologia em pontos,FERREIRA PANTOJA,,"R$28,00",R$,"19,60"
Evangélicos e Pentecostais: além de suas,,,,,
fronteiras na América Latina,DARIO PAULO BARRERA RIVERA,,"R$40,00",R$,"28,00"
Educação e ciências Saberes,ALTEM NASCIMENTO PONTES,,,,
interdisciplinares,ALDO PONTESD,,"R$25,00",R$,"17,50"
Educação e Instrução pública no Pará ImperiSaÔl eN IRAe pMuAbRliIcAa nDoA SILVA ARAÚJO,,,"R$30,00",R$,"21,00"
"",HELLEN DO SOCORRO DE ARAÚJO,,,,
"",SILVAROSÂNGELA CRUZ DA SILVA,,,,
Epistemologia e educação múltiplos olhares,SALGADO,,"R$25,00",R$,"17,50"
Interfaces Terapia Ocupacional com Teoria e APNesAq IuRiEsaN dE oA CLVoEmSp DoErt OamLIeVnEtIRoA,,,"R$30,00",R$,"21,00"
Inovação Tecnológica e Inclusão Social,ANA IRENE ALVES DE OLIVEIRA,,"R$30,00",R$,"21,00"
Memória de Mestre,JOSEBEL AKEL FARES,,"R$40,00",R$,"28,00"
Manual de semiologia médica,Gilberto Yoshikawa,,"R$93,00",R$,"65,00"
Modelagem matemática no ensino de funções,PEDRO FRANCO DE SÁ,,"R$30,00",R$,"21,00"
No tempo das freiras,MARIA BETÂNIA ALBUQUERQUE,,"R$30,00",R$,"21,00"
O estágio na formação do pedagogo,WILLAME DE OLIVEIRA RIBEIRO,,"R$25,00",R$,"17,50"
Pesquisa e Educação na Amazônia ReflexõesS eÔpNisItAe mMoAlRóIgAic DasA  eS IpLoVlAít iAcaRsAÚJO,,,"R$40,00",R$,"28,00"
Pesquisa em Saúde e Educação na Amazônia ANA IRENE ALVES DE OLIVEIRA,,,"R$40,00",R$,"28,00"
Primeira Manhã,DALCIDIO JURANDIR,,"R$30,00",R$,"21,00"
Religião e Cultura Visual no Brasil,KÁTIA MARLY LEITE MENDONÇA,,"R$45,00",R$,"31,50"
Saberes de Vaqueiros,JOSEBEL AKEL FARES,,"R$40,00",R$,"28,00"
Sabenças do Padrinho,MARIA BETÂNIA ALBUQUERQUE,,"R$ 60,00",R$,"42,00"
