"PreçoPreçoTítuloAutorPromocionalCapa50%",,,
10/3 = 3/Cabral,"BAGOLIN, Luiz Armando","96,00","48,00"
1914: Mil Novecentos e Catorze,"CANFORA, Luciano","40,00","20,00"
"22 por 22: A Semana de Arte Moderna Vista pelos SeusContemporâneos","BOAVENTURA, MariaEugenia","70,00","35,00"
"30 Anos de Fuvest: A História do Vestibular da Universidade de SãoPaulo, 1976-2006","SAMARA, Eni deMesquita","43,00","21,50"
"40 Anos da Fundação Ford no Brasil, Os: Uma Parceria para a Mudanç","B SRoOciOalKE, Nigel","80,00","40,00"
50 Anos da Lei Fundamental,"CARNEIRO, José MárioBrasiliense","32,00","16,00"
"50 Anos de Feminismo: Argentina, Brasil e Chile. A Construção dasMulheres como Atores Políticos e Democráticos","BLAY, Eva Alterman","46,00","23,00"
500 Anos de Engenharia no Brasil,"MORAES, José CarlosT.B.","220,00","110,00"
À Margem dos 500 Anos: Reflexões Irreverentes,"PRADO, Maria LigiaCoelho","56,00","28,00"
"Abençoado & Danado do Samba: Um Estudo Sobre o DiscursoPopular","AZEVEDO, Ricardo","96,00","48,00"
"Ação; Reação; Transação: Duas Palavras acerca da Atualidade Políticado Brasil (1855)","ROCHA, Justiniano Joséda","38,00","19,00"
"Acaso Criador, O: O Poder Criativo do Acaso","LESTIENNE, Rémy","51,00","25,50"
Adaptabilidade Humana: Uma Introdução à Antropologia Ecológica,"MORAN, Emilio F.","80,00","40,00"
"Adivinhação na Antiga Costa dos Escravos, A","MAUPOIL, Bernard","140,00","70,00"
Administração do Trabalho Policial: Questões e Análises,"GREENE, Jack R.","43,00","21,50"
"Adolescente e a Internet, O: Laços e Embaraços no Mundo Virtual","PRIOSTE, Cláudia","40,00","20,00"
África Desconhecida: Uma Introdução à sua Arqueologia,"CONNAH, Graham","53,00","26,50"
África Lusófona: Além da Independência,"ARENAS, Fernando","60,00","30,00"
Agroenergy and Sustainability,"D'ARCE, MarisaAparecida Bismara","39,00","19,50"
Agudezas Seiscentistas e Outros Ensaios,"HANSEN, João Adolfo","60,00","30,00"
"Alceu Amoroso Lima: Cultura, Religião e Vida Literária","RODRIGUES, LeandroGarcia","42,00","21,00"
Aldo Bonadei: Percursos Estéticos,"GONÇALVES, LisbethRebollo","120,00","60,00"
"Alegria e Felicidade: A Experiência do Processo Liberador emEspinosa","PAULA, Marcos Ferreirade","46,00","23,00"
"Além do Visível: Poder, Catolicismo e Comércio no Congo e emAngola (Séculos XVI e XVII)","SOUZA, Marina de Melloe","48,00","24,00"
Alex Flemming,"BARBOSA, Ana Mae","92,00","46,00"
Alex Flemming: Obra Gráfica 1978-1987,"LAUDANNA, Mayra","95,00","47,50"
"Alinhamento sem Recompensa, O: A Política Externa do GovernoDutra","MOURA, Gerson","30,00","15,00"
"Alkaline Magmatism in Central-Eastern Paraguay: Relationships withCoeval Magmatism in Brazil","COMIN-CHIARAMONTI,Piero","71,00","35,50"
Almanaque O Cavaleiro Azul (Der Blaue Reiter),"KANDINSKY, Wassily","170,00","85,00"
Almanhaque 1955: Segundo Semestre ou  Almanhaque d A Manha,"TORELLY, Aparício","74,00","37,00"
"Almanhaque para 1949: Primeiro Semestre, ou  Almanhaque d A Man","IaTARARÉ, Barão de","75,00","37,50"
Amazônia: Natureza e Sociedade em Transformação,"BATISTELLA, Mateus","51,00","25,50"
"Ambiente Oceanográfico da Plataforma Continental e do Talude naRegião Sudeste-Sul do Brasil, O","ROSSI-WONGTSCHOWSKI,","88,00","44,00"
"América Latina no Mundo, A: Desenvolvimento Regional eGovernança Internacional","LAGOS, Ricardo","42,00","21,00"
"América Latina no Século XIX: Tramas, Telas e Textos","PRADO, Maria LigiaCoelho","58,00","29,00"
