A Anarquia explicada aos nossos filhos,José Antonio Emmanuel; Rodrigo Visca (illustrador); Paulo Verano (tradutor),"R$  25,00","R$  12,50"
A história de Pedro Coelho,Beatrix Potter (textos e ilustrações); Rosana Rios (tradutora),"R$  30,00","R$  15,00"
A história do esquilo Nutkin,Beatrix Potter (textos e ilustrações); Elza Mendes (tradutora),"R$  30,00","R$  15,00"
A história do senhor Jeremias,Beatrix Potter (textos e ilustrações); Lalau (tradutor),"R$  30,00","R$  15,00"
A história dos dois ratinhos travessos,Beatrix Potter (textos e ilustrações); Janaina Tokitaka (tradutora),"R$  30,00","R$  15,00"
A margem,Guy de Maupassant; Leila de Aguiar Costa (tradutora),"R$  30,00","R$  15,00"
A nave vai,Jorge Du Peixe; Rodrigo Visca (ilulstrador),"R$  48,00","R$  24,00"
Abebe Bikila e os pés de vento,Erika Astronauta (textos e ilustrações),"R$  40,00","R$  20,00"
Caderno alado: a passarada do Infinito em prosa e verso,Cristina Porto (textos e colagens) e Ricardo Costa (ilustrações),"R$  38,00","R$  19,00"
É hoje!,Liliana Pardini (textos e ilustrações),"R$  40,00","R$  20,00"
Era uma vez en la Fronteira Selvagem,Douglas Diegues (textos) e Ricardo Costa (ilustrações),"R$  40,00","R$  20,00"
Era uma vez outra vez,Edith Chacon (textos) e Priscilla Ballarin (ilustrações),"R$  38,00","R$  19,00"
Invictus,William Ernest Henley (textos); Eduardo Ver (ilustrações) e Ana Rüsche (tradutora),"R$  48,00","R$  24,00"
Manaus,Irena Freitas (textos e ilustrações),"R$  40,00","R$  20,00"
Memórias de uma girafa,Clarice Verano e Paulo Verano (textos) e Kevelyn Oliveira (ilustrações),"R$  30,00","R$  15,00"
Milhões de gatos,Wanda  Gág (textos e ilustrações); Nathalia Matsumoto (tradutora),"R$  40,00","R$  20,00"
Ordem,Leusa Araujo,"R$  35,00","R$  17,50"
Os cavalos de Patti,Pato Segovia (textos e ilustrações; Paulo Verano (tradutor),"R$  52,00","R$  26,00"
Punk,Antonio Bivar; Kiko Dinucci (posfácio e ilustrações),"R$  40,00","R$  20,00"
Tatá,Fran Matsumoto (textos e ilustrações),"R$  40,00","R$  20,00"
