O Estado Cultural,Marc Fumaroli,"R$   109,90","R$          54,00"
Gerar Deus,Massimo Cacciari,"R$      49,90","R$           24,90"
Notas para um naufrágio,Davide Enia,"R$     59,90","R$           29,95"
Discurso sobre a dignidade do homem,Pico della Mirandola,"R$     49,90","R$           24,90"
Os amensicos,Géraldine Schwarz,"R$      99,90","R$           49,90"
Marranos - o outro do outro,Donatella Di Cesare,"R$      49,90","R$          24,90"
Edmund Burke - A virtude da consistência,João Pereira Coutinho,"R$ 45,00","R$ 22,50"
Um antídoto contra a solidão,David Foster Wallace,"R$     99,90","R$          49,90"
Por que começo do fim,Ginevra Lamberti,"R$      64,90","R$          32,45"
Em defesa do fervor,Adam Zagajewski,"R$      49,90","R$           24,95"
As novas faces do facismo,Enzo Traverso,"R$      79,90","R$          39,90"
A matemática é política,Chiara Valerio,"R$     59,90","R$           29,95"
Quando a casa queima,Giorgio Agamben,"R$     49,90","R$          24,90"
Homo Poeticus,Danilo Kis,"R$      99,90","R$          49,95"
O deus da carnificina,Yasmina Reza,"R$      49,90","R$          24,95"
Japão - The Passenger,varios,"R$      99,90","R$          49,90"
A piada judaica,Devorah Baum,"R$      64,90","R$          32,45"
Diagnóstico e destino,Vittorio Lingiardi,"R$     69,90","R$          34,95"
Soviestistão,Erika Fatland,"R$   109,90","R$          54,95"
A voz da educação liberal,Michael Oakeshott,"R$      79,90","R$          39,95"
Ensaios sobre o sensivel,Vinicius Nicastro,"R$      99,90","R$           49,90"
Studiolo,Giorgio Agamben,"R$     89,90","R$           44,95"
O artista improdutivo,Laura Erber,"R$      89,90","R$           44,95"
Labirinto filosófico,Massimo Cacciari,"R$     99,90","R$          49,90"
Contra o mundo moderno,Mark Sedgwick,"R$   119,90","R$           59,95"
Inverno em Sokcho,Elisa Shua Dusapin,"R$     59,90","R$           29,95"
Licoes de felicidade,Ilaria Gasparo,"R$      64,90","R$           32,45"
Estrangeiros residentes,Donatella Di Cesare,"R$      89,90","R$          44,95"
O liberalisamo em retirada,Edward Luce,"R$     59,90","R$          29,95"
A língua de trump,Berengere Viennot,"R$      54,90","R$          27,45"
Onde você vai encontrar um outro pai como o meu,Rossana Campo,"R$      64,90","R$           32,45"
Ancestral,Goliarda Sapienza,"R$     79,90","R$           39,95"
Onde foram parar os intelctuais,Enzo Traverso,"R$     54,90","R$          27,45"
Retorno a reims,Didier Eribon,"R$      89,90","R$           44,95"
Reflexoes sobre as causas da liberdade e da opressão social,Simone Weil,"R$     59,90","R$           29,95"
