"",,PREÇO DE CAPA,"PREÇO COMDESCONTO"
100 Anos da Revolução Russa-legados e lições,Adalberto Monteiro Et Alli,"R$              45,00","R$                22,50"
1932 - A história invertida,Francisco Quartim de Moraes,"R$              40,00","R$                20,00"
"Jornal a Classe Operária - Aspectos da história, opinião econtribuição do jornal comunista na vida nacional",Apolinário Rebelo,"R$              20,00","R$                10,00"
A educação revolucionária do comunista,Diógenes Arruda,"R$              15,00","R$                   7,50"
A Era Collor - da Eleição ao Impeachment,Rodrigo de Carvalho,"R$              38,00","R$                19,00"
"A Formação profissional negociada - França e Brasil, anos 90",Fernando Fidalgo,"R$              30,00","R$                15,00"
"A Grande Crise Capitalista Global 2007-2013: gênese,conexões e tendências","Org. Aloísio Sérgio Barrroso eRenildo Souza","R$              58,00","R$                29,00"
A Revolta Camponesa de Formoso e Trombas,"Maria Esperança FernandesCarneiro","R$              30,00","R$                15,00"
"A Revolução Bipolar - A gênese e derrocada do socialismosoviético",Luis Fernandes,"R$              40,00","R$                20,00"
A serpente sem casca,Roberto Amaral,"R$              25,00","R$                12,50"
"A Viagem Interrompida - A aventura comunista na SantoAndré da década de 1940",Eduardo Luiz Correia,"R$              25,00","R$                12,50"
Agrarismo e Industrialismo,Octavio Brandão,"R$              30,00","R$                15,00"
Alma em Fogo - Memórias de um militante político,Aldo Arantes,"R$              40,00","R$                20,00"
"Araguaia - depois da guerrilha, outra guerra","Romualdo Pessoa CamposFilho","R$              48,00","R$                24,00"
Araguaia - Relato de um guerrilheiro,Glênio Sá,R$,"18,00",R$,"9,00"
Araguaianas - As histórias que não podem ser esquecidas,Paulo Fonteles Filho,R$,"40,00",R$,"20,00"
As delícias do amargo,Adalberto Monteiro,R$,"22,00",R$,"11,00"
As moças de Minas,Luiz Manfredini,R$,"44,90",R$,"22,45"
"Aurélio Peres - Vida, fé e luta",Osvaldo Bertolino,R$,"55,00",R$,"27,50"
"AYAR, A LENDA DOS INKAS",Oscar Barriga,R$,"50,00",R$,"25,00"
Biografia da nação: História e luta de classes,José Carlos Ruy,R$,"35,00",R$,"17,50"
CADARÇOS BRANCOS entre o sonho e a barbárie - 2a edição,David Veja,R$,"39,00",R$,"19,50"
Caminhos da liberdade no jovem Marx,Júlia Lemos Vieira,R$,"49,00",R$,"24,50"
Capitalismo Contemporâneo e a Nova Luta pelo Socialismo,Renato Rabelo Et Alli,R$,"19,00",R$,"9,50"
"China: Socialismo e desenvolvimento, sete décadas depois",Elias Jabbour,R$,"52,00",R$,"26,00"
Cidades Democráticas - A experiência do PCdoB e da,,,,,
"",Nádia Campeão,R$,"20,00",R$,"10,00"
esquerda em prefeituras (1985-2018),,,,,
"",Org. Adalberto Monteiro e,,,,
Ciência & Tecnologia para o desenvolvimento nacional,,R$,"15,00",R$,"7,50"
"",Fábio Palácio,,,,
"",CELSO LUIZ PRUDENTE e,,,,
A dimensão pedagógica do Cinema negro,,R$,"45,00",R$,"22,50"
"",DACIRLENE CÉLIA SILVA,,,,
Com ciência & política,Luciano Rezende Moreira,R$,"20,00",R$,"10,00"
COMUNA DE PARIS - O proletariado toma o céu de assalto,,,,,
"",Silvio Costa,R$,"49,00",R$,"24,50"
3a edição,,,,,
Comunicação e Trabalho,Roseli A. Fígaro Paulino,R$,"20,00",R$,"10,00"
Concepções e Formação do Estado Brasileiro 2a edição,Org. Silvio Costa,R$,"20,00",R$,"10,00"
CONDORITO,Pepo,R$,"35,00",R$,"17,50"
Contribuição à Historia do Partido Comunista do Brasil - 1a,Org. José Carlos Ruy e Augusto,,,,
"",,R$,"34,00",R$,"17,00"
edição,Buonicore,,,,
Contribuição à Historia do Partido Comunista do Brasil - 2a,Org. José Carlos Ruy e Augusto,,,,
"",,R$,"40,00",R$,"20,00"
edição,Buonicore,,,,
Coração Vermelho - A vida de Elza Monnerat,Verônica Bertcht,R$,"30,00",R$,"15,00"
"",Org. Renato Rabelo e Ricardo,,,,
Desafios da nova luta pelo Socialismo,,R$,"10,00",R$,"5,00"
"",Alemão Abreu,,,,
Desenvolvimento (Sustentável) no Brasil de Lula: Uma,,,,,
"",Maria Beatriz Oliveira da Silva,R$,"22,00",R$,"11,00"
abordagem jurídico-ambiental,,,,,
"",Org. Aloísio Sérgio Barrroso e,,,,
Desenvolvimento: Ideias para um Projeto Nacional,,R$,"30,00",R$,"15,00"
"",Renildo Souza,,,,
Dialética Radical do Brasil Negro,Clóvis Moura,R$,"56,00",R$,"28,00"
Direitos negados,Renata Mielli,R$,"30,00",R$,"15,00"
ENGELS 200 ANOS - Ensaios de teoria social e política,Org. Theófilo Rodrigues,R$,"45,00",R$,"22,50"
Formação do PCB 1922 - 1928,Astrojildo Pereira,R$,"25,00",R$,"12,50"
Globalização do Capital e os Estados Nacionais,Davidson Magalhães,R$,"30,00",R$,"15,00"
Governar para um novo projeto nacional de,,,,,
"",Org. Márvia Scádua,R$,"20,00",R$,"10,00"
desenvolvimento,,,,,
"",Org. Renato Rabelo e,,,,
Governo Lula e Dilma: O Ciclo Golpeado,,R$,"35,00",R$,"17,50"
"",Adalberto Monteiro,,,,
"",Romualdo Pessoa Campos,,,,
Guerrilha do Araguaia - A Esquerda em Armas,,R$,"40,00",R$,"20,00"
"",Filho,,,,
Guerrilha do Araguaia - Uma Epopéia pela Liberdade,Vários,R$,"30,00",R$,"15,00"
"Guerrilha do Araguaia - verdades, fatos e histórias",Osvaldo Bertolino,R$,"49,90",R$,"24,95"
Ho Chi Minh: Vida e Obra do Líder da Libertação Nacional do,Ho Chi Minh / Org. Pedro de,,,,
"",,R$,"45,00",R$,"22,50"
Vietnã,Oliveira,,,,
"",Org. Osvaldo Bertolino e Cezar,,,,
Homenagem aos 90 anos da Coluna Prestes,,R$,"20,00",R$,"10,00"
"",Xavier,,,,
HQ - PINTAMONOS,Rodolfo Santullo e Leo Sandler,R$,"39,90",R$,"19,95"
Ideias e Rumos - 1a edição,Renato Rabelo,R$,"40,00",R$,"20,00"
Ideias e Rumos - 2a edição,Renato Rabelo,R$,"30,00",R$,"15,00"
IDENTIDADE E CLASSE SOCIAL,Carlos Montaño,R$,"56,00",R$,"28,00"
Islã: Esse Desconhecido - Séculos VII-XIII,Samuel Sergio Salinas,R$,"35,00",R$,"17,50"
Lênin - Presença da revolução,Org. Aloísio Sérgio Barrroso,R$,"35,00",R$,"17,50"
Lênin leitor de Marx,Gianni Fresu,R$,"45,00",R$,"22,50"
Liberalismo - Entre Civilização E Barbárie,Domenico Losurdo,R$,"38,00",R$,"19,00"
Linhas vermelhas: Marxismo e os dilemas da Revolução,Augusto César Buonicore,R$,"40,00",R$,"20,00"
LOSURDO Presença e Permanência,Org. João Quartim de Moraes,R$,"32,00",R$,"16,00"
Manifesto do Partido Comunista,Karl Marx e Friedrich Engels,R$,"20,00",R$,"10,00"
Marx como pensador,Rolf Hecker,R$,"15,00",R$,"7,50"
Maurício Grabois - Uma vida de combates,Osvaldo Bertolino,R$,"50,00",R$,"25,00"
Meio Ambiente e Desenvolvimento - Em busca de um,,,,,
"",Aldo Arantes,R$,"30,00",R$,"15,00"
compromisso,,,,,
Memória de neblina,Luiz Manfredini,R$,"40,00",R$,"20,00"
Meu Companheiro: 40 anos ao lado de Luiz Carlos Prestes,Maria Prestes,R$,"35,00",R$,"17,50"
Mirela e o Dia Internacional da Mulher,Ana Prestes,R$,"25,00",R$,"12,50"
"","Pablo Roy Leguisamo, Marcos",,,,
Morrer pelo CHE (HQ),,R$,"42,00",R$,"21,00"
"",Vergara e Caio Di Lorenzo,,,,
Mudanças Climáticas - Fundamentos Científicos e Políticos,Org. Aldo Arantes,R$,"28,00",R$,"14,00"
O golpe do capital contra o trabalho - 1a edição,Umberto Martins,R$,"25,00",R$,"12,50"
O Jornal Mutirão (1977 - 1982) - Fragmentos da memória da,,,,,
"",Benedito Bizerril,R$,"59,00",R$,"29,50"
resistência democrática popular,,,,,
"",Gey Espinheira e Fábio Guedes,,,,
O livre pensamento nos fóruns sociais,,R$,"15,00",R$,"7,50"
"",Gomes,,,,
O Quinto Movimento - Propostas para uma construção,,,,,
"",Aldo Rebelo,R$,"45,00",R$,"22,50"
inacabada,,,,,
O saneamento básico na região metropolitana de Natal,George Câmara,R$,"20,00",R$,"10,00"
O Santo de Deus,Moisés Diniz,R$,"25,00",R$,"12,50"
O Surgimento da Seção Brasileira da Internacional,,,,,
"",Dario Canale,R$,"40,00",R$,"20,00"
Comunista(1917-1928),,,,,
O vermelho é verde amarelo,Luciano Siqueira,R$,"15,00",R$,"7,50"
Os comunistas na Constituinte de 1946,José Carlos Ruy,R$,"54,00",R$,"27,00"
Os Desafios do Socialismo no Século XXI,João Amazonas,R$,"30,00",R$,"15,00"
Para garantir o Direito à Comunicação,Venício Artur de Lima,R$,"25,00",R$,"12,50"
Paulo Fonteles SEM PONTO FINAL,Ismael Machado,R$,"40,00",R$,"20,00"
PCdoB: 90 anos em defesa do Brasil (Capa dura),Adalberto Monteiro,R$,"20,00",R$,"10,00"
PCdoB: 90 anos em defesa do Brasil (Capa flexível),,,,,
"",Adalberto Monteiro,R$,"15,00",R$,"7,50"
Português,,,,,
Pé de ferro & outros poemas,Adalberto Monteiro,R$,"30,00",R$,"15,00"
Pedro Pomar - Ideias e Batalhas,Osvaldo Bertolino,R$,"55,00",R$,"27,50"
"",Org. Nilson Araújo de Souza e,,,,
PENSAMENTO NACIONAL-DESENVOLVIMENTISTA,,R$,"72,00",R$,"36,00"
"",Rosanita Monteiro de Campos,,,,
Pequena história de um século da Grande Revolução de,,,,,
"",Bernardo Joffily,R$,"25,00",R$,"12,50"
Outubro,,,,,
Poesia dos Bancários,-,R$,"20,00",R$,"10,00"
Política e Mídia - Estudos sobre a democracia e os meios de,"Org. Vera Chaia, Cláudio",,,,
"",,R$,"29,00",R$,"14,50"
comunicação no Brasil,Coelho e Rodrigo de Carvalho,,,,
Políticas Públicas - A Experiência dos Comunistas e o Novo,Osvaldo Bertolino e Fabiane,,,,
"",,R$,"20,00",R$,"10,00"
Projeto de Des.,Guimarães,,,,
Políticas Públicas para um novo projeto nacional de,,,,,
"",Org. Márvia Scádua,R$,"32,00",R$,"16,00"
desenvolvimento - A Experiência dos Comunistas,,,,,
Ponto de Cultura - O Brasil de baixo para cima,Celio Turino,R$,"35,00",R$,"17,50"
Princípios 159,Vários,R$,"30,00",R$,"15,00"
Princípios 160,Vários,R$,"50,00",R$,"25,00"
Princípios 161,Vários,R$,"30,00",R$,"15,00"
Princípios 162,Vários,R$,"30,00",R$,"15,00"
ProUni - O olhar dos estudantes beneficiários,Fabiana Costa,R$,"25,00",R$,"12,50"
"",Amaro Xavier Braga Jr. e,,,,
QUADRINHOS & EDUCAÇÃO Volume 4,,R$,"30,00",R$,"15,00"
"",Thiago Modenesi,,,,
Racismo à Brasileira - Raízes Históricas,Martiniano José da Silva,R$,"55,00",R$,"27,50"
RACISMO cotas e ações afirmativas,Mauricio Pestana,R$,"40,00",R$,"20,00"
Raul Carrion - a Luta Vale a Pena,Raul Carrion,R$,"38,00",R$,"19,00"
Rebeliões da Senzala,Clóvis Moura,R$,"64,00",R$,"32,00"
RECONSTRUIR A DEMOCRACIA,Org. Aldo Arantes,R$,"45,00",R$,"22,50"
Reforma política e novo projeto para o Brasil,Aldo Arantes,R$,"35,00",R$,"17,50"
Repensando o Marxismo,Duarte Pereira,R$,"25,00",R$,"12,50"
Rogério Lustosa - Lições da luta operária,Org. Olivia Rangel,R$,"20,00",R$,"10,00"
"",Carlos Valadares e Loreta,,,,
Semeadores de Sonhos,,R$,"10,00",R$,"5,00"
"",Valadares,,,,
"Desvendar o Brasil - suas singularidades, contradições e",,,,,
"",Vários,R$,"25,00",R$,"12,50"
potencialidades,,,,,
Sociedade dos socialistas vivos (Ensaios contra o,,,,,
"",Luis Marcos Gomes,R$,"15,00",R$,"7,50"
neoliberalismo),,,,,
Sustentabilidade: Trilhas a percorrer,Eron Bezerra,R$,"45,00",R$,"22,50"
Teatro Experimental do Negro em Goiás,Martiniano José da Silva,R$,"30,00",R$,"15,00"
Teoria das relações internacionais - contribuições marxistas,Ana Prestes e Diego Pautasso,R$,"55,00",R$,"27,50"
Trabalhadoras da FAET - Condições de trabalho e sobrecarga,,,,,
"",Ana Rocha,R$,"15,00",R$,"7,50"
doméstica,,,,,
"Transição ao Socialismo e Questão Nacional na África do Sul,",,,,,
"",Ronaldo Gomes Carmona,R$,"10,00",R$,"5,00"
na Índia e na Rússia,,,,,
UJS Amar e mudar as coisas,Org. Osvaldo Bertolino,R$,"15,00",R$,"7,50"
UMA ECONOMIA POLÍTICA DA GRANDE CRISE CAPITALISTA,,,,,
"",Aloisio Sérgio Barroso,R$,"54,00",R$,"27,00"
(2007-2017),,,,,
Uma epopéia pela liberdade: Guerrilha do Araguaia 30 anos,"João Amazonas, Luiz Carlos",,,,
"",,R$,"10,00",R$,"5,00"
(1972-2002),Antero e Eumano Silva,,,,
VIDA MILITANTE: DYNÉAS AGUIAR - Nos subterrâneos da,,,,,
"",Augusto César Buonicore,R$,"54,00",R$,"27,00"
liberdade,,,,,
"Vidas, Veredas: Paixão - Memórias da Saga Comunista",Luiz Manfredini,R$,"20,00",R$,"10,00"
Vital Nolasco - Vale a pena lutar,Vital Nolasco,R$,"35,00",R$,"17,50"
