Título,Cod.,Preço
A CASA DE CIRCE,123,"R$30,80"
A EVOLUÇÃO DA CIÊNCIA & TECNOLOGIA,183,"R$45,50"
A INVISIBILIDADE DA DOR,168,"R$28,00"
A LEI MARIA DA PENHA EM CORDEL,25,"R$11,55"
A MITOLOGIA E O SABER,149,"R$34,65"
A MULHER SEM TÚMULO,62,"R$26,60"
ACORDO ORTOGRAFICO - VOCAB. DAS PALAVRAS MOD.,60,"R$31,50"
ALÉM DO ARCO ÍRIS,77,"R$30,40"
AS NOVENTA E NOVE MOEDAS DE OURO,17,"R$19,25"
ATUALIDADES DO BRASIL E DO MUNDO,83,"R$26,60"
"BEL, A PRINCESA NORDESTINA",103,"R$27,00"
BOM CRIOULO,51,"R$19,60"
BOX COLECAO ALENCARIANA,108,"R$63,00"
BOX LEITURAS DE CAPITAIS,96,"R$63,00"
BRASIL E OCEANIA - COLEÇÃO NORDESTES,42,"R$31,50"
BRINCADEIRA DE BOI,104,"R$27,00"
BRINCADEIRA DE SOL E MAR,8,"R$23,00"
BULBRAX SOCIOMORFOLOGIA CULTURAL DE FORTALEZA,102,"R$59,50"
CAPITÃO RAPADURA 40 ANOS,22,"R$24,25"
CARMIM,161,"R$31,50"
CARTA DA VOVÓ E DO VOVÔ 2 EDIÇÃO,1,"R$33,11"
CARTA DO TESOURO,2,"R$37,95"
CEARÁ -  UMA HISTÓRIA DE PAIXÃO E GLÓRIA,70,"R$21,00"
CHERRIZINHO,69,"R$30,80"
"CHUÁ, CHUÁ, BUÁ,BUÁ",4,"R$26,95"
CHUTEIRA DOURADA,10,"R$26,95"
CIDADE DA JUVENTUDE,147,"R$30,80"
CIDADE DE AGUA E SAL,65,"R$28,70"
"CIDADE: ECONOMIA , GESTÃO E CENTRALIDADE",98,"R$28,70"
CIRANDA - COLEÇÃO BRASIL BRINCANTE,7,"R$25,41"
COMO ME TORNEI IMORTAL,56,"R$17,50"
COMO SAIR DAS BOLHAS,137,"R$24,50"
CONTOS POPULARES DO BRASIL - COLEÇÃO NORDESTES,43,"R$28,00"
CRÔNICAS DA ALDEIA,32,"R$31,50"
DA RODA AO AUDITÓRIO,173,"R$17,50"
DESERTOS & TRAVESSIAS UMA IMERSÃO NO SILÊNCIO,163,"R$49,00"
DIVA,48,"R$      21,00"
DOIS SEGREDOS DO BODE YOIO,126,"R$      33,88"
DONA BIAZINHA,3,"R$      26,95"
DONA FIDERALINA AUGUSTA - MITO E REALIDADE,124,"R$      35,00"
É PERICOLOSO SPORGERSI,97,"R$      21,00"
ELEIÇÕES E PROPAGANDA,151,"R$      24,50"
EM BUSCA DE IRACEMA,61,"R$      23,10"
ENTRE SELOS E SONHOS,79,"R$      52,36"
EPISTEMOLOGIAS DA AVALIAÇÃO: MÉTODOS TÉC. P/ APLIC.,99,"R$      35,00"
EU,27,"R$      21,00"
FÁBULAS E CONTOS EM VERSOS,12,"R$      50,82"
FERROVIÁRIO - NOS TRILHOS DA VITÓRIA,72,"R$      21,00"
"FORTALEZA - HISTÓRIA, TRADIÇÃO E GLÓRIA",71,"R$      21,00"
FORTALEZA VELHA - COLEÇÃO NORDESTES,40,"R$      24,00"
FREI DAMIÃO O MISSIONÁRIO,85,"R$      20,00"
GLOSSÁRIO DE PSICOPATOLOGIA,89,"R$      21,00"
HIPNOS E TÂNATOS EM IRACEMA,53,"R$      21,00"
HISTÓRIA DO CEARÁ 7a EDIÇÃO,135,"R$    77,00"
HOSPITAL PSIQUIÁRICO - SEIS SÉCULOS DE HISTÓRIA,160,"R$      21,00"
INSIGHT E MIMETISMO,158,"R$      21,00"
INVOCADO - UM JEITO BRASILEIRO DE SER MUSICAL,34,"R$      42,00"
IRACEMA - COLEÇÃO ALENCAR NAS RIMAS DE CORDEL,23,"R$      16,94"
JÁDER DE CARVALHO E O DIÁRIO DO POVO,84,"R$      14,00"
JAGUARIBE - MEMÓRIAS DAS ÁGUAS,28,"R$      24,50"
"JANINHO, O ELEANTE AMARELINHO SONHADOR",105,"R$      26,95"
"JANJÃO, O CARNEIRINHO AZUL",164,"R$      26,95"
