Título,Autores,Preço,Preço com 50%
"""... no entanto, ao mesmo tempo e em outro nível..."" - Vol. 1","Grotstein, James S. (Autor)","R$115,00","R$57,50"
"""... no entanto, ao mesmo tempo e em outro nível..."" - Vol. 2","Grotstein, James S. (Autor)","R$86,00","R$43,00"
1 kg de cultura geral,"Braunstein, Florence (Autor), Pépin,","R$110,00","R$55,00"
507 movimentos mecânicos,"Brown, Henry T. (Autor)","R$34,90","R$17,45"
A bruxa metapsicologia e seus destinos,"Fulgencio, Leopoldo (Autor), Simanke,","R$90,00","R$45,00"
A ergonomia em busca de seus princípios,"Daniellou, François (Coordenador)","R$98,00","R$49,00"
A evolução geológica da Terra,"Suguio, Kenitiro (Autor), Suzuki, Uko","R$64,00","R$32,00"
A indisponibilidade sexual da mulher como queixa conjugal,"Thorstensen, Sonia (Autor)","R$95,00","R$47,50"
A invenção do projeto,"Montenegro, Gildo A. (Autor)","R$53,00","R$26,50"
A linguagem de Bion,"Sandler, P. C. (Autor)","R$325,00","R$162,50"
A linguagem dos desenhos,"Brafman, Abrahão H. (Autor)","R$42,00","R$21,00"
A matemática através dos tempos,"Berlinghoff, William P. (Autor),","R$95,00","R$47,50"
A matemática no Brasil,"Silva, Clóvis Pereira da (Autor)","R$70,00","R$35,00"
A matemática pode ser interessante... e linda!,"Setzer, Valdemar W. (Autor)","R$59,00","R$29,50"
A matriz da mente,"Ogden, Thomas H. (Autor)","R$69,00","R$34,50"
A natureza e os polímeros,"Mano, Eloisa Biasotto (Autor),","R$128,00","R$64,00"
A perlaboração da contratransferência,"Dallazen, Lizana (Autor)","R$70,00","R$35,00"
A perspectiva dos profissionais,"Montenegro, Gildo (Autor)","R$51,00","R$25,50"
A pesquisa e o ensino em língua portuguesa sob diferentes,"Cintra, Anna Maria Marques","R$59,00","R$29,50"
"A posteriori, um percurso","Minerbo, Marion (Autor)","R$82,00","R$41,00"
A psicanálise com Wilfred R. Bion,"Lévy, François (Autor)","R$90,00","R$45,00"
A psicanálise do vir a ser,"Castelo Filho, Claudio (Autor)","R$76,00","R$38,00"
A psicologia da mídia social,"Mahon, Ciarán Mc (Autor)","R$34,00","R$17,00"
A psicologia da pessoa,"Symington, Neville (Autor)","R$62,00","R$31,00"
A psicologia das mudanças climáticas,"Beattie, Geoffrey (Autor), McGuire,","R$35,00","R$17,50"
A psicologia do gênero,"Wood, Gary W. (Autor)","R$40,00","R$20,00"
A querela dos diagnósticos,"Soler, Colette (Autor)","R$85,00","R$42,50"
A referência no design gráfico,"Gomez-Palacio, Bryony (Autor), Vit,","R$169,00","R$84,50"
A técnica de edificar,"Yazigi, Walid (Autor)","R$260,00","R$130,00"
A vida no limite,"Al-Khalili, Jim (Autor), McFadden,","R$54,00","R$27,00"
A vida?... É logo ali,"Levisky, David Léo (Autor)","R$59,00","R$29,50"
ABC da ADG,"Vollmer, Lara (Organizador), ADG","R$36,00","R$18,00"
ABC da topografia,"Botelho, Manoel Henrique Campos","R$99,00","R$49,50"
ABTT e a indústria têxtil,"Silva, Waumy Corrêa da (Autor)","R$118,00","R$59,00"
Acústica aplicada ao controle do ruído,"Bistafa, Sylvio R. (Autor)","R$149,00","R$74,50"
Acústica de salas,"Brandão, Eric (Autor)","R$198,00","R$99,00"
Acústica técnica,"Costa, Ennio Cruz da (Autor)","R$66,00","R$33,00"
Administração com qualidade,"Costa Neto, Pedro Luiz de Oliveira","R$116,00","R$58,00"
Adoção: desafios da contemporaneidade,"Levinzon, Gina Khafif (Organizador),","R$69,00","R$34,50"
Adoecimentos psíquicos e estratégias de cura,"Figueiredo, Luís Cláudio (Autor),","R$85,00","R$42,50"
AEA - 30 anos,Associação Brasileira de Engenharia,"R$80,00","R$40,00"
Água: métodos e tecnologia de tratamento,"Richter, Carlos A. (Autor)","R$112,00","R$56,00"
