Título,Autor,"Preçode capa","P   r eço comdesconto"
(Curadoria) de A a Z,"Hoffmann, Jens (Autor)","R$    40,00","R$  2 0,00"
27a. Bienal de São Paulo,"Tiravanija, Rirkrit (Autor), Weisman,","yRa$l ( A  u7t5o,r0)0,","iRsn$i k 3,  G7,u5il0h"
5 x Favela,"Diegues, Carlos (Autor), Guerra, Ruy","(ARu$t o  r 5),5 C,0a0r","eRiro$, M 2 a7n,5a0ira"
A filosofia de Andy Warhol,"Warhol, Andy (Autor)","R$    50,00","R$  2 5,00"
A garagem,"Haiut, Felipe (Autor)","R$    36,00","R$  1 8,00"
A gueixa e o panda-vermelho,"Takai, Fernanda (Autor)","R$    42,00","R$  2 1,00"
A mulher arrastada,"Camargo, Diones (Autor)","R$    36,00","R$  1 8,00"
A paz perpétua,"Mayorga, Juan (Autor)","R$    36,00","R$  1 8,00"
A primeira vista / In on it,"Maclvor, Daniel (Autor)","R$    36,00","R$  1 8,00"
A tábua de esmeralda - Jorge Ben Jor,"Silva, Paulo da Costa e (Autor)","R$    46,00","R$  2 3,00"
A tropa,"Pinheiro, Gustavo (Autor)","R$    36,00","R$  1 8,00"
A última peça,"Viana, Inez (Autor)","R$    36,00","R$  1 8,00"
Acontecências,"Soares, Teresinha (Autor), Moura, R","dRrig$o    (4O5r,g0a0n","zRad$o  r2 ) 2,50"
Afonso Tostes: entre a cidade e a natureza,"Rangel, Daniel (Organizador)","R$  120,00","R$  6 0,00"
Ai Weiwei,"Obrist, Hans Ulrich (Autor)","R$    45,00","R$  2 2,50"
Alexandre da Cunha,"Gray, Zoë (Autor)","R$  138,00","R$  6 9,00"
Alguém acaba de morrer lá fora,"Bilac, Jô (Autor)","R$    32,00","R$  1 6,00"
Amores surdos,"Passô, Grace (Autor)","R$    32,00","R$  1 6,00"
Ana Elisa Egreja,"Monachesi, Juliana (Autor), Mesquita","TRi$a g 1o1 (0A,0u0to",")R$  5 5,00"
"Après moi, le déluge (Depois de mim, o dilúvio)","Cunillé, Lluïsa (Autor)","R$    36,00","R$  1 8,00"
Ãrrã,"Calderoni, Vinicius (Autor)","R$    36,00","R$  1 8,00"
Arte brasileira para crianças,"Diegues, Isabel (Autor), Fortes, Márci","R (A$ u  t o9r6), 0K0e","tiR, M$ in 4 i 8(A,0u0to"
Arte e cultura,"Castro, Maurício Barros de (Organiza","Ror$)    45,00","R$  2 2,50"
"Arte, censura, liberdade","Duarte, Luisa (Organizador)","R$    52,00","R$  2 6,00"
artevida,"Pedrosa, Adriano (Organizador), Mo","raR, $R  o  d8r0ig,0o0 (","rRg$a n i4 z0a,d0o0r)"
As palavras e as coisas,"Brício, Pedro (Autor)","R$    36,00","R$  1 8,00"
As quatro estações - Legião Urbana,"Marovatto, Mariano (Autor)","R$    46,00","R$  2 3,00"
Atra bílis,"Ripoll, Laila (Autor)","R$    36,00","R$  1 8,00"
"Beatriz Milhazes, colagens","Paul, Frédéric (Autor), Armstrong, Ri","hRar$d  1(A25u,t0o0r)","R$  6 2,50"
Bichos dançantes,"Neoral, Alex (Autor)","R$    36,00","R$  1 8,00"
Buraquinhos ou o vento é inimigo do picumã,"Salaberg, Jhonny (Autor)","R$    36,00","R$  1 8,00"
Cachorro morto na lavanderia,"Liddell, Angélica (Autor)","R$    36,00","R$  1 8,00"
Caminhos da curadoria,"Obrist, Hans Ulrich (Autor)","R$    60,00","R$  3 0,00"
Cantos cuentos colombianos,"Herzog, Hans-Michael (Autor)","R$  138,00","R$  6 9,00"
Cara de cavalo,"Kosovski, Pedro (Autor)","R$    32,00","R$  1 6,00"
Caranguejo Overdrive,"Kosovski, Pedro (Autor)","R$    36,00","R$  1 8,00"
Carla Chaim,"Chaim, Carla (Autor), Visconti, Jacop","RC$ri v 1e1ll0i ,(0C0o","rRde$n  a5 d5o,r0)0"
Carlos Bevilacqua,"Bevilacqua, Carlos (Autor)","R$  130,00","R$  6 5,00"
Carmela Gross,"Gross, Carmela (Autor), Freitas, Dou","laRs$  ( O15rg0a,0n0iz","dRo$r)  7 5,00"
Carnaval-ritual: Carlos Vergara e Cacique de Ram,"sCastro, Maurício Barros de (Autor)","R$    52,00","R$  2 6,00"
Chico Science & Nação Zumbi – Da lama ao caos,"Calábria, Lorena (Autor)","R$    46,00","R$  2 3,00"
Chorume,"Calderoni, Vinicius (Autor)","R$    36,00","R$  1 8,00"
Cine Monstro,"Macivor, Daniel (Autor), Diaz, Enriqu","(RA$u t o  3r)6,00","R$  1 8,00"
Clara Nunes - Guerreira,"Dealtry, Giovanna (Autor)","R$    46,00","R$  2 3,00"
Cliff (Precipício),"López, Alberto Conejero (Autor)","R$    36,00","R$  1 8,00"
