Código,Título,Link,Link da Image,preço,Preço Promocional
11364,100 Graus,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/e1d0i0a-/gcraataulso-Rog$/-p 2or2on,d4tou5-"
11443,7 passos para ser um líder de vendas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/e7d-piaa/scsaotas-lopRga$r/a p2-rs2oe,d4ru-5"
11439,"7 semanas para emagrecer, mudar o pensamento e a vida!",https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/e7d-siae/mcaatnaalosRg-p$/ ap2r2ao,-d4eu5"
11049,A carícia essencial,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-ci a/rcicaitaa-leoRsgs$/e p1nr9coi,da9lu5-"
11027,A estratégia do olho de tigre,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-eias/tcrataelgoRiag$-/d p1or9o-o,d9luh5"
11379,A excelência do olho de tigre,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-eiax/ccealteanlocRiga$/- pd1ro9o-,do9ul5h"
11470,A fórmula dos vencedores,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-fioa/rcmautalalo-Rdg$o/ ps1-r9voe,d9nu5c"
10805,A grande virada,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe0ms,-9.2b00r","m1/ead-giar/acnadteal-ovRgir$/a pd2ra0o-,dp4u5r"
11463,A hora extraordinária,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ltiRev$.rco 3os9m-p,9.ab0rr","-mtoeddaias-/acsa-toacloaRgs$i/o p1er9so/,d9inu5"
11462,A Jornada da Liberdade,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-jioa/rncatdaalo-Rdg$a/ -p1lir9bo,ed9ru5d"
11411,A mente de vendas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-mia/ecnattea-ldoReg$-/v p1er9no,d9au5s"
11338,A nova lógica do sucesso,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-niao/vca-tlaolgoRigc$/a p-1dr9o,d9-su5u"
11428,A pequena pianista,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe0ms,-0.2b00r","m1/ead-piae/qcauteanloaRg-p$/i pa3rn0oi,ds0tu0a"
11429,A providência,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-piar/ocvaitdaelonRgc$i/a p1-rp9or,do9ud5"
11230,A teoria de tudo,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe5ms,-0.2b00r","m1/ead-tiae/ocraiata-dloeRg-$t/u p3dr2o,d5-pu0r"
10997,A vida é um milagre,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ead-viaid/caa-eta-uloRmg$/-m p1r9iola,d9gu5r"
