"","PREÇOISBNTÍTULOAUTOR(A) / ORG.NORMAL",,"PREÇOFesta do Livro USP",,
"",978658628024169 Poemas e Alguns EnsaiosAdelaide do Julinho et al,"65,00",,"32,50",
"","9786587113265A Menina que Nasceu sem CorPereira da Silva, Midria","49,00",,"24,50",
"","9788598349725A Pintora do Arco-írisPaiva, Fernando","49,00",,"24,50",
"","9788598349305A princesa dos 7 vestidosSimone, Cassia; Simone, Rebeca","54,90",,"27,45",
"","9788598349664A sombra nos grupos e círculos de mulheres 2a. edVargas, Cler Barbiero de","40,00",,"20,00",
"","9788598349145A vida é sopa!Almeida, Lizandra Magon de","38,90",,"19,45",
"","9788598349350Amor que chegaAutran, Paula","24,90",,"12,45",
"","9788598349633Ay Kakyri TamaKambeba, Marcia Wayna","35,00",,"17,50",
"","9788598349367Broto da TerraAbrahão, Claudia Pucci","24,90",,"12,45",
"","9788598349213Caderno de observação de um filhoMenezes, Pedro","40,00",,"20,00",
"","9788598349480Cadu - E o mundo que não eraGoldfarb, Lúcio; Menezes, Pedro","44,90",,"22,45",
"","9788598349220Canto da TerraAbrahão, Claudia Pucci","39,90",,"19,95",
"","9786587113159Cem vezes umaBrêtas, Ana","51,90",,"25,95",
"","9788598349176Cidade das águasCaldas, Guilherme; Olavo Rocha","28,90",,"14,45",
"","9788598349565Coleção Sambas EscritosVaz, Patricia","92,90",,"46,45",
"","9786550940027Com o Corpo InteiroLosito Mantovani, Lucila","52,90",,"26,45",
"","9788598349954Como tudo começouMendonça Coêlho, Bruno","45,00",,"22,50",
"","9786550940041De Cor da PeleCamargo, Denise","30,00",,"15,00",
"","9788598349138De João para seis irmãosAsse, Roberta","30,90",,"15,45",
"","9788593726064DesigneRH para um novo mundoOrnellas, Marco","48,90",,"24,45",
"","9786587113012DesmemóriaCoelho, Thalita","49,90",,"24,95",
"","9788598349183DislexicandoAraujo, Marina Miyazaki","45,00",,"22,50",
"","9788598349985Dois ursos diferentesGoldfarb, Lúcio; Menezes, Pedro","50,90",,"25,45",
"","9788598349770Escritos de Uma VidaCarneiro, Sueli","53,90",,"26,95",
"","9788598349251Eu era um pastor AlemãoMartins, Murilo","26,90",,"13,45",
"","9788598349169Eu sou um pastor AlemãoMartins, Murilo","26,90",,"13,45",
"","9788598349923Feminismo MaternoFernandes, Nathalia","43,90",,"21,95",
"","9786587113036Flor de GumeMalcher, Monique","52,90",,"26,45",
"","9788598349503Garotas equilibristasRusso Troiano, Cecília","62,90",,"31,45",
"","9788598349268GrãoKinzo, Carla","42,00",,"21,00",
"","9788598349794ImaginaçãoPorto, Marta","44,90",,"22,45",
"","9788598349107Joãozinho Quero-QueroGoldfarb, Lúcio; Menezes, Pedro","42,00",,"21,00",
"","9788598349244José e o mistério dos bichos da AmazôniaAlbuquerque, Liege","40,00",,"20,00",
"","9788598349671Kuamida Silva, Cidinha","53,90",,"26,95",
"","(Organizador) Gomes, Juliana; (Organizador) Leuenroth,9788598349718Leia MULHERESJuliana; (Organizador) Henriques, Michelle","45,00",,"22,50",
"","9788598349312Lelinha completa cemMaricato, Adriana","40,00",,"20,00",
"","9786587113142LevanteMarques Samyn, Henrique","49,00",,"24,50",
"","9788598349541Mães RarasNovaes, Désirée","49,00",,"24,50",
"","9788598349091Manifesto do sonhadorGulla, Regina","25,00",,"12,50",
"","9788598349947Meninas Incríveis(Organizador) Sefton, Ana Paula","30,00",,"15,00",
"","9786587113166Meninas que Escrevem(Organizador) Coletivo Nós, Marias","41,90",,"20,95",
"","9788598349466Minhas duas avósTeixeira, Ana","44,90",,"22,45",
"","Campos de Sousa, Amária; Araújo Fernandes, AnaCarolina; da Cruz Vasconcelos, Ana Cleide; Nazareno dosSantos, Andreia; Pereira de Almeida, Carlídia; ReisMartins, Dalila; Gomes Lima, Débora; Nazário, Gessiane;da Silva, Givânia Maria; Mendes, Maria Aparecida;9786587113180Mulheres quilombolasRibeiro de Sousa, Maria Aparecida; Moraes Borges,Mônica; de Pontes Pereira dos Santos, Nilce; de Oliveira,Rejane Maria; da Silva Andrade, Sandra Maria; dosSantos Dealdina, Selma; Pôrto dos Santos, Valéria;Francisco Dias, Vercilene","53,90",,"26,95",
"","9788598349831Ninguém vai lembrar de mimSoutello, Gabriela","39,90",,"19,95",
"","9788598349510Nossas Senhoras do BrasilGonsalez, Alexandra","39,90",,"19,95",
"","9788598349473O JacaréAnbar, Ricardo","42,90",,"21,45",
"","9788598349787O Legado das Deusas (com baralho) 2a. EdBalieiro, Cristina","52,00",,"26,00",
"","9786550940072O Legado das Deusas (com baralho) Vol 2Balieiro, Cristina","52,00",,"26,00",
"","9788598349237O livro de orações à deusaVargas, Cler Barbiero de","80,00",,"40,00",
"","9788598349374O mundo aqui de dentroPadilha, Carol","24,90",,"12,45",
"","9788598349763O olho de Lilith(Organizador) Andrade, Mika","43,90",,"21,95",
"","9786550940034Ó pa í, prezadaAkotirene, Carla","53,90",,"26,95",
"","9788598349930O pato que descobriu quem eraSefton, Ana Paula","43,90",,"21,95",
"",9788598349206O que vou dizer em casa?Célia Alves,"39,00",,"19,50",
"","9788598349190Pai FranciscoAraújo, Marina Miyazaki","33,90",,"16,95",
"","9788598349343Para ler quando crescerPannunzio, Luiza","24,90",,"12,45",
"","9788598349848Parem de nos matarda Silva, Cidinha","49,00",,"24,50",
"","9786550940003Pedagoginga, autonomia e mocambagemda Rosa, Allan","58,90",,"29,45",
"","9788598349329PropósitoForlenza, Karinna","58,90",,"29,45",
"","9786587113197Sabendo que és minhaMartinez, Fabrina","49,00",,"24,50",
"","9786587113104Saberes da FlorestaWayna Kambeba, Márcia","57,90",,"28,95",
"","9788598349824Terra de MistériosRios, Rosana; Côrtes, Flávia","49,00",,"24,50",
"","9786587113395Terra fresca da sua tumbaRivero, Giovanna","59,90",,"29,95",
"","Nhandewa, Alexandro; Yvoty, Ana Lúcia; Silva, Débora;Zamboni, Felipe; Sabino, Jaqueline; Tupã, Rodrigo;9786550940089Tetã TekohaPyntánh, Tiago; Matias, Uerique; Jacintho, Valéria;Queiroz, Yago","42,00",,"21,00",
"","9786587113234Tomar Corpo(Organizador) Losito Mantovani, Lucila","48,90",,"24,45",
"","9788598349978Uma menina, um rioGoldfarb, Lúcio; Menezes, Pedro","49,00",,"24,50",
"","9786500030204Uma nova (des)ordem OrganizacionalOrnellas, Marco","68,90",,"34,45",
"","9788598349497Urso Alfredo e o mistério na neveGoldfarb, Lúcio; Menezes, Pedro","49,00",,"24,50",
"",9786550940010Você já é feminista! (2a. Edição)Vários autores,"49,00",,"24,50",
"","9788598349527Volta ao mundo em 80 artistasAssad, Badi","54,00",,"27,00",
