FREUD SEM TRAUMAS,ALEXANDRE CARVALHO,"R$                               4 0,00","R$      20,00"
"O ESPADACHIM DE CARVÃO, 3",AFFONSO SOLANO,"R$                                40,00","R$      20,00"
PRINCESINHAS E PRINCIPEZINHOS DO BRASIL,PAULO REZZUTTI,"R$                               5 5,00","R$      27,50"
ACREDITE EM SUA PRÓPRIA MAGIA,AMANDA LOVELACE,"R$                               4 0,00","R$      20,00"
FAÇA SUA COROA DE GELO BRILHAR + BRINDE,AMANDA LOVELACE,"R$                                34,00","R$      17,00"
QUEBRE OS SEUS SAPATINHOS DE CRISTAL +BRINDE,AMANDA LOVELACE,"R$                                34,00","R$      17,00"
"A CULPA NÃO É MINHA - ADÉLE, A TERRÍVEL",MR. TAN (ANTOINE DOLE),"R$                                55,00","R$      27,50"
"O INFERNO SÃO OS OUTROS - ADÉLE, A TERRÍVEL",MR. TAN (ANTOINE DOLE),"R$                                55,00","R$      27,50"
"ISSO NÃO VAI ACABAR BEM - ADÉLE, A TERRÍVEL",MR. TAN (ANTOINE DOLE),"R$                                55,00","R$      27,50"
A FELICIDADE DE LAILA,MARIAHADESSA EKERE TALLIE,"R$                                46,00","R$      23,00"
O PUM,LAURIE COHEN & NICOLAS GOUNY,"R$                                46,00","R$      23,00"
O VIRUS DO AMOR,LAURIE COHEN & NICOLAS GOUNY,"R$                                46,00","R$      23,00"
MAU HUMOR,CHARLOTTE ZOLOTOW,"R$                                46,00","R$      23,00"
MITÓLOGIA NÓRDICA,JAN ERIK MADSEN,"R$                                20,00","R$      10,00"
COMPÊNDIO DE O CAPITAL,CARLO CAFIERO,"R$                                20,00","R$      10,00"
DO CONTRATO SOCIAL,JEAN-JACQUES ROUSSEAU,"R$                                20,00","R$      10,00"
PSICOLOGIA APLICADA NO COTIDIANO,FREDERIC BACK,"R$                                20,00","R$      10,00"
PSICOLOGIA APLICADA DE FREUD,SIGMUND FREUD,"R$                                20,00","R$      10,00"
PSICOLOGIA APLICADA DE C. G. JUNG,CARL GUSTAV JUNG,"R$                                20,00","R$      10,00"
A RIQUEZA DAS NAÇÕES COMPÊNDIO,ADAM SMITH,"R$                                20,00","R$      10,00"
ALICE NO PAÍS DAS MARAVILHAS,LEWIS CARROLL,"R$                                20,00","R$      10,00"
AS AVENTURAS DE PINÓQUIO - A HISTÓRIA DE UM BONECO,CARLO COLLODI,"R$                                20,00","R$      10,00"
CONVERSAS DESCONFORTÁVEIS COM UM HOMEM NEGRO,EMMANUEL ACHO,"R$                                39,00","R$      19,50"
VOCÊ TEM FILHOS? - COMO AS MULHERES VIVEM QUANDO,K ATE KAUFM A NN,"R$                                34,00","R$      17,00"
O BRASIL NÃO CABE NO QUINTAL DE NINGUÉM – EDIÇÃO A,"PAULO  NOGUEIR A BATISTA JR","R$                                79,00","R$      39,50"
1984,GEORGE ORWELL,"R$                               6 9,00","R$      34,50"
COMO LIGAR O FODA-SE E TER UMA VIDA ESTRESSANTE,SAMUEL HONORATO,"R$                                24,90","R$      12,45"
A NOSSA ÚNICA CASA,DALAI LAMA E FRANZ ALT,"R$                                29,00","R$      14,50"
DEIXE A PETECA CAIR - AVON 1406708,TIFFANY DUFU,"R$                                40,00","R$      20,00"
A FÓRMULA DA FELICIDADE SLIM,MO GAWDAT,"R$                                40,00","R$      20,00"
DEIXE A PETECA CAIR - SLIM,TIFFANY DUFU,"R$                                29,00","R$      14,50"
A MENINA QUE NÃO SABIA LER VOL 1 - SLIM,"HARDING, JOHN","R$                                39,00","R$      19,50"
A MENINA QUE NÃO SABIA LER VOL 2 - SLIM,"HARDING, JOHN","R$                                39,00","R$      19,50"
A MENTE DE ADOLF HITLER - SLIM,WALTER C. LANGER,"R$                                45,00","R$      22,50"
HISTORIA DO BRASIL PARA OCUPADOS - SLIM,"FIGUEIREDO, LUCIANO","R$                                56,00","R$      28,00"
O PROPOSITO DA SUA VIDA - SLIM,MICHAEL J. LOSIER,"R$                                26,00","R$      13,00"
PSICOPATAS DO COTIDIANO - SLIM,"MECLER, KATIA","R$                                31,00","R$      15,50"
GUERRA À SAÚDE,UGO BRAGA,"R$                                49,00","R$      24,50"
O PÁSSARO DE FOGO E OUTROS CONTOS DE FADAS RUSS,AD  RIANA  MOURA E PAULO REZZUTTI,"R$                                34,00","R$      17,00"
ENCONTRANDO A LIBERDADE,JARVIS JAY MASTERS,"R$                                39,00","R$      19,50"
HO'OPONOPONO,ULRICH EMIL DUPRÉE,"R$                               2 9,00","R$      14,50"
CANÇÃO DA VIDA,GABRIEL CHALITA,"R$                                29,00","R$      14,50"
ENTREGADOR DE SENTIMENTOS,GABRIEL CHALITA,"R$                                29,00","R$      14,50"
BOX CANÇÃO DA VIDA E ENTREGADOR DE SENTIMENTOS,GABRIEL CHALITA,"R$                                54,00","R$      27,00"
CAFEÍNA,MAURÍCIO TORRES ASSUMPÇÃO,"R$                                52,00","R$      26,00"
FAÇA COMO O BERNARDO,SIMON PHILIP E KATE HINDLEY,"R$                                49,00","R$      24,50"
PROJETO NACIONAL: O DEVER DA ESPERANÇA,CIRO GOMES,"R$                                49,00","R$      24,50"
KIT 60 ANOS A MIL: 50 ANOS A MIL,LOBÃO,"R$                              105,00","R$      52,50"
"HÉLIO RUBENS, UMA VIDA DE TRÊS PONTOS","HÉLIO RUBENS, IGOR RAMOS","R$                                49,00","R$      24,50"
50 ANOS A MIL (NOVA EDIÇÃO),LOBÃO,"R$                                69,00","R$      34,50"
60 ANOS A MIL,LOBÃO,"R$                                49,00","R$      24,50"
EU DESTILO MELANINA E MEL,UPILE CHISALA,"R$                                29,00","R$      14,50"
"POSSO PEDIR PERDÃO, SÓ NÃO POSSO DEIXAR DE PECAR",FERNANDA YOUNG,"R$                                52,00","R$      26,00"
TIRE SEU PROJETO DO PAPEL COM SCRUM,ALEXANDRE MAGNO,"R$                                34,00","R$      17,00"
MULHERES EMPILHADAS,PATRÍCIA MELO,"R$                                46,00","R$      23,00"
1824,RODRIGO TRESPACH,"R$                                61,00","R$      30,50"
O LIVRO OBSCURO DO DESCOBRIMENTO DO BRASIL,MARCOS COSTA,"R$                                57,00","R$      28,50"
A FILOSOFIA EXPLICA BOLSONARO,PAULO GHIRALDELLI JR.,"R$                                34,00","R$      17,00"
ARMAS PARA QUÊ?,ANTONIO RANGEL BANDEIRA,"R$                                63,00","R$      31,50"
O BRASIL NÃO CABE NO QUINTAL DE NINGUÉM,PAULO NOGUEIRA BATISTA JR.,"R$                                63,00","R$      31,50"
D. PEDRO II,PAULO REZZUTTI,"R$                                75,00","R$      37,50"
O PACTO DE HOLLYWOOD E O NAZISMO,BEN URWAND,"R$                                46,00","R$      23,00"
HISTÓRIA DA GENTE BRASILEIRA VOL. IV  REPÚBLICA (2),MARY DEL PRIORE,"R$                                75,00","R$      37,50"
TODO SANTO AJUDA,LINA ROSA,"R$                                23,00","R$      11,50"
TODO SANTO AJUDA  CAPA DURA,LINA ROSA,"R$                                34,00","R$      17,00"
O FIM DO PODER  NOVA EDIÇÃO,MOISÉS NAÍM,"R$                                57,00","R$      28,50"
VIAGEM SOLITÁRIA 2o EDIÇÃO,"W. NERY, JOÃO","R$                                57,00","R$      28,50"
O QUE APRENDI COM HAMLET,LEANDRO KARNAL,"R$                                46,00","R$      23,00"
O MUNDO QUE NÃO PENSA,"FOER, FRANKLIN / FLECK, DEBORA","R$                                46,00","R$      23,00"
ELZA,ZECA CAMARGO,"R$                                69,00","R$      34,50"
FALSA ACUSAÇÃO,CHRISTIAN MILLER E KEN ARMSTRONG,"R$                                49,00","R$      24,50"
