Ananda Morais,39,"19,5"
Nuno Rebelo,"49,9","24,95"
Geovane Moraes; Diogo Toscano,"39,9","19,95"
Eduardo Grossi Franco Neto; Thiago Elia,Mauad d5e0,breu25
Ernesto Mallo,"49,9","24,95"
Luiz Fernando do Vale de Almeida Guilh,"rme39,9","19,95"
Mauricio dos Santos,"29,9","14,95"
Salah H. Khaled Jr.,"89,9","44,95"
Ernesto Mallo; Tradução: Henrique Júdi,"e Maga4l9h,ã9","s24,95"
Mariana Giorgetti Valente,90,45
Reinaldo Belli de Souza Alves Costa,70,35
ORGS: Fernando Facury Scaff; Heleno Ta,eira To1rr1e9s,"Misabel A5b9r,5e"
ORGS: Fernando Facury Scaff; Heleno Ta,eira To1rr1e9s,"Misabel A5b9r,5e"
Fernanda Guimarães,"36,9","18,45"
Alexandre Cardoso Pereira,"39,9","19,95"
Francisco Paiva de Carvalho,"29,9","14,95"
"Mika Rissanen, Juha Tahvanainen; Trad","ção: Pa5s9i L,9o","an29,95"
Reinaldo Belli,59,"29,5"
Mônia Medeiros Lasmar,"47,9","23,95"
Nadine Pires Salomon,"49,9","24,95"
Larissa Molina e Vivian Limongi,"35,9","17,95"
Sacha Calmon,42,21
Ricardo Cappi,"59,9","29,95"
Morena Cardoso,"39,9","19,95"
Carolina Marotta Capanema,"49,9","24,95"
Gabriela Barreto de Sá,"64,9","32,45"
Matheus Cintra,"39,9","19,95"
João Sérgio dos Santos Soares Pereira,99,"49,5"
ORGS: Walkiria Zambrzycki Dutra; Valdi,"ene Da4u4fe,9","back; Fe2r2n,a4n5"
ORGS: Luiz Henrique; Marcelo Hugo; Pa,lo Hon1ó1ri9o,"59,5"
Gio Fochi,"49,9","24,95"
Renato Firmino de Rezende,"49,9","24,95"
Elaine Escobar,"34,9","17,45"
Natália Neris,"49,9","24,95"
Thamires Lorena Mussulini de Souza,"36,9","18,45"
Allinne Rizzie Coelho O. Garcia,59,"29,5"
André Feres,"59,9","29,95"
Bento Cunha,"34,9","17,45"
Ivana Pirajá Luckesi,"29,9","14,95"
Ricardo de Moura Faria,"39,9","19,95"
Ricardo de Moura Faria,"49,9","24,95"
Ingeborg Senneset; Tradução: Leonardo,"Pinto S5i9lv,a9","29,95"
Bruna Kalil Othero,"39,9","19,95"
Valerio de Oliveira Mazzuoli; Gilberto M,"rbach64,9","32,45"
Marilia Lomanto Veloso,59,"29,5"
Marina Soares Marinho,50,25
Jussaty Luciano Cordeiro Junior,"49,9","24,95"
Guilherme de Jesus France,"64,9","32,45"
Carlos María Cárcova,88,44
Raul Marques,"39,9","19,95"
C daemseilnav Coelvcimlinean Mtisamrtoin psi auiense no perí,"do de 4220,19","a 201621,45"
Luciana Rausch,"39,9","19,95"
Ana Luíza Villela de Viana Bandeira,"54,9","27,45"
Larissa Campos,"29,9","14,95"
Alê Yussef,44,22
Glauco Faria; Vinicius Gomes Melo,"46,9","23,45"
Karolzinha da Silva,"32,9","16,45"
Thamires Aragão,"29,9","14,95"
Tessi Ferreira,"29,9","14,95"
Marcelo Hugo da Rocha; Fernando Elias,"osé49,9","24,95"
Victor Di Marco,39,"19,5"
Cris Landa,"49,9","24,95"
Julia dos Santos Drummond,"64,9","32,45"
Silvia Lencioni,"39,9","19,95"
Camila Ribeiro Hernandes,"69,9","34,95"
ORGS: Felipe Recondo; Marcelo Proenç,89,"44,5"
Alex Thaumaturgo Dias,"59,9","29,95"
Valerio de Oliveira Mazzuoli,"54,9","27,45"
Victor Belart,55,"27,5"
Nuno Rebelo,"59,9","29,95"
Nefi Cordeiro,"74,9","37,45"
Ricardo de Moura Faria,"39,9","19,95"
lHeitlloarayl  Cdleinsatsotnrosa,"49,9","24,95"
Carol Fagundes,"49,9","24,95"
Marcelo Hugo da Rocha,"44,9","22,45"
Carlos Trubbianelli,"34,9","17,45"
ORG: Eduardo de Avelar Lamy,89,"44,5"
ORG: Eduardo Lamy,75,"37,5"
Tatiane Souza,"39,9","19,95"
Pedro Lube Sperandio,84,42
