Sustentabilidade e captação de recursos,Custódio Pereira,"45,00","22,50"
Urbanismo de Colina,Manuel Leal da Costa Lobo e José Geraldo Simões Júnior (org.),"120,00","60,00"
Urbanização na virada do Milenio,Denise Antonucci (org.),"70,00","35,00"
Reflexões sobre a crítica teatral nos jornais,Maria Cecília Garcia,"45,00","22,50"
Raízes da integração Européia:,Arthur Roberto Capella Giannattasio,"94,90","47,45"
Repensando a prática pedadógica,Marcos Garcia Neira,"25,00","12,50"
Raízes cristãs do Mackenzie e seu perfil confessional,Osvaldo Henrique Hack,"50,00","25,00"
Releitura de Lygia Fagundes Telles,Ascensión Rivas Hernández e Helena Bonito Pereira (org.),"36,00","18,00"
Vicente do Rego Monteiro,Maria Luiza Guarnieri Atik,"70,00","35,00"
Pop brasileiro dos anos 80,Sílvio Anaz,"30,00","15,00"
Texto e discurso,Elisa Guimarães (org.),"50,00","25,00"
Textualidade e discursividade na linguística e na literatura,Elisa Guimarães (org.),"40,00","20,00"
Preconceito e intolerância,Diana Luz Pessoa de Barros (org.),"35,00","17,50"
Um olhar criativo sobre a prática em psicologia,Cleusa Kazue Sakamoto (org.),"38,00","19,00"
Violência no trabalho,Ana Magnólia Mendes (org.),"35,00","17,50"
Saúde Mental na infância:,Rosane Lowenthal,"25,00","12,50"
