Título/Autor,"Preço decapa","Preço comdesconto (50%)"
Eu sou favela (Vários autores),"40,00","20,00"
Apocalipse Nau (Eloar Guazzelli),"40,00","20,00"
A divina jogada (José Santos e Eloar Guazzelli),"50,00","25,00"
Aviso aos retirantes (Edenilton Lampião),"40,00","20,00"
O livro das aproximações (João Guilhoto),"45,00","22,50"
Discurso da servidão voluntária (Étienne de la Boétie),"35,00","17,50"
Mentiras (Felipe Franco Munhoz),"45,00","22,50"
Um quarto na Holanda (Pierre Bergonioux),"52,00","26,00"
Vendo Pó...esia! (Rodrigo Ciríaco),"45,00","22,50"
A tentação da bicicleta (Edmondo de Amicis),"40,00","20,00"
O mundo de Arturo (Roberto Parmeggiani,"45,00","22,50"
Reza de mãe (Allan da Rosa),"45,00","22,50"
Pouco é muito (Ana Lasevicius e Ionit Zilberman),"50,00","25,00"
Do outro lado do rio (Robson Viturino),"45,00","22,50"
A mulher de pés descalços (Scholastique Mukasonga),"52,00","26,00"
Nossa Senhora do Nilo (Scholastique Mukasonga),"58,00","29,00"
"Descalço nos trópicos sobre pedras portuguesas (ThiagoCamelo)","45,00","22,50"
O peso do pássaro morto (Aline Bei),"45,00","22,50"
Zumbi assombra quem? (Allan da Rosa e Edson Ikê),"45,00","22,50"
Dororidade (Vilma Piedade),"40,00","20,00"
Desabilidade (Roberto Parmeggiani),"40,00","20,00"
Identidades (Felipe Franco Munhoz),"45,00","22,50"
Adua (Igiaba Scego),"52,00","26,00"
Minha casa é onde estou (Igiaba Scego),"52,00","26,00"
"Madalena, Alice (Bia Barros)","46,00","23,00"
Menino moleque poeta serelepe (Rodrigo Ciríaco),"50,00","25,00"
Aquele que é digno de ser amado (Abdellah Taïa),"45,00","22,50"
Nem o sol nem a morte (Daniel Augusto),"45,00","22,50"
Tatu (Paula Anacaona),"52,00","26,00"
"Moça quase-viva enrodilhada numa amoreira quase-morta(Evandro Affonso Ferreira)","45,00","22,50"
"Mr. Babenco – Solilóquio a dois sem um (Bárbara Paz eHector Babenco)","55,00","27,50"
Fragmentos de um homem só (Wallace Andrade),"45,00","22,50"
Se deus me chamar não vou (Mariana Salomão Carrara),"46,00","23,00"
Abraços negados em retratos (Simone Paulino),"46,00","23,00"
Quatro passos sobre o vazio (Marcia Tiburi),"46,00","23,00"
O dia em que morri em um desastre aéreo (João Saraiva),"45,00","22,50"
Costuras para fora (Ana Squilanti),"46,00","23,00"
Conto para uma só voz (João Anzanello Carrascoza),"45,00","22,50"
Irmão de alma (David Diop),"52,00","26,00"
Meu corpo ainda quente (Sheyla Smanioto),"46,00","23,00"
Um belo diploma (Scholastique Mukasonga),"58,00","29,00"
Front (Edimilson de Almeida Pereira),"46,00","23,00"
Te pego lá fora (Rodrigo Ciríaco),"46,00","23,00"
"",,
"",,
"",,
"",,
"",,
