"",,PREÇO,PREÇO COM
TÍTULO,AUTOR,,
"",,ORIGINAL,DESCONTO
"",INFANTIS,,
"O corpo é meu, ninguém põe",Denise Natale e Tatiane Moreira Lima –,,
"",,"R$ 49,00","R$ 24,50"
a mão,Ilustrações: Veridiana Scarpelli,,
2 Gatos,Evelyn Heine - Ilustrações: Rodrigo Terra,"R$ 32,00","R$ 16,00"
O Passe e o Gol,Juca Kfouri - Ilustrações: Eduardo Albini,"R$ 34,00","R$ 17,00"
O Reizinho que Só Falava Sim,Fê,"R$ 38,00","R$ 19,00"
Por que alimentar-se bem?,Samantha G. de Andrade e Viviane Vieira,"R$ 25,00","R$ 12,00"
Por que ficamos doentes?,Ana Maria da Cruz e Cláudia Vidal,"R$ 25,00","R$ 12,00"
Vovó Querida,Ana Maria Leopoldo e Silva,"R$ 30,00","R$ 15,00"
"",LITERA TURA,,
As Nações Unidas,José Agrippino de Paula,"R$ 50,00","R$ 25,00"
Lugar Público,José Agrippino de Paula,"R$ 45,00","R$ 22,00"
PanAmérica,José Agrippino de Paula,"R$ 50,00","R$ 25,00"
"",António de Alcântara Machado –,,
"Brás, Bexiga e Barra Funda",,"R$ 40,00","R$ 20,00"
"",Organização: João Valentino Alfredo,,
Haicais,Wandi Doratiotto,"R$ 25,00","R$ 12,00"
Minha Bela Putana,Wander Pirolli,"R$ 30,00","R$ 15,00"
"",CINE MA,,
Durval Discos,Ana Muylaert,"R$ 28,00","R$ 14,00"
Fernando Birri - Criação e,,,
Resistência do Novo Cinema,Mônica Cristina Araujo Lima,"R$ 48,00","R$ 24,00"
Latino-Americano,,,
"",JORNA LISMO,,
Cicatriz de Reportagem,Carlos Azevedo,"R$ 50,00","R$ 25,00"
"",CULIN ÁRIA,,
Minas de Forno e Fogão,Maria Stella Libânio Christo,"R$ 45,00","R$ 22,00"
"",COLEÇÃO INNOVA SIGNA,,
A Ciência que Sonha e o,,,
"",Evando Mirra,"R$ 55,00","R$ 22,00"
Verso que Investiga,,,
A Revolução da Biotecnologia,Rafael Grilli Felizardo,"R$ 40,00","R$ 20,00"
As Redes Empresariais da,,,
Elite Empresarial de São,Demétrio G. C. de Toledo,"R$ 45,00","R$ 22,00"
Paulo,,,
Decreto Paulista de Inovação,Vários Autores - Organização: Vítor Monteiro,"R$ 50,00","R$ 25,00"
O Voo da Embraer,Zil Miranda,"R$ 45,00","R$ 22,00"
Inovar ou Inovar,Glauco Arbix,"R$ 60,00","R$ 30,00"
"São Paulo, Desenvolvimento",,,
"",Alexandre Abdal,"R$ 45,00","R$ 22,00"
e Espaço,,,
"",COLEÇÃO RU I BARBOSA,,
A Imprensa e o Dever da,,,
"",Rui Barbosa,"R$ 25,00","R$ 12,00"
Verdade,,,
Oração aos Moços,Rui Barbosa,"R$ 28,00","R$ 14,00"
