"",,,Preço com
TÍTULO ISBN,,Preço de capa,desconto
ABC do dromedário (O) 8535612025,,"32,50","16,25"
Abraço do Antônio (O) 9788535617061,,"10,00","5,00"
Abraço do Antônio (O)  com braile 9788535641394,,"21,90","10,95"
Acampamento da vovó 9788535635751,,"24,50","12,25"
Agridoce nostalgia 9788535629378,,"18,00","9,00"
Aladim e a lâmpada maravilhosa e outras histórias 9788535601107,,"37,90","18,95"
Alzheimer  A história da doença e a vida do médico que a descobri9u7 88535635362,,"27,50","13,75"
Amendoim 9788535633467,,"17,80","8,90"
Amigos do mar 9788535630190,,"17,80","8,90"
Amor de índio 9788535630763,,"15,00","7,50"
Amores em África 9788535632279,,"49,50","24,75"
Amores em carnavais: mistério dos papangus 9788535630534,,"23,00","11,50"
Ao pé das fogueiras acesas 9788535634204,,"33,90","16,95"
Apanhando a lua... 9788535606461,,"25,00","12,50"
Aposta (A) 9788535625912,,"18,00","9,00"
Aquarela 9788535640700,,"23,00","11,50"
Arca de Haicais 9788535633108,,"18,40","9,20"
Arquiteto das casas de sonhos (O) 9788535634945,,"18,40","9,20"
"Assim, sim! 9788535631197",,"16,50","8,25"
Atirei o pau no gato 9788535632521,,"10,00","5,00"
Atraso (O) 9788535634211,,"11,20","5,60"
"Aumentei, mas não menti 9788535641097",,"35,80","17,90"
Aventuras de El Cid campeador (As) 9788535622409,,"35,00","17,50"
"Aventuras de Torty, a tartaruga (As) 9788535630374",,"24,90","12,45"
Awyatópót 9788535628401,,"31,40","15,70"
Badulaques e traquitanas 9788535641059,,"16,30","8,15"
Barco do João (O) 9788535619027,,"10,00","5,00"
Batuques e limeriques 9788535614923,,"21,50","10,75"
Beleléu 9788535631005,,"21,50","10,75"
Beleléu e as cores 9788535631708,,"21,50","10,75"
Beleléu e as formas 9788535628012,,"24,90","12,45"
Beleléu e as palavras 9788535637007,,"23,50","11,75"
Beleléu e os números 9788535631784,,"24,90","12,45"
Belizbel 9788535636833,,"29,20","14,60"
Benedito 9788535639223,,"15,00","7,50"
Benquerer bem amar  com braile 9788535625585,,"28,50","14,25"
Bichinho de estimação 9788535642759,,"30,20","15,10"
Bichinhos do zoológico,9788535623697,"10,00","5,00"
Bicho legal,8535608818,"16,30","8,15"
Bicho Poesia,9788535637489,"20,70","10,35"
"Bicho, pra que te quero",9788535637700,"26,20","13,10"
"Bico calado, assunto encerrado!",9788535637717,"27,50","13,75"
Boca mágica (A),9788535625615,"17,80","8,90"
"Boi, a vaca e o bolo (O)",9788535631180,"16,30","8,15"
Borbofante,9788535636987,"32,30","16,15"
Borboleta bela e a rosa amarela (A),9788535601992,"15,00","7,50"
Brincando adivinhas,9788535610529,"21,50","10,75"
Brinconto,9788535633900,"30,00","15,00"
Bruxa apaixonada e o lobo fujão (A),9788535613209,"27,20","13,60"
Bruxa mais velha do mundo (A)  com braile,9788535637618,"31,40","15,70"
"Bullying, não quero ir pra escola!",9788535634327,"18,00","9,00"
Buraco de minhoca,9788535623932,"18,40","9,20"
Cabe ...,9788535642483,"34,50","17,25"
Cachinhos de prata,9788535642803,"29,90","14,95"
Cada galho com seu macaco,9788535636857,"33,00","16,50"
Cadê (2o. edição em novo formato),9788535645200,"21,50","10,75"
Cadê a monstrinha? com braile,9788535630381,"31,40","15,70"
Caligrafia de dona Sofia (A),9788535629927,"42,50","21,25"
Cantigas da Charalina,8573116188,"8,80","4,40"
Cantorias de jardim,9788535633511,"25,80","12,90"
Carrossel do tempo (O),9788535621099,"25,30","12,65"
Cartas a povos distantes,9788535639094,"43,00","21,50"
Casa (A),9788535632231,"15,00","7,50"
Casa do coelho (A),9788535636420,"16,30","8,15"
Caso do Vaso (O),9788535628890,"13,50","6,75"
Casos do detetive Bolotinha (Os),9788535630473,"22,10","11,05"
Cavalinho de pau,9788535627701,"12,80","6,40"
Cesta de dona Maricota (A),9788535630480,"18,00","9,00"
Chapeuzinho Vermelho (O),9788535635553,"21,90","10,95"
Chapeuzinho Vermelho (O)  com braile,9788535616613,"20,00","10,00"
Ciça,9788535630367,"22,50","11,25"
Ciça e a rainha,9788535632262,"23,80","11,90"
Coelho e a Onça (O),9788535626520,"22,10","11,05"
Coisa de irmão,9788535630756,"10,00","5,00"
Coisas boas do ano (As),9788535638967,"18,00","9,00"
Coisas de mãe,9788535627398,"35,00","17,50"
Coisas horríveis no escuro do quarto,9788535627084,"17,80","8,90"
Colecionador de chuvas (O),9788535645088,"37,90","18,95"
Colecionador de pedras (O),9788535638431,"26,50","13,25"
Com quem estamos?,9788535603828,"26,20","13,10"
Comedor de nuvens (O),9788535624755,"24,50","12,25"
Comunicação e boas maneiras para crianças,9788535626544,"16,30","8,15"
Confidências de um jacaré,9788535632439,"11,00","5,50"
Construção (A),9788535637441,"21,50","10,75"
Continhos suspirados com poesia para depois das cinco,9788535627664,"26,20","13,10"
Contos africanos para crianças brasileiras,9788535642414,"29,20","14,60"
Contos da lua e da beleza perdida,9788535636291,"28,80","14,40"
Cordel das lendas bovinas,9788535604832,"27,00","13,50"
Cozinha da MariaFarinha (A),9788535630916,"29,50","14,75"
Cozinheiras de livros (As),9788535637106,"42,50","21,25"
Cozinheiro atrapalhado (O),9788535628043,"37,30","18,65"
Cravo brigou com a rosa (O),9788535632217,"10,00","5,00"
Criança genial,9788535637021,"20,70","10,35"
Curumim poranga,9788535641295,"34,50","17,25"
Da cuca lelé aos repolhinhosdebruxelas,9788535630268,"26,50","13,25"
Da Vinci das crianças,9788535624915,"51,80","25,90"
Dança down,9788535643367,"25,00","12,50"
De alfaias a zabumbas,9788535619140,"20,90","10,45"
Descoberta da Joaninha (A),9788535621150,"17,20","8,60"
Dez sacizinhos,9788535645859,"33,00","16,50"
Dicionário engraçado,9788535632255,"25,00","12,50"
"Ding, a gotinha",9788535627596,"12,50","6,25"
"Ding, a grande aventura",9788573114102,"11,00","5,50"
"Do fim ao começo falando sobre perdas, luto e morte",8535608591,"10,00","5,00"
Do tamanho certinho,978535630671,"10,00","5,00"
Doce de cada um (O),9788535632156,"13,80","6,90"
Dois amigos (Os),9788535634143,"16,30","8,15"
Dois amigos (Os)  com braile,9788535631029,"25,50","12,75"
Dom Quixote,9788535639322,"45,00","22,50"
Donana e Titonho,9788535643954,"32,50","16,25"
