TÍTULO,AUTOR (A),PREÇO CAPA,PREÇO COM DESCONTO
1789-1799 a Revolução Francesa,"Mota, Carlos Guilherme","R$                 64,90","R$                       32,45"
40 questões para um papel,"Alschitz, Jurij","R$                 49,90","R$                       24,95"
A alemanha nazista e os judeus: vol 1,"Friedlander, Saul","R$               104,90","R$                       52,45"
A alemanha nazista e os judeus: vol 2,"Friedlander, Saul","R$               174,90","R$                       87,45"
A arte da performance,"Glusberg, Jorge","R$                 44,90","R$                       22,45"
A arte na era da máquina,"Fry, Maxwell","R$                 59,90","R$                       29,95"
A arte no horizonte do provável,"Campos, Haroldo de","R$                 59,90","R$                       29,95"
A arte poética,"Beileau-Despreux, Nicolas","R$                 34,90","R$                       17,45"
A batedora de Lacan,"Pierrakos, Maria","R$                 34,90","R$                       17,45"
A casa de Adão no paraíso,"Rykwert, Joseph","R$                 79,90","R$                       39,95"
A cena contaminada,"Tonezzi, José","R$                 64,90","R$                       32,45"
A cena em ensaios,"Picon-Vallin, Beatrice","R$                 59,90","R$                       29,95"
A cidade do primeiro renascimento,"Calabi, Donatella","R$                 54,90","R$                       27,45"
A cidade do século vinte,"Secchi, Bernardo","R$                 69,90","R$                       34,95"
A cidade do século XIX,"Zucconi, Guido","R$                 54,90","R$                       27,45"
A cidade e o arquiteto,"Benevolo, Leonardo","R$                 44,90","R$                       22,45"
A cidade imaginária,,"R$                 64,90","R$                       32,45"
A cinética do invisível,"Bonfitto, Matteo","R$                 69,90","R$                       34,95"
A coluna dançante,"Rykwert, Joseph","R$               139,90","R$                       69,95"
A construção do sentido na arquitetura,"Netto, J. Teixeira Coelho","R$                 49,90","R$                       24,95"
A Cor do inconsciente,"Nogueira, Isildinha Baptista","R$                 44,90","R$                       22,45"
A criação científica,"Moles, Abraham","R$                 74,90","R$                       37,45"
A crise mundial da educação,"Coombs, Philip H.","R$                 64,90","R$                       32,45"
A crítica de um teatro crítico,"Patriota, Rosangela","R$                 69,90","R$                       34,95"
A dança e o agit-prop,"Ropa, Eugenia Casini","R$                 69,90","R$                       34,95"
A descoberta da Europa pelo Islã,"Lewis, Bernard","R$                 99,90","R$                       49,95"
A desconstrução do Caos,,"R$                 64,90","R$                       32,45"
A disposição para o assombro,"Nosek, Leopold","R$                 84,90","R$                       42,45"
