Título,"Preço decapa",% Desconto,"Preço comdesconto"
100 % CHOCOLATE - 30 DELICIOSAS RECEITAS COM CHOCOLATE,"R$71,00","60,00%","R$28,40"
33 DIAS PARA ACALMAR A MENTE E DESPERTAR SUA MELHOR VERSÃO,"R$52,00","50,00%","R$26,00"
"99 FORMAS DE CORTAR, COSTURAR E ENFEITAR SEU JEANS","R$74,00","70,00%","R$22,20"
"ABC DAS ORQUIDEAS, O","R$75,00","60,00%","R$30,00"
ADOBE DREAMWEAVER CC,"R$91,00","70,00%","R$27,30"
ADOBE ILLUSTRATOR,"R$127,00","70,00%","R$38,10"
ADOBE INDESIGN,"R$127,00","70,00%","R$38,10"
ADOBE PHOTOSHOP,"R$127,00","70,00%","R$38,10"
"AGIR BEM E BOM - ETICA ONTEM, HOJE E AMANHA","R$45,00","60,00%","R$18,00"
"AGUAS DE COMER: PEIXES, MARISCOS E CRUSTACEOS DA BAHIA","R$47,00","70,00%","R$14,10"
ALBUM DE FAMILIA - A IMAGEM DE NOS MESMOS,"R$113,00","70,00%","R$33,90"
ALEGORIAS BRASILEIRAS,"R$249,00","60,00%","R$99,60"
ALEGRIA NA COZINHA FESTAS SAUDAVEIS E DIVERTIDAS,"R$119,00","50,00%","R$59,50"
ALEGRIA NA COZINHA: LANCHES DIVERTIDOS,"R$52,00","50,00%","R$26,00"
ALEM DAS GONDOLAS,"R$44,00","50,00%","R$22,00"
"ALENTEJO, ALEM MAR: INFLUENCIAS E TRADICAO NA COZINHA","R$147,00","60,00%","R$58,80"
ALFAIATARIAS: RADIOGRAFIA DE UM OFÍCIO INCOMPARÁVEL,"R$142,90","50,00%","R$71,45"
ALGUMA COISA ACONTECE...A CIDADE DE SAO PAULO EM 2,"R$92,00","70,00%","R$27,60"
"ALIMENTAÇÃO & NUTRIÇÃO: COZINHA SAUDÁVEL, CARDÁPIO EQUILIBRAD",", AR$LI2M3,E0N0T","S SE6G0U,0R0O%S","R$9,20"
ALIMENTACAO SAUDAVEL SEM GLUTEN,"R$94,00","60,00%","R$37,60"
ALIMENTAÇÃO SAUDÁVEL: PERGUNTAS E RESPOSTAS AO SABOR DA CIÊNC,"AR$50,00","50,00%","R$25,00"
