1984 - A DISTOPIA DO INDIVÍDUO,,,,,
SOB CONTROLE,Evanir Pavloski,R$,"46,00",R$,"23,00"
A (RE)PRODUÇÃO DE,,,,,
IDENTIDADES SOCIAIS: na,,,,,
comunidade e na escola,Neiva Maria Jung,R$,"32,00",R$,"16,00"
A ADOÇÃO EM RELAÇÕES,,,,,
HOMOAFETIVAS - 2.ed.,Maria Cristina Rauch Baranoski,R$,"50,00",R$,"25,00"
A DESIGUALDADE HEREDITÁRIA:,,,,,
origem e trajetótia no Brasil,Marcio Pochmann,R$,"50,00",R$,"25,00"
A FORMAÇÃO DO PROFISSIONAL,,,,,
EDUCADOR AMBIENTAL:,,,,,
"reflexões, possibilidades e",,,,,
constatações - 2.ed.,Angélica Góis Morales,R$,"40,00",R$,"20,00"
A LUZ E ALGUMAS DE SUAS,,,,,
TECNOLOGIAS,Carlos Alberto dos Santos (org.),R$,"40,00",R$,"20,00"
A PAISAGEM COMO PATRIMÔNIO,,,,,
CULTURAL: Campos Gerais e,,,,,
matas com Araucária no Paraná,Cicilian L. Löwen Sahr (Org.),R$,"35,00",R$,"17,50"
A POLÍTICA SOCIAL NA AMÉRICA,"Lucia Cortes da Costa, Vera Maria",,,,
DO SUL: perspectivas e desafios no,Ribeiro Nogueira e Vini Rabassa da,,,,
século XXI,Silva (Orgs.),R$,"44,00",R$,"22,00"
A PROTEÇÃO JUDICIAL DO,,,,,
PATRIMÔNIO CULTURAL,Giovanna Paola Primor Ribas,R$,"42,00",R$,"21,00"
ANÁLISE SENSORIAL,Luciana de Souza Neves,,,,
DESCRITIVA QUANTITATIVA:,Ellendersen e Gilvan Wosiacki,,,,
estatística e interpretaçao,(Orgs.),R$,"22,00",R$,"11,00"
APROXIMAÇÃO ENTRE,"Angélica Góis Morales, Cristina",,,,
UNIVERSIDADE E ESCOLA NA,Lúcia Sant'Ana Costa-Ayub e,,,,
FORMAÇÃO DE PROFESSORES,Mellisa K. F. de Souza Nogueira,,,,
DE BIOLOGIA,(Orgs.),R$,"32,00",R$,"16,00"
ARTES VISUAIS: leitura de,,,,,
imagens na escola,Ana Luiza Ruschel Nunes (Org.),R$,"55,00",R$,"27,50"
AUTOAVALIAÇÃO DE ESCOLAS:,,,,,
"alinhavando sentidos, produzindo",,,,,
significados,Mary A. Brandalise,R$,"35,00",R$,"17,50"
AVALIAÇÃO EDUCACIONAL:,,,,,
"Interfaces de conceitos, Termos e",,,,,
Perspectivas,Mary Ângela Teixeira Brandalise,R$,"49,00",R$,"24,50"
AVANÇOS DA MATEMÁTICA NO,,,,,
BRASIL,Clóvis Pereira da Silva,R$,"37,00",R$,"18,50"
BIOKIT UEPG: fotomicrografias e,,,,,
textos,Rosilda A. Kovaliczn (Org.),R$,"45,00",R$,"22,50"
BIOLOGIA APLICADA A,,,,,
EDUCAÇÃO FÍSICA - 2.ed.,Elvira Sampaio,R$,"30,00",R$,"15,00"
BRAS CUBAS AUTOR MACHADO,,,,,
DE ASSIS LEITOR,Regina Zilberman,R$,"42,00",R$,"21,00"
BRASIL SEM,,,,,
