A dinâmica da consciência: William James revisitado,Renato Rodrigues Kinouchi,"R$    32,00","R$       16,00"
A filosofia natural de Benjamin Franklin: traduções de cartas e ensaios sobre a eletricidade e,aB rluezno Arsioli Moura,"R$    36,00","R$       18,00"
"Abordagens em Ciência, Tecnologia e Sociedade","Cristina Campos, Maria Gabriela S. M. C. Marinho, Marko Monteir",", R$af  a  e4l8 d,0e0 B","iRto$  D  i a  s 2, 4S,é0r0gi"
As Origens da Segunda Lei da Termodinâmica: entropia e probabilidade de estado,Katya Aurani,"R$    32,00","R$       16,00"
Aulas Virtuais Síncronas,Sílvia Dotta,"R$    32,00","R$       16,00"
Biologia Celular: Uma abordagem prática de ensino,"Arnaldo Rodrigues dos Santos Junior, Christiane Bertachini Lombell","R$    72,00","R$       36,00"
Ciência e tecnologia ambiental,"Andrea de Oliveira Cardoso, Eduardo Lucas Subtil, Roseli Frederigi","eRn$a s 1s0i,8 W,0a0l","irR M$  a  n  t 5o4v,a0n0i"
"Conhecimento, cultura e circulação de ideias na América Colonial Luso-hispânica",Márcia Helena Alvim,"R$    44,00","R$       22,00"
Contém Química - A leitura desse livro pode causar dependência,"Janaina de Souza Garcia, Paula Homem de Mello","R$    24,00","R$       12,00"
Contém Química - Venda Controlada - Apenas para curiosos,"Hugo Barbosa Sufredini, Janaina de Souza Garcia","R$    24,00","R$       12,00"
Contém Química: 100% natural,"Janaina de Souza Garcia, Paula Homem de Mello","R$    24,00","R$       12,00"
Contém Química: preparado para você,"Janaina de Souza Garcia, Paula Homem de Mello","R$    24,00","R$       12,00"
CuriosaMente: descobrindo a neurociência,"Edgard Pereira Neves, Maria Teresa Carthery-Goulart, Roberta Roq","eR $B a  r 2a4d,e0l0","R$       12,00"
Difusão de Políticas Públicas,"Carlos Aurélio Pimenta de Faria, Denilson Bandeira Coêlho, Sidney","aRrd$  d  a 6 8Si,l0v0a","R$       34,00"
Dinâmica do Vôo Espacial,Maria Cecília França de Paula Santos Zanardi,"R$    56,00","R$       28,00"
Entre a geografia e o patrimônio,Felipe Bueno Crispim,"R$    56,00","R$       28,00"
Filosofia Latino-Americana a partir de Enrique Dussel,Daniel Pansarelli,"R$    40,00","R$       20,00"
Fundamentos de astronáutica e suas aplicações - Vol. 1,"Maria Cecília França de Paula Santos Zanardi, Sandro da Silva Fern","nRd$e s 112,00","R$       56,00"
Fundamentos de astronáutica e suas aplicações - Vol. 2,"Maria Cecília França de Paula Santos Zanardi, Sandro da Silva Fern","nRd$e s 112,00","R$       56,00"
"História das Ciências, Epistemologia, Gênero e Arte","Breno Arsioli Moura, Thais Cyrino de Mello Forato","R$    56,00","R$       28,00"
"Historiografia da revolução científica: Alexandre Koyré, Thomas Kuhn e Steven Shapin",Francismary Alves da Silva,"R$    44,00","R$       22,00"
Introdução à Física Quântica,"Armando Corbani Ferraz , Ronei Miotto","R$    44,00","R$       22,00"
Justiça e competição eleitoral,Vitor Marchetti,"R$    44,00","R$       22,00"
Matemática e Física:  nos caminhos da ciência,"Maria Inês Ribas Rodrigues, Natália Pimenta","R$    24,00","R$       12,00"
Novos horizontes em política científica e tecnológica,"Cristina Campos, Marko Monteiro, Rafael de Brito Dias","R$    40,00","R$       20,00"
O Brasil pós-recessão: das origens da crise às perspectivas e desafios futuros,"Fábio Henrique Bittes Terra, Daniela Magalhães Prates","R$    52,00","R$       26,00"
O que é ser cientista social,"Adriana Capuano de Oliveira, Marilda Aparecida de Menezes","R$    24,00","R$       12,00"
Política externa como ação afirmativa: projeto e ação do governo Lula na África (2003-2006),Irene Vida Gala,"R$    68,00","R$       34,00"
Sem Preconceito: conversas sobre religião e ciência,Ana Keila Mosca Pinezi,"R$    24,00","R$       12,00"
"Sindicalismo e reforma da previdência na América Latina: executivo, legislativo e sindicatos",aS iAdnrgeeyn Jtainrda dea n Soi lBvraasil,"R$    48,00","R$       24,00"
