ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
9788584800933,40 ANOS: DESIGN CERAMICO: UNIVERSIDADE FEDERAL DO PARANÁ (1975-2015),"FERNANDES, DULCE MARIA PAIVA","R$    120,00","R$         60,00"
9788573351804,ACOES E RELACOES DE PODER,SOMA NETO JOÃO,"R$      35,00","R$         17,50"
9788584801558,"AD ASTRA, PER ASPERA","CROWL,HARRY","R$      40,00","R$         20,00"
9788573350661,"ADULTO DIANTE DA CRIANCA DE 0 A 3 ANOS, O","LAPIERRE, ANDRE","R$      40,00","R$         20,00"
12648,AGENDA 2021 - RECONSTRUIR: COMUNIDADE E SOLIDARIEDADE,UFPR,"R$      35,00","R$         17,50"
9788584800230,"AGRICULTOR A FARMER, DE","SILVA, CLAITON MARCIO DA","R$      30,00","R$         15,00"
8573350881,ALCOOL CARBURANTE - UMA ESTRATEGIA BRASILEIRA,"LIMA, LEO DA ROCHA","R$      31,00","R$         15,50"
9788573353037,ALFABETOS: ENSAIOS DE LITERATURA,"MAGRIS, CLAUDIO","R$      58,00","R$         29,00"
9788584800278,"AMERICA LATINA SOCIEDADE E MEIO AMBIENTE: TEORIAS, RETORICAS E CONFLITOS EM","FELSOERNIAVNOIL, VDIMEANSTO","R$      65,00","R$         32,50"
9788584800919,AMERICA LATINA: HISTORIA E LITERATURA,"MELO, ANA AMELIA M. C. DE","R$      50,00","R$         25,00"
9788573350777,ANALISE EXPERIMENTAL DO COMPORTAMENTO  ED. 6,"GOMIDE, PAULA INEZ CUNHA","R$      25,00","R$         12,50"
9788573352757,"ANATOMIA DA MELANCOLIA, A - VOL 1","BURTON, ROBERT","R$      50,00","R$         25,00"
9788573352931,"ANATOMIA DA MELANCOLIA, A - VOL 3","BURTON, ROBERT","R$      65,00","R$         32,50"
9788565888295,"ANATOMIA DA MELANCOLIA, A - VOL 4","BURTON, ROBERT","R$    120,00","R$         60,00"
8570414536,"ANGUSTIA DA ACAO - POESIA E POLITICA EM DRUMMOND, A","SAID, ROBERTO","R$      25,00","R$         12,50"
