Título,Autor,"Preço decapa","Preço comdesconto"
(Bio)Ética Ambiental,José Roque Junges,"17,00","8,50"
10 Ensaios de Bioética,José Roberto Goldim,"20,00","10,00"
"A ciência é masculina? É, sim senhora! - 9a ed",Áttico Chassot,"20,00","10,00"
Aristóteles - Um ensaio,José Nedel,"24,00","12,00"
"Arte das controvérsias, A",Gottfried Wilhelm Leibniz,"150,00","75,00"
Bioética - Segundo o enfoque da filosofia do direito,Francesco D Agostino,"69,00","34,50"
Biopolítica: Um mapa conceitual,Laura Bazzicalupo,"45,00","27,00"
Bioquímica - 6a ed.,Romeo Ernesto Riegel,"65,00","39,00"
Caminhos da Ciência - Uma História da Física,Silvio Calafati Moysés,"64,00","44,80"
Caminhos de Santiago - Caminho Francês - Desenhos de um arquite,oJosé María Plaza Escrivá,"95,00","47,50"
Carboidratos nutracêuticos e/ou prebióticos,Guido Edgar Wenzel,"50,00","25,00"
Contra a comunicação,Mario Perniola,"21,00","10,50"
"Construção mediada da realidade, A",Nick Couldry e Andreas Hepp,"120,00","84,00"
Corpos e almas - Uma história da pessoa na Idade Média,Jérôme Baschet,"130,00","78,00"
Da filosofia da era imperial à antiguidade tardia,Riccardo Chiaradonna,"85,00","51,00"
Das origens a Sócrates,Mauro Bonazzi,"85,00","51,00"
Das pedras aos lambrequins - A preservação do patrimônio arquitet,Annicao L eú cuirab Ganooel zneor  RMS ediroa s  éculo,"X55,00","38,50"
Depois de Hegel - A filosofia alemã de 1840 a 1900,Frederick C. Beiser,"78,00","39,00"
"Descoberta dos vínculos sociais, A - Os fundamentos da solidarieda",eLuiz Inacio Gaiger,"44,00","22,00"
Design - Quando todos fazem design,Ezio Manzini,"85,00","51,00"
"Desindustrialização brasileira, A",André Filipe Zago de Azevedo,"39,00","19,50"
"Destino, providência, predestinação - Do mundo antigo ao cristianis",Aoldo Magris,"150,00","90,00"
"Detração, A - Breve ensaio sobre o maldizer",Leandro Karnal,"25,00","15,00"
Difícil tolerância - A consciência de culturas em regimes democrátic,Ysves Charles Zarka,"24,00","12,00"
Dignidade - Sua história e significado,Michael Rosen,"47,00","23,50"
Dignidade humana e autonomia pessoal - Valores democráticos no,oMnitcehxateol  dQausa cniêtencias da vida,"39,00","19,50"
"Do cinematográfico ao televisivo: Metatelevisão, linguagem e temp",Mraalirdiaod Cearlón,"48,00","24,00"
"Enciclopédia do design, A",Mel Byars,"360,00","180,00"
Epistemologia da bioética - Ensaios de hermenêutica crítica,José Roque Junges,"33,00","23,10"
Escritos de teoria do direito,Adolf Julius Merkl,"74,00","37,00"
"Existências penduradas - Selfies, retratos e outros penduricalhos",Norval Baitello Junior,"28,00","18,80"
"Expansão da metafísica, A",Miklos Veto,"130,00","78,00"
"Filosofia estrutural-sistematica, A - Uma análise interpretativo-siste",Wáteicllaistony Carvalho Viana,"54,00","32,40"
"FIM dos direitos humanos, O",Costas Douzinas,"83,00","41,50"
Hegel e Nietzsche: A ética cristã concebida pelo amor e o destino,Adilson Felicio Feiler,"27,00","13,50"
Idadismo - Um mal universal pouco percebido,Egidio Lima Dórea,"18,00","12,60"
"Igreja Católica, A: Essência, realidade, missão",Walter Kasper,"84,00","42,00"
"Imaginação analógica, A - A teologia cristã e a cultura do pluralismo",David Tracy,"76,00","38,00"
Jesuítas e Ilustração - Rupturas e continuidades,José Eduardo Franco (Org.),"68,00","34,00"
Metafísicas rebeldes - Gênese e estruturas de uma ciência na Idade,Oélidviear Boulnois,"78,00","39,00"
"Midiatização da cultura e da sociedade, A",Stig Hjarvard,"62,00","37,20"
"Momento ético, O: Sensibilidade moral e educação médica",Alfredo Semberoiz,"50,00","25,00"
Multiletramento em teoria e prática - Desafios para a escola de hoj,Petrilson Pinheiro,"48,00","24,00"
"Objetividade científica e seus contextos, A",Evandro Agazzi,"135,00","94,50"
Oráculos: entre ética e governança dos algoritmos,Paolo Benanti,"33,00","23,10"
"Pena e o espartilho, A",Cecília Prada,"30,00","15,00"
"Período helenístico, O",Emidio Spinelli,"85,00","51,00"
Platão e Aristóteles,Franco Trabattoni,"85,00","51,00"
"Pessoa sexual, A - Por uma antropologia católica renovada",Todd A. Salzman e Michael G. L,"wle9r8,00","49,00"
Pessoas: Ensaios sobre a diferença entre algo e alguém,Robert Spaemann,"65,00","32,50"
Quem pensas tu que eu sou?,Abrão Slavutzky,"20,00","10,00"
Radicalizar a democracia - Proposições para uma refundação,Dominique Rousseau,"35,00","17,50"
Reflexões para jovens advogados,Nestor Forster,"35,00","17,50"
Resistência dos materiais e vasos de pressão - 2a ed.,Ademar Gilberto Groehs,"78,00","46,80"
Sobre a estupidez - Três ensaios,"Robert Musil , Dietrich Bonhoef","er e2 J4o,h00ann",". Erdma1n4n,40"
Sujeito medieval / moderno - Texto e governo na idade média,Peter Haidu,"89,00","44,50"
Tomás de Aquino - Um ensaio,José Nedel,"20,00","10,00"
Trabalho e tecnociência na ética filosófica contemporânea,Atilio Machado Peppe,"49,00","34,30"
"Virtudes dos nossos vícios, As (Uma singela defesa da fofoca, da gro",Esemriray se  Wde sotuatcrootst maus hábitos),"63,00","31,50"
