"",,,,,
"",,LISTA DE LIVROS,,,
"",,"Festa Virtual do Livroda USP 2021",,,
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO",,
Descobrindo a aprendizagem baseada em problemas,"Malone Santos Pinheiro, Maria Eliane de Andrade, Ricardo LuizCavalcanti de Albuquerque Júnior","35,00","24,50",,
"Desenvolvimento humano e educação: Contribuições para a educação infantil eo primeiro ano do ensino fundamental","Silviane Barbato Maria, Fernanda Farah Cavaton","43,00","30,00",,
"Direito das sucessões: comentários ao código civil abordando as questõespolêmicas à luz da jurisprudência e da doutrina","Lucivânia Guimarães Salles, Marcos Feitosa Lima","35,00","24,00",,
Educação em enfermagem: métodos práticos e pesquisa,"Maria da Pureza Ramos de Santa Rosa , Carine Santana FerreiraMarques , Simone Silveira Amorim","30,00","15,00",,
Educação e teoria ator-rede: fluxos heterogêneos e conexões híbridas,"Kaio Eduardo de Jesus Oliveira, Cristiane de Magalhães Porto","36,00","25,00",,
"Educação no Ciberespaço: novas configurações, convergências e conexões","Cristiane Porto,  J. António Moreira","35,00","24,50",,
"Educadores de Sergipe à Luz da República 1911 - 1971 (re)ConstruindoTrajetórias","Jouberto Uchôa de Mendonça, Maria Lúcia Marques Cruz e Silva","150,00","100,00",,
"Estratégia: Definição, tradução, implementação e revisão (conceituação etutorial passo a passo)",Humberto Santos Filho,"32,00","22,00",,
Guia de bolso - Avaliação nutricional nas diversas fases da vida,"Hugo José Xavier Santos ,Tatiana Maria Palmeira dos Santos,Cynthia Barbosa Albuquerque dos Santos","26,00","10,00",,
Homem e Natureza: Entrelaçando,Ajibolá Isaú Badirú,"30,00","20,00",,
"Investigação Qualitativa: Inovação, Dilemas e Desafios - Volume 1","António Pedro Costa, Francislê Neri de Souza, Dayse Neri deSouza","30,00","20,00",,
"Investigação Qualitativa: Inovação, Dilemas e Desafios - Volume 2","António Pedro Costa, Francislê Neri de Souza, Dayse Neri deSouza","30,00","20,00",,
Mídia e Educação: espaços e (co)relaçoes de conhecimentos,"Ronaldo Nunes Linhares, Cristiane Porto Valéria Freire","32,00","22,00",,
"Meio ambiente em interdisciplinaridade: teorias, metodologias e práticas",Diego Freitas Rodrigues (Org.),"32,00","18,00",,
"O ""pardo"" Antonio Ferreira Cesarino (1808-1892): e o trânsito das mercês",Daniela do Carmo Kabengele,"35,00","24,00",,
Processos de extração e purificação de,"Álvaro Silva Lima, César Costa Pinto Santana (Orgs.)","55,00","38,50",,
"História e memória do seminário de educadoras cristãs: as ações educacionaisde Martha Hairston 1953-1979",Maria de Lourdes Porfírio Ramos Trindade dos Anjos,"35,00","20,00",,
Revista piauí: um acontecimento no arquivo de brasilidade,Pedro Henrique Varoni de Carvalho,"36,00","15,00",,
Educação e Cibercultura: no rastro das pesquisas do grupo Educaciber,MARTHA KASCHNY BORGES,"35,00","20,00",,
EDUCIBER: Diálogos ubíquos para além da tela e da rede,"Cristiane Porto, André Luiz Alves, Marlton Fontes Mota (Org)","38,00","26,00",,
"Pesquisa qualitativa em educação, comunicação e saúde: proposições,experiencias e resultados","Andréa Karla Ferreira Nunes,  Ronaldo Nunes Linhares, AntónioPedro Costa (Org.)","30,00","20,00",,
