Título,Autor,Preço de capa,Preço com desconto
A ÁRVORE DA CHUVA,Agnès de Lestrade,"41,00","R$20,50"
A CADEIRA QUE QUERIA SER SOFÁ E OUTROS CONTOS,Clovis Levi,"48,00","R$24,00"
A PEQUENA TERRA DE PAPEL,Agnès de Lestrade,"41,00","R$20,50"
"ABRACINHO, ABRAÇÃO: QUEM NÃO GOSTA DE ABRAÇO?",Pedro Sarmento,"37,00","R$18,50"
ACHAZ E O MISTÉRIO DO SORVETE,Renato Caleffi & Alexandre Carvalho,"41,00","R$20,50"
ACHAZ NO SÍTIO DA BANANA VERDE,Renato Caleffi & Alexandre Carvalho,"41,00","R$20,50"
BELÉ SALSICHA,Ana Sampaio,"39,00","R$19,50"
BELÉ E GATUCHA,Ana Sampaio,"39,00","R$19,50"
BORBOLETA DO DIA,Christian Merveille,"41,00","R$20,50"
CHAPEUZINHINHO LISTRADO - LITTLE STRIPED RIDING HOOD,Ana Paula de Abreu,"48,00","R$24,00"
CONTOS E MÚSICAS DA ÁFRICA,Souleymane Mbodj,"43,00","R$21,50"
CORAGEM,Ingrid Chabbert & Dani Torrent,"41,00","R$20,50"
DEU BRANCO,Regina Gonçalves,"41,00","R$20,50"
DIARABI E MANSA,Souleymane Mbodj,"45,00","R$22,50"
ECOZOOBOL,Regina Gonçalves,"41,00","R$20,50"
ERA UMA VEZ UM BULDOGUE FRANCÊS,Ana Paula de Abreu,"43,00","R$21,50"
ESTE LIVRO SENTE CÓCEGAS,Regina Gonçalves,"43,00","R$21,50"
IEMANJÁ,Sabina Alvarez Schurmann,"43,00","R$21,50"
IRUPÉ: A LENDA DA VITÓRIA-RÉGIA,Pedro Sarmento,"41,00","R$20,50"
"JULIÃO, TICO E O BALÃO",Ana Paula de Abreu,"39,00","R$19,50"
"JULIÃO, TICO E O BALÃO - JULIAN, TICO AND THE BALLOON",Ana Paula de Abreu,"45,00","R$22,50"
KIRIKU E A FEITICEIRA,Michel Ocelot,"48,00","R$24,00"
KIRIKU E A GIRAFA,Michel Ocelot & Bénédicte Galup,"39,00","R$19,50"
KIRIKU E A HIENA NEGRA,Michel Ocelot & Philippe Andrieu,"39,00","R$19,50"
KIRIKU E AS SOMBRAS,Michel Ocelot,"39,00","R$19,50"
KIRIKU E O BÚFALO DE CHIFRES DE OURO,Michel Ocelot & Philippe Andrieu,"39,00","R$19,50"
KIRIKU E O COLAR DA DISCÓRDIA,Michel Ocelot,"37,00","R$18,50"
LUZIA RELUZIA POESIA,Regina Gonçalves,"41,00","R$20,50"
MANDIOCA: A HISTÓRIA DO PARECIDO DIFERENTE,Pedro Sarmento,"43,00","R$21,50"
MARIANA,Ana Paula de Abreu,"37,00","R$18,50"
MARIA PRETA,Otávio Júnior,"41,00","R$20,50"
O LIVRO APAIXONADO,Cédric Ramadier,"39,00","R$19,50"
