"",Contato: César Xavier,,
Título,Autor,Preço de capa,"Preço com 50% dedesconto"
"Abstrações em movimento: Concretismo, Neoconcretismo e Tachismo",Rodrigo Vivas,"R$ 39,00","R$19,50"
Alegre Vomito,Raul Machado,"R$ 27,00","R$13,50"
Além da Pureza Visual,Ricardo Basbaum,"R$ 49,00","R$24,50"
Algumas exposições exemplares: as salas de exposição na São Paulo de 1905 a 1930,Rejane Cintrão,"R$ 46,00","R$23,00"
Arte contemporânea e docência com crianças,Susana Rangel Vieira da Cunha e Rodrigo Saballa de,"R$ 54,00","R$27,00"
"Amor pela Arte, O",Pierre Bourdieu e Alain Darbel,"R$ 58,00","R$29,00"
"Fenda, A",Marco Antonio de Abreu Scapini,"R$ 46,00","R$23,00"
E se as cidades fossem pensadas por mulheres,Laura Sito e Mariana Felix,"R$ 41,00","R$20,50"
Na minha casa há um leão,Tatiana Cruz,"R$ 45,00","R$22,50"
"Antão, o insone",Tomé Cravan,"R$ 38,00","R$19,00"
Andarilhos,R. Tavares,"R$ 46,00","R$23,00"
Antonio Gramsci: Filologia e Política,"Alvaro Bianchi, Daniela Mussi e Sabrina Areco","R$ 47,00","R$23,50"
Arte e Literatura na Guerra Civil de Espanha,João Cerqueira,"R$ 40,50","R$20,25"
"Árvore Que Falava Aramaico, A",José Francisco Botelho,"R$ 31,00","R$15,50"
As três fontes das filosofias da história,Bertrand Binoche,"R$ 54,00","R$27,00"
Aquelas cartas,Winnie Bueno e Lanna Collares (orgs),"R$ 55,00","R$27,50"
A-Sós,Misael Luiz Inácio,"R$ 25,00","R$12,50"
Belas Artes: estudos e apreciações,Félix Ferreira,"R$ 49,00","R$20,00"
Brasil em construção: as obras públicas na literatura do século XX,Sophia Beal,"R$ 49,00","R$24,50"
"Cadernos de solidão de Mário Lavale, Os",Arthur Telló,"R$ 40,00","R$20,00"
Cavalos de Cronos,José Francisco Botelho,"R$ 42,00","R$21,00"
Cinema e Mensagem: análise e assimilação,Nildo Viana,"R$ 31,00","R$15,50"
Como se mata uma ilha,Priscila Pasko,"R$ 30,00","R$15,00"
Comunicação e Imaginário na Cultura Infanto-Juvenil,Paulo A. C. Vasconcelos (org.),"R$ 23,00","R$11,50"
"Concepção Materialista da História do Cinema, A",Nildo Viana,"R$ 33,00","R$16,50"
"Continentes de dentro, Os",María Elena Morán,"R$ 45,00","R$22,50"
Contos holandeses (1839-1939),Daniel Dago,"R$ 59,00","R$29,50"
Crepusculário,Marcos Ferreira Santos,"R$ 31,00","R$15,50"
Critica da razão idolatrica,Ricardo Timm de Souza,"R$ 55,00","R$27,50"
Crônicas Atemporâneas,Fábio T. Torres,"R$ 29,50","R$14,75"
Cuidado com os poetas! Literatura e periferia na cidade de São Paulo,Lucía Tennina,"R$ 45,00","R$22,50"
De Dentro Para Fora,Sylvia Werneck,"R$ 45,00","R$22,50"
De um Fragmento ao Outro,Jean Baudrillard,"R$ 31,00","R$15,50"
Democracia e Desigualdade: registros críticos,"Carlos Machado, Danusa Marques, Thiago Trindade e","R$ 46,00","R$23,00"
Derrida e o labirinto de inscrições,Rafael Haddock-Lobo,"R$ 41,50","R$20,75"
"Derrida, desconstrução e democracia por vir: por uma crítica da violência para além do medo",Marco Antonio de Abreu Scapini,"R$ 50,00","R$25,00"
Demolicação da construção democrática no Brasil sombrio,Idalice Ribeiro Silva Lima e Regina Cristina de,"R$ 99,00","R$49,50"
"Desenho Cultivado das Criança, O: prática e formação de educadores",Rosa Iavelberg,"R$ 41,00","R$20,50"
Deus é brasileiro,Harrie Lemmens,"R$ 58,00","R$29,00"
Devoções Marginais: interfaces do imaginário religioso,José Carlos Pereira,"R$ 28,00","R$14,00"
"Dia em que Conheci Jim Morrison, O",Rogério de Almeida,"R$ 25,00","R$12,50"
Divisão sexual do trabalho no legistativo,Maria Luiza Walter Costa,"R$ 40,00","R$20,00"
"Distinção, A: crítica social do julgamento",Pierre Bourdieu,"R$ 110,00","R$55,00"
Do seu Pai,Pedro Fonseca,"R$ 54,00","R$27,00"
"Eficácia Simbólica do Sacrifício, A",José Carlos Pereira,"R$ 35,00","R$17,50"
Encenações,Thiago Sogayar Bechara,"R$ 24,00","R$12,00"
Encruzilhadas da democracia,Luis Felipe Miguel e Flávia Biroli,"R$ 44,00","R$22,00"
"Energia, Desenvolvimento e Sustentabilidade",Arilson Favareto e Rafael Moralez (org.),"R$ 56,00","R$28,00"
Entre Olhares e Leituras: uma abordagem da Bienal do Mercosul,Gabriela Motta,"R$ 49,00","R$24,50"
Entrefalas,Glória Ferreira (org.),"R$ 54,00","R$27,00"
Espaço e Gênero na Literatura Brasileira Contemporânea,Regina Dalcastagnè e Virgínia Maria Vasconcelos Leal,"R$ 36,00","R$18,00"
Espaços Possíveis na Literatura Brasileira Contemporânea,Regina Dalcastagné e Luciene Azevedo (orgs.),"R$ 38,00","R$19,00"
Estado e Desenvolvimento: política e relações internacionais no Brasil contemporâneo,"Helder Gordim da Silveira, Luciano Aronne de Abreu,","R$ 42,00","R$21,00"
Estela sem Deus,Jeferson Tenório,"R$ 40,00","R$20,00"
Fake News,Tatiana Dourado,"R$ 32,00","R$16,00"
Fada,Dyonelio Machado,"R$ 55,00","R$27,50"
"Ética do escrever - Kafka, Derrida e a Literatura como crítica da viôlencia",Ricardo Timm de Souza,"R$ 46,00","R$23,00"
Feminismos em Rede,"Danusa Marques, Daniela Rezende, Maíra KubíkMano, Rayza Sarmento, Viviane Gonçalves Freitas","R$ 49,00","R$24,50"
"História dos três pontinhos, A",Solano Guedes,"R$ 36,00","R$18,00"
Guia de nós dois,Élin Godois e Marcela Vitória,"R$ 29,90","R$14,95"
Heróis Olímpicos Brasileiros,Katia Rubio,"R$ 11,00","R$5,50"
História universal da angústia,Douglas Ceconello,"R$ 45,00","R$22,50"
"Homem infelizmente tem que acabar, O",Clara Corleone,"R$ 44,00","R$22,00"
"Identidades Contemporâneas: criação, educação e política",Paulo Roberto M. de Araújo,"R$ 28,00","R$24,00"
Imagens de controle,Winnie Bueno,"R$ 50,00","R$25,00"
Imagens de Cuba: a esperança na esquina do mundo,Marcos Ferreira Santos (org.),"R$ 12,50","R$6,25"
Imaginário e Redação: leituras possíveis,Angelina Batista,"R$ 23,00","R$11,50"
Incesto,Regina Biscaro,"R$ 22,50","R$11,25"
"Instante Eterno, O: o retorno do trágico nas sociedades pós-modernas",Michel Maffesoli,"R$ 39,50","R$19,75"
Instituições da Arte,Emerson Dionisio G. de Oliveira e Maria de Fátima,"R$ 49,00","R$24,50"
"Lado que não era visível para quem estava na estrada, O",Luís Roberto Amabile,"R$ 41,00","R$20,50"
La Cancha Infame - a história da prisão política no Estádio Nacional do Chile,Maurício Brum,"R$ 31,00","R$15,50"
"Laboratório de Gramsci, O",Alvaro Bianchi,"R$ 48,00","R$24,00"
Lícidas,Leonardo Antunes,"R$ 32,00","R$16,00"
Literatura e cidades,Regina Dalcastagnè e Gislene Barral (org.),"R$ 51,00","R$25,50"
Literatura e direitos humanos,"Regina Dalcastagnè, Paula Q. Dutra, Graziele","R$ 47,00","R$23,50"
Literatura e ditadura,Rejane Pivetta de Oliveira e Paulo C. Thomaz,"R$ 54,00","R$27,00"
Literatura e exclusão,Laeticia Jensen Eble e Regina Dalcastagnè (org.),"R$ 47,00","R$23,50"
Literatura e periferias,Regina Dalcastagnè e Lucía Tennina (org.),"R$ 51,00","R$25,50"
Literatura e Realismo em György Lukács,Ana Cotrim,"R$ 75,00","R$37,50"
Literatura e resistência,"Regina Dalcastagnè, Berttoni Licarião, Patrícia","R$ 45,00","R$22,50"
"Livro das Lendas, O",Gustavo César Marcondes,"R$ 15,00","R$7,50"
"Livro dos Labirintos, O",Patricio Dugnani,"R$ 24,50","R$12,50"
"Lugares de fala, lugares de escuta nas literaturas africanas, ameríndias e brasileira","Ana Lúcia Liberato Tettamanzy, Cristina Mielczarski","R$ 48,00","R$24,00"
Machado de Assis - Interprete da sociedade brasileira,Juracy Assmann Saraiva e Regina Zilberman,"R$ 55,00","R$27,50"
Manipulação Genética Humana e Direito Penal,Ana Elisa Liberatore S. Bechara,"R$ 48,00","R$24,00"
Memórias de uma Vênus Raptada,Majori Claro,"R$ 28,00","R$14,00"
Meninos e Meninas na Escola: um encontro possível?,Fabiana Cristina de Souza,"R$ 28,50","R$14,50"
"Mercado da Arte, O: mundialização e novas tecnologias",Raymonde Moulin,"R$ 32,00","R$16,00"
Mercado Exemplar: um estudo antropológico sobre a Bolsa de Valores,Lúcia Helena Alves Müller,"R$ 30,50","R$15,75"
Metamorfopsia da Educação: hiatos de uma aprendizagem real,Alexandre Dias Ramos e Rogério de Almeida (orgs.),"R$ 19,50","R$9,75"
"Moça do Internato, A",Nadiêjda Khvoshchínskaia,"R$ 46,00","R$23,00"
Modernidade e Modernismo no Brasil,Annateresa Fabris (org.),"R$ 59,00","R$29,50"
Migração e diversidade cultural na narrativa brasileira contemporânea,Maria Zilda Ferreira Cury e Cimara Valim de Melo,"R$ 51,00","R$25,50"
Mundividências: história de vida de migrantes professores,Maria Ignez Joffre Tanus,"R$ 19,00","R$9,50"
Não há amanhã,Gustavo Melo Czekster,"R$ 49,00","R$24,50"
Nietzsche no século XXI,Eduardo Nasser e Luís Rubira (orgs.),"R$ 54,00","R$27,00"
Nova carne para moer,Cristiano Bastos,"R$ 56,00","R$28,00"
"Novas Regras do Jogo, As: o Sistema da Arte no Brasil","Maria Amélia Bulhões (org.), Nei Vargas da Rosa,Bettina Rupp e Bruna Fetter","R$ 28,00","R$14,00"
Nota Amarela,Gustavo Melo Czekster,"R$ 50,00","R$25,00"
Novo conservadorismo brasileiro: de Reagan a Bolsonaro,Marina Basso Lacerda,"R$ 47,00","R$23,50"
"Obra de Arte na Época de sua Reprodutibilidade Técnica, A",Walter Benjamin,"R$ 38,00","R$19,00"
Olivetti Lettera 32,Carolina Panta,"R$ 46,90","R$23,45"
Olhares sobre o patrimônio cultural: reflexões e realidades,Marcelo Ribeiro (org.),"R$ 34,00","R$17,00"
Outros fazedores de Cinema: narrativas para uma poética da solidariedade,Alice Fátima Martins,"R$ 47,00","R$23,50"
Panorama do Pensamento Emergente,Cristiana Tejo (Org.),"R$ 44,00","R$22,00"
Para o Alto e Avante: uma análise do universo criativo dos super-heróis,Iuri Andreas Reblin,"R$ 29,50","R$14,75"
Paraisópolis,José Marques Sarmento,"R$ 22,50","R$11,25"
"Parega e Paralipomena, Seis Ensaios",Arthur Schopenhauer,"R$ 39,00","R$19,50"
"Parega e Paralipomena, Seis Ensaios (Bilíngue)",Arthur Schopenhauer,"R$ 60,00","R$30,00"
Por uma crítica feminista,Eurídice Figueiredo,"R$ 55,00","R$27,50"
Poéticas da hospitalidade: ensaios para uma filosofia do acolhimento,André Brayner De Farias,"R$ 39,00","R$19,50"
"Prego e o Rinoceronte, O",Regina Dalcastagnè,"R$ 54,00","R$27,00"
Por uma Sociologia do Turismo,Emerson Sena da Silveira,"R$ 33,00","R$16,50"
"Produção da Crença, A: contribuição para uma economia dos bens simbólicos",Pierre Bourdieu,"R$ 45,00","R$22,50"
"Projeto como Patrimônio não Construído, O",Rafael Barcelos Santos,"R$ 48,00","R$24,00"
Prosa pequena,Amilcar Bettega,"R$ 42,00","R$21,00"
Quadrinhos na Internet: abordagens e perspectivas,Márcia Veronezi,"R$ 31,00","R$15,50"
Quando a Arte encontra a Moda: a obra de Antoine Watteau na França do Século XVIII,Laura Ferrazza de Lima,"R$ 48,00","R$24,00"
"Quarto Fechado, O",Jane Soares de Almeida,"R$ 24,50","R$12,25"
Raça e eleições no Brasil,Luiz Augusto Campos e Carlos Machado,"R$ 38,00","R$19,00"
"Que resta das coisas, O",Ricardo Barberena (org.),"R$ 45,00","R$22,50"
"Roda da imaginação, A",Pedro Delgado,"R$ 24,50","R$12,25"
