1964: VISÕES CRÍTICAS DO GOLPE - DEMO,CRAICOI AN AEV RAERFROOR DMEA ST ONLOE PDOP,"LRIS$M   O    5  5E,D00.","R$      27,50"
1968: O DIÁLOGO É A VIOLÊNCIA - MOVIME,MTaOr iEa SRTibUeDirAo NdToI LV aEll eDITADURA,"MRIL$I T  A   R 5 5N,O00","RRA$S I L    27,50"
20 SONETOS,Sheila Hue,"R$       33,00","R$      16,50"
31 POETAS 214 POEMAS,Décio Pignatari,"R$       55,00","R$      27,50"
ABALOS NA TORRE DE MARFIM: DESCAMIN,HJoOsSé  EO lDímEpSiAo TBIeNnOtoS DA UNIVER,"RID$A  D   E  44,00","R$      22,00"
ACASOS E CRIAÇÃO ARTÍSTICA,Fayga Perla Ostrower,"R$       93,00","R$      46,50"
ACULTURAÇÕES: O VAZIO DA CULTURA O,MOi gDuEeLl AÍRlvIOar aDdAo  IBDoErNgoTñIDoADE,"R$       66,00","R$      33,00"
AETNA / ETNA,MATHEUS TREVISAM,"R$       50,00","R$      25,00"
"ÁFRICA, MARGENS E OCEANOS - PERSPEC",LIUVCAISL EDNEE H RISETGÓINRAIAL DSOCIAL,"R$     100,00","R$      50,00"
ÁFRICA-BRASIL - CAMINHOS DA LÍNGUA P,RCThUarGloUttEe SGAalves,"R$       55,00","R$      27,50"
ALGUNS ASPECTOS DA TEORIA DA POESI,PCaOuNloC FRraEnTcAh e EttDi. 4,"R$       58,00","R$      29,00"
"ALIENISTA, O ED. BILÍNGUE",Machado de Assis,"R$       33,00","R$      16,50"
ALINHAVANDO O TEMPO E TECENDO LEM,RMAaNriaÇ ASSol:a HnIgSeT PÓeRreIAirSa RDiAbSei rBoIBL,"ORT$E  C   Á  3R3IA,0S0","RD$O  S    B 1I6B,L5I0O"
ALMANAQUE: HISTÓRIAS DE CIÊNCIA E PO,JSuIaAn Nepote,"R$       66,00","R$      33,00"
"ALTAR E O TRONO, O - DINÂMICA DO POD",RIv aEnM T Oei xAeLirIEaNISTA,"R$     106,00","R$      53,00"
AMERICANOS,Brito Broca,"R$       22,00","R$      11,00"
"AMOR DA LÍNGUA, O",Jean-Claude Milner,"R$       49,00","R$      24,50"
ANÁLISE COMPUTACIONAL DE ESTRUTUR,SM:a CrcOoM L úAcPioL IBCitAteÇnÃcOou DrtO MÉTO,"OR $D  E   E  7L5E,0M0E","RTO$ S    F 3IN7,I5T0O"
ANÁLISES POLÍTICAS SOBRE O PODER JU,"ICeIÁllyR CIOo,o Ak SIn: aLtIoÇmÕiES DA CIÊN","IAR $P O   L  Í T5I0C,0A0","ORR$T  E   - A25M,0E0R"
ANCESTRAIS E SUAS SOMBRAS: UMA ETN,AGnRtoAnFioIA G DuAe rCreHirEoFIA KALAPAL,"ER $S E   U   9R3IT,0U0","LR M$O   R   T4U6,Á5R0I"
ANGÚSTIA E SOCIEDADE NA OBRA DE SIG,GUUNSDT FARVEOU ADDOLFO RAMOS,"R$       66,00","R$      33,00"
ANITA MALFATTI - CADERNOS DE DESENH,Anita Catarina Malfatti,"R$       55,00","R$      27,50"
ANOTAÇÕES SOBRE AS CORES,Ludwig Wittgenstein,"R$       55,00","R$      27,50"
ANOTAÇÕES SOBRE PINTURA DO MONGE,"PBiÓerBreO RyAc-kAmMaAnRsGA, AS","R$       73,00","R$      36,50"
ANTOLOGIA LÍRICA ANGOLANA: ROTEIRO,FÍNraIMncOisco Soares,"R$       44,00","R$      22,00"
APRENDA O LATIM MEDIEVAL: MANUAL PA,MA oUnMiq uGeR GAoNuDlleEt COMEÇO,"R$       73,00","R$      36,50"
ARQUITETURA DO CAFÉ  ED. 2,ANDRÉ ARGOLLO,"R$       66,00","R$      33,00"
ARRANJO,Carlos Almada,"R$       77,00","R$      38,50"
"ARTE DA COMPARAÇÃO, A: HOMENAGEM",JLoUrgIZe  CAoRli LOS DANTAS,"R$       66,00","R$      33,00"
"ARTE DA MEMÓRIA, A",Frances A. Yates,"R$       99,00","R$      49,50"
ARTE DE ATOR - DA TÉCNICA À REPRESEN,"LAUÇÍSÃ O,T AÁVIO BURNIER","R$       66,00","R$      33,00"
"ARTE DE ATOR, A - DA TÉCNICA À REPRES",LNUTÍSA ÇOÃTOÁVIO BURNIER,"R$       66,00","R$      33,00"
"ARTE DO CINEMA, A: UMA INTRODUÇÃO",Kristin Thompson,"R$     300,00","R$    150,00"
ARTES E OFÍCIOS DE CURAR NO BRASIL,Sidney Chalhoub,"R$       66,00","R$      33,00"
"ARTÍFICES DA CIDADANIA: MUTUALISMO, E",MUACRACÇEÃLO  EM TARCA CBOARLHDO,"R$       55,00","R$      27,50"
ÁS DE COLETE ED. 2,ZUCA SARDAN,"R$       38,00","R$      19,00"
"ASCENSÃO DA LEVEDURA, A - COMO UM SI",NPicLhEoSla sF UP.N MGoOn eMyOLDOU NOS,"AR C$I V   I L  I5Z2A,0Ç0Ã","R$      26,00"
ASSOMBRAÇÕES DE UM PADRE REGENTE,M DAIOGGDOA RANICTCÔINIO FEIJÓ (1784,"- R18$4  3  )   55,00","R$      27,50"
AUTOBIBLIOGRAFIAS: SOLICITAÇÃO DO LI,RAOBE NLA B FAIRCRÇOÃOS  BDAEP MTAISCTHAADO,"ER $A S   S  I 7S7,00","R$      38,50"
AVALIAÇÃO DE QUARTA GERAÇÃO,Egon G. Guba,"R$       95,00","R$      47,50"
AVANÇOS CONCEITUAIS EM NUTRIÇÃO HU,VAaNldAem - iCroIÊ CNaCrlIoAs  ES gTaErCbiNerOi LOGI,"R D$E    A  1L9IM8,E0N0","ORS$      99,00"
"AVENTURA DE CONTAR-SE, A",Margareth Rago,"R$       66,00","R$      33,00"
"BAKHTIN, DIALOGISMO E CONSTRUÇÃO D",B SEETNHT BIDROAIT,"R$       66,00","R$      33,00"
BASES DO AUTORITARISMO BRASILEIRO,DS.I M5ON SCHWARTZMAN,"R$       54,00","R$      27,00"
"BILAC, O JORNALISTA",ANTONIO DIMAS,"R$     187,00","R$      93,50"
BIOPLÁSTICOS: BIODEGRADÁVEIS & BIOBA,LEuDcia Helena Innocentini Mei,"R$       60,00","R$      30,00"
BOCA DO LIXO: CINEMA E CLASSES POPUL,NRuEnSo C EeDs.a 2r Abreu,"R$       55,00","R$      27,50"
BONS DIAS!,Machado de Assis,"R$       55,00","R$      27,50"
BRASIL NAS LETRAS DE UM PINTOR,LETICIA SQUEFF,"R$       73,00","R$      36,50"
BYRON E KEATS: ENTREVERSOS,AUGUSTO DE CAMPOS,"R$       44,00","R$      22,00"
CAFUNDÓ - A ÁFRICA NO BRASIL - LINGUA,CEAMR EL OSSO CVIOEGDTADE   ED. 2,"R$       82,00","R$      41,00"
CÁLCULO - EXERCÍCIOS RESOLVIDOS PAR,B OárSb aCrUa RdSe OHSo laDnEd aE XMAaTiaA TSe Eix eTir,"CRN$O   L  Ó  6G4I,C0A0","R$      32,00"
CANCIONEIRO,FRANCESCO PETRARCA,"R$     208,00","R$    104,00"
CANÇÕES DE DINORÁ DE CARVALHO - UM,FALNÁÁVLIOIS EC AINRTVEARLPHROETATIVA,"R$       33,00","R$      16,50"
CANÇÕES SEM METRO,RAUL POMPEIA,"R$       55,00","R$      27,50"
"CANTOS DE MALDOROR, OS",LAUTRÉAMONT,"R$       55,00","R$      27,50"
CAPITALISMO E COLAPSO AMBIENTAL,LUIZ MARQUES,"R$       99,00","R$      49,50"
CAPOEIRA ESCRAVA E OUTRAS TRADIÇÕE,C RAERBLOELSD EEUSG NÊON IROI OL ÍDBAEN JOAN SEOI,"OR$E ( 1S  8  0  89 0-, 0108","0R) $      45,00"
"CARNAVAL DAS LETRAS, O ED. 2",Leandro Affonso de Miranda Per,"irRa$       44,00","R$      22,00"
CARTA A D ALEMBERT  ED. 2,JEAN-JACQUES ROUSSEAU,"R$       49,00","R$      24,50"
CARTA DE ACHAMENTO DO BRASIL,PERO VAZ DE CAMINHA,"R$       24,00","R$      12,00"
CARTAS A CINCINATO,FRANKLIN TÁVORA,"R$       55,00","R$      27,50"
CARTAS ESCOLHIDAS,MICHELANGELO BUONARROT,"R$       55,00","R$      27,50"
CARTAS SOBRE ARQUITETURA,RAFAEL,"R$       53,00","R$      26,50"
"CASO DREYFUS, O - VERDADES E LENDAS",Alain Pagès,"R$       60,00","R$      30,00"
"CAVALARIA, A: DA GERMÂNIA ANTIGA À FR",DNOÇMAI NDIOQ USÉEC BUALROT HXÉIILEMY,"R$       99,00","R$      49,50"
CENAS DE RECONHECIMENTO NA POESIA,ARDERGI ANE DA SILVA DUARTE,"R$       55,00","R$      27,50"
CIDADÃOS MODERNOS - DISCURSO E REP,MEÓSENNICTA ÇZOÃOPP PI-OFLOÍTNITCANA,"R$       55,00","R$      27,50"
"CIDADE FELIZ, A",Francesco Patrizi da Cherso,"R$       44,00","R$      22,00"
"CIDADE QUE DANÇA, A - CLUBES E BAILES",LEeaGnRdOroS A NffOon RsoIO d eD EM JirAanNdEaI RPOer,"1irR8a8$1  - 1  9  6353,)00","R$      32,50"
"CIDADE, A - OS CANTOS E OS ANTROS",José Roberto do Amaral Lapa,"R$       55,00","R$      27,50"
CIÊNCIA - USE COM CUIDADO,Marcelo Leite,"R$       55,00","R$      27,50"
