Título Autor(es) /,Assunto,,Preço,Preço
Organizador(es),,,de,com
"",,,capa,desconto
"",,,R$,R$
2018 - Crônicas de um ano atípico crônica Martinho da Vila,,,"46,90","23,45"
A boca do muro Bruno Honorato,romance,,"42,90","21,45"
A magia das letras africanas - Angola e Moçambique: ensaios Carmen L. T.,ensaio:,,"49,90","24,95"
Secco,literatura,,,
"A noiva de Kebera, contos conto Aldino Muianga",,,"32,90","16,45"
"A triste história de Barcolino, o homem que não sabia morrer Lucílio Manjate",romance,,"34,90","17,45"
A viagem - v. 3 - Contos de Moçambique Tatiana Pinto,"romance,",,,
"",,,"29,90","14,95"
"",inf.,,,
Água doce Akwaeke Emezi,romance,,"52,90","26,45"
Aké: os anos de infância mem Wole Soyinka,ória,,"52,90","26,45"
As armadilhas da floresta - v. 2 - Contos de Moçambique Hélder Faife,"romance,",,,
"",,,"29,90","14,95"
"",inf.,,,
As visitas do Dr. Vald J e z oão Paulo,romance,,,
"",,,"49,90","24,95"
Borges Coelho,,,,
Asas quebradas Aldino Muianga,romance,,"44,90","22,45"
Canções  do caos - Vozes brasileiras A. Cecchi e,conto,,,
"",,,"34,90","17,45"
outras,,,,
C emi tério dos pássaros Adelino Timóteo,romance,,"44,90","22,45"
CineGrafias moçambicanas: memórias & crônicas & ensaios Carmen L. T.,ensaio:,,,
Secco e outros,cinema,,"42,90","21,45"
(orgs.),,,,
Clarinha e Berenice e o Dicionário do Inesperado romance Carolina Mondin,",",,,
"",,,"40,00","20,00"
"",inf.,,,
Condiçõe e s n e rvo s a s Tsi tsi,r omanc,,,
"",,,"52,90","26,45"
Dangarembga,,,,
Crônica da Rua 513.2 Paul Joã o o,romance,,,
"",,,"54,90","27,45"
Borges Coelho,,,,
"de terra, vento e fogo poesia Lica Sebastião",,,"29,90","14,95"
Esperança para voar t R u endo,romance,,,
"",,,"37,90","18,95"
Tavengerwei,,,,
Gungunhana e As mulheres do Imperador Ungulani Ba Ka,romance,,,
"",,,"52,90","26,45"
Khosa,,,,
Ilha Marcelo Jucá,"romance,",,,
"",,,"32,90","16,45"
"",inf.,,,
"Império, mito e mio  p ia: Moçambi que como invenção literária Francisco Noa",científico:,,,
"",,,"59,90","29,95"
"",literatura,,,
"José do Patrocínio, a pena da Abolição Tom Farias",biografia,,"49,90","24,95"
Kalimba romance Maria Celestina,",",,,
"",,,"29,90","14,95"
Fernandes,inf.,,,
"Kambas para sempre romance, Maria Celestina",,,,
"",,,"29,90","14,95"
Fernandes,inf.,,,
"",,,,,,,,,,
"",Kanova e o segredoda caveira - v. 5 - Contos de Moçambique,,"Pedro PereiraLopes",,"romance,inf.",,"34,90",,"17,45",
"",,,,,,,,,,
"","Leona, a filha do silêncio - v. 9 - Contos de Moçambique",,"MarceloPanguana",,"romance,inf.",,"39,90",,"19,95",
"",,,,,,,,,,
"",Mesmos barcos ou poemas de revisitação do corpo,,Sangare Okapi,,poesia,,"34,90",,"17,45",
"",,,,,,,,,,
"","Minha irmã, a serial killer",,"OyinkanBraithwaite",,romance,,"44,90",,"22,45",
"",,,,,,,,,,
"",Na aldeia dos crocodilos- v. 7 - Contos de Moçambique,,Adelino Timóteo,,"romance,inf.",,"39,90",,"19,95",
"",,,,,,,,,,
"",Nina tem medo de palhaço,,Walter de Sousa,,"romance,inf.",,"32,90",,"16,45",
"",,,,,,,,,,
"",Nós matamos o Cão Tinhoso!,,"Luís BernardoHonwana",,romance,,"38,90",,"19,45",
"",,,,,,,,,,
"","Nós, os do Makulusu",,"José LuandinoVieira",,romance,,"44,90",,"22,45",
"",,,,,,,,,,
"",Numa esquina do mundo: contos,,Mário Medeiros,,conto,,"44,90",,"22,45",
"",,,,,,,,,,
"",O bebê é meu,,"OyinkanBraithwaite",,romance,,"23,90",,"11,95",
"",,,,,,,,,,
"",O Brasil na poesia africana de língua portuguesa: antologia,,"A. de Moraes; V.Martin (orgs.)",,poesia,,"34,90",,"17,45",
"",,,,,,,,,,
"",O caçador de ossos - v. 8 - Contos de Moçambique,,"Carlos dosSantos",,"romance,inf.",,"39,90",,"19,95",
"",,,,,,,,,,
"",O campo literário moçambicano: tradução do espaço e formas de insílio,,"Nazir AhmedCan",,"ensaio:literatura",,"42,90",,"21,45",
"",,,,,,,,,,
"",O cão eos caluandas,,Pepetela,,romance,,"44,90",,"22,45",
"",,,,,,,,,,
"",O cão na margem,,"Luís CarlosPatraquim",,poesia,,"34,90",,"17,45",
"",,,,,,,,,,
"",O casamento misterioso de Mwidja - v. 4 - Contos de Moçambique,,"AlexandreDunduro",,"romance,inf.",,"34,90",,"17,45",
"",,,,,,,,,,
"",O caso de Pedro e Inês: Inês(quecível) até o fim do mundo,,"Francisco MacielSilveira",,poesia,,"29,90",,"14,95",
"",,,,,,,,,,
"",O desejo de Kianda,,Pepetela,,romance,,"44,90",,"22,45",
"",,,,,,,,,,
"",O domador de burros e outros contos,,Aldino Muianga,,conto,,"32,90",,"16,45",
"",,,,,,,,,,
"",Ojovem caçador e a velha dentuça,,Lucílio Manjate,,"romance,inf.",,"29,90",,"14,95",
