EDITORA MALÊ - FEIRA DA USP 2021,,,
Título,Autor,"Valor decapa","Valor comdesconto"
A adubada fecundidade e outros contos,Dany Wambire,"R$          39,90","R$          19,95"
A Cientista Guerreira do Facão Furioso,Fabio Kabral,"R$          48,90","R$          24,45"
A cor da demanda,Éle Semog,"R$          48,90","R$          24,45"
A lei do santo,Muniz Sodré,"R$          42,90","R$          21,45"
A lua na caixa d'água,Marcelo Moutinho,"R$          42,00","R$          21,00"
A mulher sobressalente,Dany Wambire,"R$          39,90","R$          19,95"
"A poesia negra-feminina de Conceição Evaristo, LíviaNatália e Tatiana Nascimento","Heleine Fernandes deSouza","R$          48,00","R$          24,00"
A pupila é preta,Cuti,"R$          42,00","R$          21,00"
Abliterações,Paulo Dutra,"R$          32,00","R$          16,00"
Água de Barrela,Eliana Alves Cruz,"R$          48,90","R$          24,45"
Akin: o rei do Igbo,Marcos Cajé,"R$          42,00","R$          21,00"
Amor e outras revoluções,"Org: Éle Semog | Autores:Conceição Evaristo,","R$          48,90","R$          24,45"
Antes que seja tarde para se falar de poesia,Leticia Brito,"R$          38,00","R$          19,00"
Aos meus homens,Marcelo Ricardo,"R$          44,00","R$          22,00"
Ashanti: nossa pretinha,Taís Espírito Santo,"R$          42,00","R$          21,00"
Aversão oficial: resumida,Paulo Dutra,"R$          35,90","R$          17,95"
Balé das emoções,Geni Guimarães,"R$          38,00","R$          19,00"
Beata: a menina das águas,Elaine Marcelina,"R$          38,00","R$          19,00"
Black Bazar - Alain Mabanckou,Alain Mabanckou,"R$          54,90","R$          27,45"
Bucala: a princesa do Quilombo do Cabula,"Autor: Davi Nunes |Ilustração: Daniel Santana","R$          36,00","R$          18,00"
Calu: uma menina cheia de histórias,"Autoras: Cássia Vale eLuciana Palmeira |","R$          38,00","R$          19,00"
Carolina: uma biografia,Tom Farias,"R$          74,90","R$          37,45"
Contos escolhidos,Cuti,"R$          38,90","R$          19,45"
Copo Quebrado,"Autor: Alain MabanckouTradução: Paula Souza","R$          44,90","R$          22,45"
"Do Índico e do Atlântico: contos brasileiros emoçambicanos",Org. Vagner Amaro,"R$          42,90","R$          21,45"
Eles,Vagner Amaro,"R$          35,90","R$          17,95"
Encontro Poético das Sarauzeiras Oníricas,"Mery Onírica, LindacyFidélis de Menezes,","R$          29,90","R$          14,95"
Entre textos e afetos,Sonia Rosa,"R$          28,90","R$          14,45"
Esboços de um tempo presente,Rosane Borges,"R$          38,90","R$          19,45"
Escritos Negros: crítica e jornalismo literário,Tom Farias,"R$          56,00","R$          28,00"
Firmina,Bárbara Simões,"R$          48,90","R$          24,45"
Flechinha - O principe da floresta,"Autora: Kenia Maria |Ilustração: Airá o Crespo","R$          42,90","R$          21,45"
Gosto de Amora,Mário Medeiros,"R$          42,90","R$          21,45"
Histórias de leves enganos e parecenças,Conceição Evaristo,"R$          35,00","R$          17,50"
Insubmissas lágrimas de mulheres,Conceição Evaristo,"R$          39,90","R$          19,95"
"Intelectuais negras: prosa negro-brasileiracontemporânea",Mirian Cristina dos Santos,"R$          49,90","R$          24,95"
Laboratório de Incertezas,Wesley Correia,"R$          42,90","R$          21,45"
"Livro do Avesso, o pensamento de Edite",Elisa Lucinda,"R$          42,90","R$          21,45"
Machado de Assis afrodescendente: antologia e crítica,Eduardo de Assis Duarte,"R$          69,90","R$          34,95"
Machado de Assis: contos e crônicas,Machado de Assis,"R$          34,90","R$          17,45"
Mandisa e a Vovó Alegria,Vagner Amaro,"R$          38,00","R$          19,00"
Maréia,Miriam Alves,"R$          44,90","R$          22,45"
Maria Firmina dos Reis: faces de uma precursora,"Org. Constância LimaDuarte","R$          59,90","R$          29,95"
Memórias de porco-espinho,"Autor: Alain MabanckouTradução: Paula Souza","R$          44,90","R$          22,45"
Monocontos: histórias para ler e encenar,Elisio Lopes Jr,"R$          48,00","R$          24,00"
Navio Negreiro,Maria Duda,"R$          34,90","R$          17,45"
Ngoma Chamou! Batuques em terreiros paulistas,"Alessandra Ribeiro;Antonio Filogenio de Paula","R$          39,90","R$          19,95"
"Nosso imperativo histórico é a luta: intelectuaisnegros/as insurgentes e a questão da democracia racial",Felipe Alves Oliveira,"R$          52,00","R$          26,00"
O caçador cibernético da rua 13,Fábio Kabral,"R$          49,90","R$          24,95"
O Crime do Cais do Valongo,Eliana Alves Cruz,"R$          45,90","R$          22,95"
O homem azul do deserto,Cidinha da Silva,"R$          34,90","R$          17,45"
O movimento leve,Org. Vagner Amaro,"R$          25,90","R$          12,95"
O pênalti,Geni Guimarães,"R$          32,90","R$          16,45"
O silêncio que a chuva traz,Marlon Souza,"R$          42,00","R$          21,00"
O tapete voador,Cristiane Sobral,"R$          36,90","R$          18,45"
O Ventre do Atlântico,Fatou Diome,"R$          49,90","R$          24,95"
"Olhos de Azeviche: 10 escritoras negras que estãorenovando a literatura brasileira","Ana Paula Lisboa, Cidinhada Silva, Conceição","R$          34,90","R$          17,45"
Poemas da Recordação,Conceição Evaristo,"R$          39,90","R$          19,95"
Poemas do Regresso,Geni Guimarães,"R$          38,90","R$          19,45"
Princesas negras,"Edileuza Penha de Souza eAriane Celestino Meireles","R$          34,90","R$          17,45"
República do vírus,António Quino,"R$          38,90","R$          19,45"
Rua do Escritor: crônicas sobre leitura,Henrique Rodrigues,"R$          42,90","R$          21,45"
Senti na pele,Org. Ernesto Xavier,"R$          38,90","R$          19,45"
"Silêncios Prescritos: estudo de romances de autorasnegras brasileiras",Fernanda R. Miranda,"R$          52,90","R$          26,45"
Terra Negra,Cristiane Sobral,"R$          37,90","R$          18,95"
Um verso e Mei,Meimei Bastos,"R$          35,90","R$          17,95"
Velhos demais para morrer,Vinícius Neves Mariano,"R$          48,00","R$          24,00"
"",Simone Ricco e Moisés,,,,
Vértice: escritas negras,,R$,"37,90",R$,"18,95"
"",Guimarães,,,,
Você pode substituir mulheres negras como o objeto de,,,,,
"",Giovana Xavier,R$,"45,90",R$,"22,95"
estudo,,,,,
