Editora Draco - Feira do Livro USP 2021,
Título Autor ISBN,Preço de capa (R$5)0% de desconto
3:33 e outras histórias de suspense Waldick Garrett 9788562942488,R$ 35.90 17.95
A Guardiã da Memória Gerson Lodi-Ribeiro 9788562942143,R$ 49.90 24.95
A Ilha dos Ossos Ana Lúcia Merege 9788582430491,R$ 49.90 24.95
A Morte é Legal Jim Anotsu 9788562942747,R$ 49.90 24.95
A Rainha Sombria Vivianne Fair 9788582431870,R$ 39.90 19.95
A Teia Escarlate Raphael Fernandes 9788582432372,R$ 29.90 14.95
A Lenda do Mastim Demônio Diego Guerra 9788582432662,R$ 19.90 9.95
A máscara da morte Branca Alexey Dodsworth 9788582432723,R$ 11.90 5.95
A última expedição Olivia Maia 9788582430132,R$ 29.90 14.95
Anna e a Trilha Secreta Ana Lúcia Merege 9788582430804,R$ 22.90 11.45
Antes Tarde do que Sempre Bertoldo Gontijo 9788562942150,R$ 28.90 14.45
Apagão: Cidade sem Lei/Luz Raphael Fernandes e Camaleão 9788582431207,R$ 39.90 19.95
Argos – Um fim do mundo muito louco Raphael Salimena 9788582431603,R$ 10.00 5
"Armas Brancas: Lanças, espadas, maças",
e flechas Antonio Luiz M. C. Costa 9788582430934,R$ 44.90 22.45
Até o fim da queda Ivan Mizanzuk 9788582431177,R$ 44.90 22.45
Aventuras do Vampiro de Palmares Gerson Lodi-Ribeiro 9788582430514,R$ 49.90 24.95
Ball Jointed Alice – Uma história de amor eP rmisocriltlea Matsumoto 9788582430835,R$ 39.90 19.95
Batalhas espaciais : um manual para a imaAginntaoçnãio Lduaisz  gMu.e Crr.a Cso esstatelares 9788582430859,R$ 24.90 12.45
Boys Love - Flor de Ameixeira Dana Guedes 9788582431511,R$ 19.90 9.95
Boys Love - Histórias de amor sem preconcTeaintoko ( 1C)han 9788582430460,R$ 33.90 16.95
Boys Love - Os mistérios de Llyr Dana Guedes 9788582431771,R$ 19.90 9.95
Boys Love - Para cair outra vez Erick Santos Cardoso 9788582432655,R$ 19.90 9.95
"Boys Love - sem preconceitos, sem limites T(a2n) ko Chan (org.) 9788582431252",R$ 35.90 17.95
Boys Love em Quadrinhos - v. 1 Tanko Chan (org.) 9788582431719,R$ 34.90 17.45
Boy's Love - Vínculo Blanxe 9788582431221,R$ 24.90 12.45
Brasil Fantástico: Lendas de um país sobrenCalitnutoranl Davisson 9788562942792,R$ 44.90 22.45
Cabra D’água e a peleja contra os gigantesAirton Marinho 9788582431641,R$ 39.90 19.95
Cabra D’água – Terra sitiada Airton Marinho 9788582431641,R$ 7.90 3.95
Caçadores de demônios Ademir Pascale 9788582431191,R$ 27.90 13.95
Campo Total e outros contos Carlos Orsi 9788562942839,R$ 31.90 15.95
Cangaço Overdrive Zé Wellington 9788582432402,R$ 37.90 18.95
Clube dos Herdeiros: como nossos pais Fabiana Madruga 9788582430798,R$ 29.90 14.95
Clube dos Herdeiros: nada será como,
antes Fabiana Madruga 9788582432174,R$ 35.90 17.95
Cortabundas – O Maníaco de José Walter Talles Rodrigues 9788582431566,R$ 39.90 19.95
Crônicas de Atlântida - O tabuleiro dos deuAsnetsonio Luiz M. C. Costa 9788562942136,R$ 59.90 29.95
Crônicas de Atlântida - O olho de Agarta Antonio Luiz M. C. Costa 9788582430767,R$ 59.90 29.95
Cyberpunk: Registros Recuperados de FutuErroicsk P Sraonibtoidso Csardoso e Cirilo S. Lem97o8s8 (5o8rg2.4)32419,R$ 49.90 24.95
Delirium Tremens de Edgar Allan Poe Raphael Fernandes (org.) 9788582432600,R$ 79.90 39.95
Demônios da Goetia em quadrinhos Raphael Fernandes (org.) 9788582432358,R$ 49.90 24.95
Despacho Raphael Fernandes (org.) 9788582432327,R$ 29.90 14.95
Deuses Esquecidos (TdS 2) Eduardo Kasse 9788582430361,R$ 39.90 19.95
Devorados Erick Santos Cardoso 9788582432334,R$ 24.90 12.45
Dieselpunk - arquivos confidenciais de umaO rbgealnai zéapdooc apor Gerson Lodi-Ribeir9o788562942235,R$ 57.90 28.95
Ditadura no ar - Coração Selvagem Raphael Fernandes 9788582431801,R$ 44.90 22.45
Dragões Erick Santos Cardoso e Marco Rigo9b7e8l8li 5(6o2rg9.4) 2884,R$ 64.00 32
Duendes: Contos sombrios de reinos invisíAvenias Lúcia Merege (org.) 9788582432693,R$ 49.90 24.95
E de Extermínio,Cirilo S. Lemos,9788582431290,R$ 46.90,23.45
Encruzilhada,Lúcio Manfredi,9788582430644,R$ 33.90,16.95
Estranhos no Paraíso,Gerson Lodi-Ribeiro,9788582431108,R$ 54.90,27.45
Excalibur,Ana Lúcia Merege,9788562942952,R$ 44.90,22.45
Fantasias Urbanas,Eric Novello (org.),9788562942440,R$ 39.90,19.95
Fome dos mortos,Raphael Fernandes,9788582432112,R$ 29.90,14.95
Flores do Jardim de Balaur,Carlos Orsi,9788582430194,R$ 22.90,11.45
Freakshow - Escape dos sentidos,Raphael Fernandes,9788582432648,R$ 10.00,5
"Futebol: histórias fantásticas de glória, p",iMxãaor ceo v Ritiógroibaes lli,9788582430453,R$ 33.90,16.95
Guerra Justa,Carlos Orsi,9788562942068,R$ 30.90,15.45
Guerras Eternas (TdS 3),Eduardo Kasse,9788582430743,R$ 39.90,19.95
Guirlanda Rubra  (capa dura),Erick Santos Cardoso,9788582432815,R$ 59.90,29.95
Guirlanda Rubra,Erick Santos Cardoso,9788582432815,R$ 49.90,24.95
Histórias de Ficção Científica por Carla Cri,Gtienras oPne rLeoirdai-Ribeiro,9788582430057,R$ 35.90,17.95
História do Dinheiro v. I,9788582432389,Antonio Luiz M. C. Co,tRa$ 67.90,33.95
História do Dinheiro v. II,9788582432747,Antonio Luiz M. C. Co,tRa$ 57.90,28.95
História do Dinheiro v. III,9788582432778,Antonio Luiz M. C. Co,tRa$ 62.90,31.45
Homens e Monstros: A Guerra Fria Vitori,nFalávio Medeiros Jr.,9788582430385,R$ 55.90,27.95
Imaginários - vol. 01,"Organizado por Tibor Moricz, Sai",9t-7C8la8i5r 6S2to9c4k2l0e0r 6e Eric,Ro$v e2l2lo.90,11.45
Imaginários - vol. 02,"Organizado por Tibor Moricz, Sai",9t-7C8la8i5r 6S2to94ck2l0e1r 3e Eric,Ro$v e2l2lo.90,11.45
Imaginários - vol. 03,Organizado por Erick Santos Car,o9s7o88562942105,R$ 22.90,11.45
Imaginários - vol. 04,Organizado por Erick Santos Car,o9s7o88562942112,R$ 24.90,12.45
Imaginários - vol. 05,Erick Santos Cardoso,9788562942259,R$ 24.90,12.45
Imaginários em Quadrinhos v. 1,Raphael Fernandes,9788562942921,R$ 29.90,14.95
Imaginários em Quadrinhos v. 2,Raphael Fernandes,9788562942938,R$ 29.90,14.95
Imaginários em Quadrinhos v. 3,Raphael Fernandes,9788582430729,R$ 29.90,14.95
Imaginários em Quadrinhos v. 4,Raphael Fernandes,9788582431153,R$ 29.90,14.95
Imaginarios em Quadrinhos v. 5,Raphael Fernandes,9788582432341,R$ 29.90,14.95
Império de Diamante,J. M. Beraldo,9788582430415,R$ 49.90,24.95
JaPow! v. 1,Jun Sugiyama e Eduardo Capelo,9788582432211,R$ 19.90,9.95
JaPow! v. 2,Jun Sugiyama e Eduardo Capelo,9788582432754,R$ 21.90,10.95
Linha do trem - the best of,Raphael Salimena,9788582432143,R$ 44.90,22.45
Marighella #LIVRE,Rogério Faria,9786557530009,R$ 27.90,13.95
Metrópole: Despertar,Melissa de Sá,9788582431856,R$ 35.90,17.95
Metrópole: Caos,Melissa de Sá,9788582432532,R$ 46.90,23.45
Meu amor é um mito,Eric Novello e Janaina Chervezan,(9o7rg8.8)562942266,R$ 33.90,16.95
Meu amor é um sobrevivente,Ana Lúcia Merege,9788582430262,R$ 33.90,16.95
Meu Amor é um Vampiro,Organizado por Eric Novello e Ja,a9i7n8a8 C5h6e2r9v4e2za0n99,R$ 31.90,15.95
Monstros Gigantes - Kaiju,Luiz Felipe Vasquez e Daniel Russ,9ll7 R8i8b5a8s2 (4o3rg1.3)37,R$ 46.90,23.45
Na Quebrada – Quadrinhos de hip hop,Raphael Fernandes (org.),9788582432440,R$ 39.90,19.95
O Alienado,Cirilo S. Lemos,9788562942495,R$ 44.90,22.45
O Andarilho das Sombras (TdS 1),Eduardo Kasse,9788562942600,R$ 57.90,28.95
O Castelo das Águias,Ana Lúcia Merege,9788562942204,R$ 35.90,17.95
O desejo de Lilith,Ademir Pascale,9788562942044,R$ 28.90,14.45
O despertar de Cthulhu em quadrinhos,Raphael Fernandes (org.),9788582431979,R$ 49.90,24.95
O Despertar da Fúria,Raphael Salimena,9788582431283,R$ 39.90,19.95
