Título,Autor,"Preçode capa","P  r  e  ço comdesconto"
ALEM DO OCEANO,MAJA LUNDE,"54,90","R$          27,45"
"TEMPESTADE DE ECOS, A",CHRISTELLE DABOS,"54,90","R$          27,45"
"MAR SEM ESTRELAS, O",ERIN MORGENSTERN,"69,90","R$          34,95"
KINDRED - LACOS DE SANGUE - BROCHURA ESPECIAL,OCTAVIA E. BUTLER,"54,90","R$          27,45"
"NOIVOS DO INVERNO, OS",CHRISTELLE DABOS,"54,90","R$          27,45"
FOUNDRYSIDE: AS MARGENS DA FUNDICAO,ROBERT JACKSON BENNETT,"74,90","R$          37,45"
"CIDADE DE BRONZE, A",S. A. CHAKRABORTY,"64,90","R$          32,45"
"PARABOLA DO SEMEADOR, A",OCTAVIA E. BUTLER,"54,90","R$          27,45"
"BIBLIOTECA INVISIVEL, A",GENEVIEVE COGMAN,"49,90","R$          24,95"
DESAPARECIDOS EM LUZ DA LUA,CHRISTELLE DABOS,"54,90","R$          27,45"
"MEMORIA DE BABEL, A",CHRISTELLE DABOS,"54,90","R$          27,45"
"REINO DE COBRE, O",S. A. CHAKRABORTY,"79,90","R$          39,95"
FLORESTA É O NOME DO MUNDO,URSULA K. LE GUIN,"49,90","R$          24,95"
"CURVA DO SONHO, A",URSULA K. LE GUIN,"54,90","R$          27,45"
"PARABOLA DOS TALENTOS, A",OCTAVIA E. BUTLER,"54,90","R$          27,45"
"QUINTA ESTACAO, A",N.K. JEMISIN,"59,90","R$          29,95"
"PORTAO DO OBELISCO, O",N.K. JEMISIN,"59,90","R$          29,95"
FILHOS DE SANGUE E OUTRAS HISTÓRIAS,OCTAVIA E. BUTLER,"49,90","R$          24,95"
DESPERTAR,OCTAVIA E. BUTLER,"49,90","R$          24,95"
IMAGO (VOL. 3 - TRILOGIA XENOGENESE),OCTAVIA E. BUTLER,"54,90","R$          27,45"
"MAPA DO TEMPO, O",HEIDI HEILIG,"49,90","R$          24,95"
A PALAVRA MORTAL (VOL. 5 - SERIE A BIBLIOTECA INVISIVEL),GENEVIEVE COGMAN,"49,90","R$          24,95"
VITA NOSTRA,MARINA DYACHENKO E SERGEY DYACHENC,"64,90","R$          32,45"
RITOS DE PASSAGEM,OCTAVIA E. BUTLER,"49,90","R$          24,95"
EVERLESS,SARA HOLLAND,"44,90","R$          22,45"
TIGER LILY,JODI LYNN ANDERSON,"44,90","R$          22,45"
"CEU DE PEDRA, O",N.K. JEMISIN,"59,90","R$          29,95"
FORCA DA NATUREZA,JANE HARPER,"54,90","R$          27,45"
"TRAMA PERDIDA, A",GENEVIEVE COGMAN,"49,90","R$          24,95"
"CIDADE DAS MASCARAS, A",GENEVIEVE COGMAN,"49,90","R$          24,95"
"PAGINA EM CHAMAS, A",GENEVIEVE COGMAN,"49,90","R$          24,95"
ENTRE CABRAS E OVELHAS,JOANNA CANNON,"54,90","R$          27,45"
DE VOLTA PARA CASA,SEANAN MCGUIRE,"44,90","R$          22,45"
TUDO QUE DEIXAMOS PARA TRAS,MAJA LUNDE,"54,90","R$          27,45"
"NAVIO ALEM DO TEMPO, O",HEIDI HEILIG,"49,90","R$          24,95"
"SECA, A",JANE HARPER,"54,90","R$          27,45"
O CEU DA MEIA-NOITE,LILY BROOKS DALTON,"54,90","R$          27,45"
BEM-VINDOS AO PARAISO,NICOLE DENNIS-BENN,"54,90","R$          27,45"
SEMENTE DE BRUXA,MARGARET ATWOOD,"54,90","R$          27,45"
CARTAS DE MARESI,MARIA TURTSCHANINOFF,"54,90","R$          27,45"
MARESI,MARIA TURTSCHANINOFF,"44,90","R$          22,45"
TODOS OS PASSAROS NO CEU,CHARLIE JANE ANDERS,"54,90","R$          27,45"
ENTRE GRAVETOS E OSSOS,SEANAN MCGUIRE,"44,90","R$          22,45"
"ILUSAO DO TEMPO, A",ANDRI SNAER MAGNASON,"44,90","R$          22,45"
"IMPROBABILIDADE DO AMOR, A",HANNAH ROTHSCHILD,"59,90","R$          29,95"
NOSSOS DIAS INFINITOS,CLAIRE FULLER,"44,90","R$          22,45"
OS ETERNOS: O LEGADO,AMIE KAUFMAN/ MEAGAN SPOONER,"49,90","R$          24,95"
CHANGELING,VICTOR LAVALLE,"54,90","R$          27,45"
SOB O CEU ACUCARADO,SEANAN MCGUIRE,"44,90","R$          22,45"
"BALADA DO BLACK TOM, A",VICTOR LAVALLE,"44,90","R$          22,45"
NAONDEL,MARIA TURTSCHANINOFF,"49,90","R$          24,95"
"ULTIMA TRAVESSIA, A",MATS STRANDBERG,"54,90","R$          27,45"
LOVESTAR,ANDRI SNAER MAGNASON,"49,90","R$          24,95"
BABEL 17 ESTRELA IMPERIAL,SAMUEL R. DELANY,"54,90","R$          27,45"
"INESPERADA HERANCA DO INSPETOR CHOPRA, A",VASEEM KHAN,"44,90","R$          22,45"
"ASCENSÃO DE SENLIN, A",JOSIAH BANCROFT,"59,90","R$          29,95"
