"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
Perdido no ciberespaço,"Cunha, Leo","R$ 53,90","R$ 20,00"
Um marido para Dona Baratinha,"Damasceno, Dircéa","R$ 45,00","R$ 10,00"
A turma da Página Pirata em tirinhas,"Amaral, Marcelo","R$ 35,00","R$ 5,00"
O diário das fantásticas viagens de Giovana: #PARTIUFOZ,"Galvão, D.J.","R$ 59,90","R$ 29,95"
Reinações de Emília,"Leslie, Cassia","R$ 59,90","R$ 29,95"
Meu amigo invisível,"Melo, Ana Cristina","R$ 54,90","R$ 27,45"
É melhor nem dar bola!,"Ricci, Nanci","R$ 43,90","R$ 15,00"
Os 2 porquinhos e meio,"Cunha, Leo; Lagarta, Marta","R$ 43,90","R$ 20,00"
Construa este diário,"Sorroche, Tuani","R$ 32,00","R$ 15,00"
"O que você achou, Maria?","Melo, Ana Cristina","R$ 45,00","R$ 20,00"
Pipo Pipa,"Bibian, Felipe","R$ 49,90","R$ 20,00"
Culpado ou inocente?,"Lagarta, Marta; Cunha, Leo","R$ 54,90","R$ 27,45"
Pablo e o ciclo da água,"Ribeiro, Raquel","R$ 52,90","R$ 26,45"
Faça o amor ser fácil,"Hauch, Thamires","R$ 29,90","R$ 14,95"
O som de um coração vazio,"Mayrink, Graciela","R$ 55,00","R$ 27,50"
ABC das coisas boas,"Paganini, Marcia","R$ 51,00","R$ 25,50"
A grande aventura da fada de narizinho torto,"Perlman, Alina","R$ 55,00","R$ 10,00"
O que tem no bairro de Ana?,"Melo, Ana Cristina","R$ 52,90","R$ 26,45"
"Você faz, eu faço também","Jucá, Marcelo","R$ 45,90","R$ 22,95"
Haicontos de fadas,"Bueno, Edna; Machado, Emilia; Rocha, Mariucha; Kauss, Tatiana; Alsalek, Vânia","R$ 49,90","R$ 20,00"
O mistério do lago,"Lins, Guto","R$ 53,90","R$ 25,00"
Coisas de menino e menina,"Salvador, Viviane","R$ 44,90","R$ 22,45"
O bolinho que andava,"Zagury, Tania","R$ 51,00","R$ 24,90"
As meninas,"Ferreira, Hellenice","R$ 49,90","R$ 15,00"
O olho do piolho,"Bettencourt, Lúcia","R$ 42,00","R$ 20,00"
Segunda pele,"Melo, Ana Cristina","R$ 45,00","R$ 20,00"
O feitiço dos Ávila,"Melo, Ana Cristina","R$ 39,90","R$ 15,00"
Se essa rua fosse minha,"Giannini, Paula","R$ 49,90","R$ 24,95"
Maricota não é anedota,"Vale, Henrique","R$ 54,90","R$ 27,45"
"O menino, o bilhete e o vento","Melo, Ana Cristina","R$ 45,00","R$ 10,00"
Vai encarar?,"Filho, Manuel","R$ 53,90","R$ 15,00"
Controle seu dinheiro antes que ele te devore,"Melo, Ana Cristina","R$ 29,90","R$ 14,95"
Delta,"Melo, Ana Cristina","R$ 49,00","R$ 10,00"
A bota do Guto,"Melo, Ana Cristina","R$ 39,90","R$ 10,00"
A Rainha Perdida - Volume 1,"Melo, Ana Cristina","R$ 49,90","R$ 20,00"
A azinheira de Fátima,"Melo, Ana Cristina","R$ 49,90","R$ 5,00"
Lá em cima daquele morro,"Travassos, Sônia","R$ 52,90","R$ 25,00"
A bola de neve,"Melo, Ana Cristina","R$ 43,90","R$ 5,00"
O diário das fantásticas viagens de Giovana (Amazônia),"Galvão, D.J.","R$ 54,90","R$ 27,45"
O diário das fantásticas viagens de Giovana: #PARTIUFOZ,"Galvão, D.J.","R$ 59,90","R$ 29,95"
O diário das fantásticas viagens de Giovana: #NOPANTANAL,"Galvão, D.J.","R$ 59,90","R$ 29,95"
No fundo do rio,"Flauzino, Silvia","R$ 36,00","R$ 5,00"
A travessia do cotidiano,"Fuentes, Susana; Giannini, Paula; Valente, Luize; Bettencourt, Lúcia; Garcia-Roza, Livia","CaRb$r a5l5, J,0o0ana","R$ 15,00"
Dandi e a árvore palavreira (Edição PNLD),Ana Cristina Melo,"R$ 34,00","R$ 5,00"
Haicobra,"Maciel, Fabio","R$ 29,90","R$ 5,00"
Flautinha de condão,"Mac Cord, Marcio","R$ 36,00","R$ 5,00"
Como pode um pinguim no polo Norte?,"De Castro Gomes, Alexandre","R$ 42,00","R$ 5,00"
A asa da borboleta,"De Castro, Gisela","R$ 49,90","R$ 10,00"
Sylvia Orthof: um ramalhete de histórias,"Villaça, Cristina; Prado, José; et al.","R$ 65,00","R$ 10,00"
A Rainha Perdida - Volume 2,"Melo, Ana Cristina","R$ 49,90","R$ 24,95"
Uma aventura para três,"Bettencourt, Lúcia","R$ 54,90","R$ 27,45"
"Me chamem de Daniel, porque Daniel é o meu nome","Teixeira, Elizângela","R$ 49,90","R$ 24,95"
Vem brincar comigo?,"Damasceno, Dircéa","R$ 39,00","R$ 10,00"
O mistério da trave,"Pezel, Cristina","R$ 49,90","R$ 24,95"
A turma do CP-500,"Melo, Ana Cristina","R$ 49,90","R$ 24,95"
Nosso diário,"De Matos, Roberto Basílio; Brandi Matos,  Rafaela","R$ 59,90","R$ 29,95"
Poemotes,"Ronca, Sandra","R$ 45,00","R$ 15,00"
Luna Moon e a guerra entre os reinos,"Krivochein, Nina","R$ 59,90","R$ 29,95"
Lindo de se olhar,"Ricci, Tania","R$ 42,00","R$ 5,00"
O guardião da chuva,"Ribeiro, Dailza","R$ 44,90","R$ 20,00"
O contrato,"Carvalho, Mayra","R$ 59,90","R$ 29,95"
Vamos apostar corrida?,"Vale, Henrique","R$ 42,00","R$ 10,00"
"",,,
"",,,
