"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
A CIDADANIA NA PERSPECTIVA DA VELHICE: DESAFIOS COTIDIANOS PARA VIVER CO,Ra DimIGuNnIdDaA SDilEva d`Alencar,"R$ 40,00","R$ 20,00"
A cidade em tela: Itabuna e Walter Moreira,Lurdes Bertol Rocha,"R$ 30,00","R$ 15,00"
A educação revisitada: a velhice na sala de aula,Raimunda Silva d ́Alencar,"R$ 30,00","R$ 15,00"
A ética da paixão,Maria Luiza Nora,"R$ 25,00","R$ 12,50"
A lei da Ficha Limpa,Carlos Valder do Nascimento,"R$ 25,00","R$ 12,50"
A MENINA DOS OLHOS DE OURO,Piligra,"R$ 40,00","R$ 20,00"
A odisséia de Jorge Amado,Piligra,"R$ 50,00","R$ 25,00"
A Orquídea Negra,Roberto Sidnei Macedo,"R$ 30,00","R$ 15,00"
A palavra e o tempo de Euclides Neto: um garimpeiro da identidade cultural grapiú,Raita Lírio de Oliveira,"R$ 30,00","R$ 15,00"
A produção do direito no Brasil,Paulo Cesar S. Bezzera,"R$ 40,00","R$ 20,00"
A região cacaueira da Bahia  ED. 2,Lurdes Bertol Rocha,"R$ 40,00","R$ 20,00"
A Representação Social na Construção da Velhice,Raimunda Silva d`Alencar,"R$ 40,00","R$ 20,00"
A restituição da contribuição previdenciária dos inativos,Carlos Valder do Nascimento,"R$ 25,00","R$ 12,50"
A terra do fruto maldito,Ramon de Freitas Ribeiro,"R$ 25,00","R$ 12,50"
A vida refletida,Antônio Lopes,"R$ 28,00","R$ 14,00"
Adequação do Sistema Tributário Nacional,Carlos Valder do Nascimento,"R$ 40,00","R$ 20,00"
AGLOMERAÇÃO ITABUNA ILHÉUS: REDE URBANA E INTERAÇÕES ESPACIAIS,Gilmar Alves Trindade,"R$ 40,00","R$ 20,00"
Água corrente,Clarencio Gomes Baracho,"R$ 25,00","R$ 12,50"
Alimentação: problemas e soluções - a dieta primitiva,Dalton Senise Portela,"R$ 25,00","R$ 12,50"
América América: amostragem da ficção hispano-americana atual - aproximações b,Dasoirleinirea sCerqueira,"R$ 25,00","R$ 12,50"
Antologia panorâmica do conto baiano - século XX,Gerana Damulakis (Org.),"R$ 35,00","R$ 17,50"
AS FORMIGAS PONEROMORFAS DO BRASIL,Jacques Delabie,"R$ 250,00","R$ 125,00"
Assassinos de aluguel e outros contos,Enio Jelihovschi,"R$ 20,00","R$ 10,00"
Até mais verde  ED. 2,Pawlo Cidade,"R$ 30,00","R$ 15,00"
"",,,
"Atos de currículo formação em ato? Para compreender, entretecer e problematizar",cRuorbríecrutlo  Sei dfonremi Maçaãcoedo,"R$ 30,00","R$ 15,00"
Auditoria em enfermagem: uma proposta metodológica,Ricardo M. Santana,"R$ 30,00","R$ 15,00"
Brincando com as palavras,Leônidas Azevedo Filho,"R$ 40,00","R$ 20,00"
CACAU: RIQUEZA DE POBRES,Francisco Mendes Costa,"R$ 30,00","R$ 15,00"
"CACAUICULTURA: ESTRUTURA PRODUTIVA, MERCADOS E PERSPECTIVAS",Mônica de Moura Pires (Org.),"R$ 35,00","R$ 17,50"
