Título,Autor,Preço,Preço
"",,de Capa,com o desconto
Parto Humanizado: o nascimento em ambiente amortizado,Rosa N.T Jerônimo,R$ 45,R$ 18.00
Língua e Ensino práticas de linguagem possíveis e reais,Angle C Di Palma,R$ 41,R$ 16.40
"Temasemdireitosanitárioesaúdecoletiva:SUS-umapolíticapública de estado",Reginaldo S. Vieira,R$ 35,R$ 14.00
Arqueologia Pública e Patrimônio: questões atuais,Pedro Paulo A. Funari,R$ 55.00,R$ 22.00
"PPR programa de participação nos resultados na prática: a arte dedistribuir para crescer",Beto Colombo,R$ 40,R$ 16
Saúde e Ambiente em busca do equilíbrio da energia vital,Mariléia G. Zanette,R$ 34.00,R$ 13.60
"Jogo, Brincadeira e Brinquedo",Gildo Volpato,R$ 35.00,R$ 14.00
Formação Humana Na Sociedade Do Espetáculo,André Cechinel,R$ 49,R$ 19.60
O Lugar Da Teoria Literária,André Cechinel,R$ 68.00,R$ 27.20
Formar Novos Rurais,Valério A. Turnes,R$ 30.00,R$ 12.00
"Educação,EstéticaeExperiência-EntreSaberesePráticasnaContemporaneidade",Alex Sander da Silva,R$ 50.00,R$ 20.00
"Educaçãoeexperiênciaestética-desencantamentodoconceito educativo",Alex Sander da Silva,R$ 45.00,R$ 18.00
"Estado,PolíticaeDireito,PolíticasPúblicaseDireitosFundamentais vol. 4",Reginaldo S. Vieira,R$ 56.30,R$ 22.52
"Educação, Linguagem e Memória: um livro e muitas histórias",Angle C Di Palma,R$ 45.00,R$ 18.00
Estudos Contemporâneos de Direitos fundamentais Vol. 3,Letícia C.V Martel,R$ 58.80,R$ 23.52
Educação Ambiental a Diversidade de um Paradigma,Miriam C Martins,R$ 35.00,R$ 14.00
O Referente Errante,André Cechinel,R$ 30.00,R$ 12.00
"E por falar em educação...Ensino, Formação e Gestão",Antônio S Pereira,R$ 35.00,R$ 14.00
"","Eoãdou aGrduoim Saurãbeirsa tRs osa, José María Argue","aRs$,  J1u0a6n.0 R0","lfo, AugustoR R$o 8a4 B.8a0s"
1968 O Futuro Do Passado,"André Cechinel, Eduardo Surats Org",. R$ 40.00,R$ 24.00
Espelhos do Paraíso,Antônio Topanotti,R$ 30.00,R$ 12.00
