Título,Autor,ISBN,Preço de capa,Preço com desconto
A EXPANSÃO SOCIAL DO BLOCKCHAIN,Lucia Santaella (org),9786587387239,"R$ 45,00","R$ 22,50"
A CIDADE DE SÃO PAULO - Relações internacionais e gestão pública,Luiz Eduardo Wanderley e Raquel Raichelis (orgs.),9788528304008,"R$ 45,00","R$ 22,50"
A FORÇA DA MENTIRA,"Hadassa Bem-Itto, Miriam Sanger (trad.)",9788528305951,"R$ 81,00","R$ 40,50"
A NOVA FACE DA EMIGRAÇÃO INTERNACIONAL NO BRASIL,"Lucia Bógus, Rosana Baeninger (orgs.)",9788528305821,"R$ 70,00","R$ 35,00"
ADHEMAR DE BARROS - Tensões políticas do poder,Ari Marcelo Macedo Couto,9788528304039,"R$ 40,00","R$ 20,00"
ALQUIMIAS DO AUDIOVISUAL,Natalia Aly,9786587387277,"R$ 80,00","R$ 40,00"
ASPECTOS DA ARTE CONTEMPORÂNEA,Sônia Campaner Miguel Ferrari (org.),9788528304671,"R$ 35,00","R$ 17,50"
CACOFONIA NAS REDES,Lucia Santaella (org.),9788528306156,"R$ 45,00","R$ 22,50"
CIDADE SUSTENTÁVEL,Daniela Campos Libório (org.),9788528306408,"R$ 48,00","R$ 24,00"
CÍLIA COELHO PEREIRA LEITE (MADRE OLÍVIA) - Col. Sapientia,"Dieli Vesaro Palma, Neusa Barbosa Bastos",9788528305845,"R$ 20,00","R$ 10,00"
COISIAS REUNIDAS - Philadelpho Menezes,Ana Aly (ed.),9788528306316,"R$ 70,00","R$ 35,00"
COLEÇÃO SAPIENTIA,GRANDES MESTRES DA PUC-SP,9788528305555,"R$ 120,00","R$ 60,00"
COLEÇÃO SAPIENTIA II,GRANDES MESTRES DA PUC-SP,9788528305937,"R$ 120,00","R$ 60,00"
COMO SAIR DAS BOLHAS,Pollyana Ferrari,9788528306026,"R$ 36,00","R$ 18,00"
COMUNICAÇÃO E ANTROPOCENO - OS DESAFIOS DO HUMANO,Adriano Messias,9788528306439,"R$ 56,00","R$ 28,00"
"CONSELHO DE DIREITOS HUMANOS E A ATUAÇÃO DO BRASIL -Territorialidades, fluxos e manifestações estético-políticas",Murilo Vieira Komniski,9788528305715,"R$ 66,00","R$ 33,00"
"CONSTELAÇÕES URBANAS - Territorialidades, fluxos e manifestações estético-políticas","Ana Claudia de Oliveira, Maria Aparecida Junqueira, Mariangela Belfiore Wanderley (eds.)",9788528306231,"R$ 60,00","R$ 30,00"
CONVOCAÇÕES BIOPOLÍTICAS DOS DISPOSITIVOS COMUNICACIONAIS,José Luiz Aidar Prado,9788528304558,"R$ 35,00","R$ 17,50"
DÉCIO PIGNATARI - vida em noosfera,Lucio Agra,9788528305906,"R$ 20,00","R$ 10,00"
DIÁLOGOS NO INTERIOR DA CASA COMUM,João Décio Passos (org),9788528305531,"R$ 28,00","R$ 14,00"
DIMENSÃO SUBNACIONAL E AS RELAÇÕES INTERNACIONAIS,Luiz Eduardo Wanderley (orgs.),9788528302974,"R$ 56,00","R$ 28,00"
DIREITO EMPRESARIAL NA ÓTICA DE UMA FUNDAÇÃO,"Ana Paula de Albuquerque Grillo, José Rodolpho Perazzolo, Thaís Cíntia Cárnio (orgs.)",9788528305265,"R$ 50,00","R$ 25,00"
ÉTICA E LIBERDADE EM MICHEL FOUCAULT - Uma leitura de Kant,Celso Kraemer,9788528304220,"R$ 55,00","R$ 27,50"
FLÁVIO DI GIORGI  - Col. Sapientia,"Beatriz Di Giorgi, Luis Fernando Angerami",9788528305463,"R$ 20,00","R$ 10,00"
